Id,Label,FromId,ToId,Properties:role,Properties:importance,Properties:essentiality,Properties:position,Properties:expression,Properties:activity,Properties:confidence,Properties:source
TARGET_PATHWAY_00016,TargetInvolvedInPathway,TARGET_00159,PATHWAY_00044,substrate,0.891,moderate,central,6.78,46.4,0.768,PATHWAY_DB
TARGET_PATHWAY_00017,TargetInvolvedInPathway,TARGET_00059,PATHWAY_00069,regulator,0.174,essential,peripheral,6.14,38.1,0.911,PATHWAY_DB
TARGET_PATHWAY_00018,TargetInvolvedInPathway,TARGET_00056,PATHWAY_00044,regulator,0.399,important,upstream,4.15,23.1,0.716,PATHWAY_DB
TARGET_PATHWAY_00019,TargetInvolvedInPathway,TARGET_00199,PATHWAY_00034,enzyme,0.98,moderate,central,1.74,16.4,0.816,PATHWAY_DB
TARGET_PATHWAY_00020,TargetInvolvedInPathway,TARGET_00110,PATHWAY_00064,cofactor,0.812,important,upstream,3.5,94.0,0.798,PATHWAY_DB
TARGET_PATHWAY_00021,TargetInvolvedInPathway,TARGET_00169,PATHWAY_00096,cofactor,0.816,important,downstream,3.66,29.2,0.817,PATHWAY_DB
TARGET_PATHWAY_00022,TargetInvolvedInPathway,TARGET_00039,PATHWAY_00031,regulator,0.749,important,upstream,2.5,13.3,0.806,PATHWAY_DB
TARGET_PATHWAY_00023,TargetInvolvedInPathway,TARGET_00071,PATHWAY_00062,substrate,0.823,important,central,6.76,30.4,0.871,PATHWAY_DB
TARGET_PATHWAY_00024,TargetInvolvedInPathway,TARGET_00016,PATHWAY_00043,cofactor,0.545,minor,downstream,9.62,12.2,0.889,PATHWAY_DB
TARGET_PATHWAY_00025,TargetInvolvedInPathway,TARGET_00028,PATHWAY_00033,cofactor,0.657,moderate,central,8.71,84.4,0.808,PATHWAY_DB
TARGET_PATHWAY_00026,TargetInvolvedInPathway,TARGET_00032,PATHWAY_00065,cofactor,0.974,minor,downstream,4.34,10.9,0.884,PATHWAY_DB
TARGET_PATHWAY_00027,TargetInvolvedInPathway,TARGET_00043,PATHWAY_00025,regulator,0.523,minor,central,3.49,8.5,0.765,PATHWAY_DB
TARGET_PATHWAY_00028,TargetInvolvedInPathway,TARGET_00187,PATHWAY_00075,regulator,0.994,minor,peripheral,1.59,78.2,0.938,PATHWAY_DB
TARGET_PATHWAY_00029,TargetInvolvedInPathway,TARGET_00004,PATHWAY_00037,cofactor,0.364,essential,peripheral,8.06,10.8,0.889,PATHWAY_DB
TARGET_PATHWAY_00030,TargetInvolvedInPathway,TARGET_00097,PATHWAY_00013,cofactor,0.557,important,upstream,7.09,43.2,0.89,PATHWAY_DB
TARGET_PATHWAY_00031,TargetInvolvedInPathway,TARGET_00132,PATHWAY_00078,regulator,0.183,important,upstream,7.12,21.1,0.803,PATHWAY_DB
TARGET_PATHWAY_00032,TargetInvolvedInPathway,TARGET_00081,PATHWAY_00094,regulator,0.621,minor,central,1.39,30.8,0.894,PATHWAY_DB
TARGET_PATHWAY_00033,TargetInvolvedInPathway,TARGET_00015,PATHWAY_00053,regulator,0.573,important,peripheral,5.56,28.4,0.864,PATHWAY_DB
TARGET_PATHWAY_00034,TargetInvolvedInPathway,TARGET_00064,PATHWAY_00091,cofactor,0.127,minor,peripheral,0.91,79.6,0.913,PATHWAY_DB
TARGET_PATHWAY_00035,TargetInvolvedInPathway,TARGET_00085,PATHWAY_00026,cofactor,0.813,minor,downstream,2.3,58.4,0.821,PATHWAY_DB
TARGET_PATHWAY_00036,TargetInvolvedInPathway,TARGET_00033,PATHWAY_00057,enzyme,0.786,moderate,downstream,7.97,28.6,0.775,PATHWAY_DB
TARGET_PATHWAY_00037,TargetInvolvedInPathway,TARGET_00129,PATHWAY_00041,regulator,0.882,moderate,upstream,5.89,51.8,0.886,PATHWAY_DB
TARGET_PATHWAY_00038,TargetInvolvedInPathway,TARGET_00080,PATHWAY_00034,regulator,0.876,essential,central,4.05,23.8,0.803,PATHWAY_DB
TARGET_PATHWAY_00039,TargetInvolvedInPathway,TARGET_00050,PATHWAY_00059,enzyme,0.617,minor,central,5.91,41.6,0.879,PATHWAY_DB
TARGET_PATHWAY_00040,TargetInvolvedInPathway,TARGET_00073,PATHWAY_00051,regulator,0.283,important,upstream,2.92,81.0,0.865,PATHWAY_DB
TARGET_PATHWAY_00041,TargetInvolvedInPathway,TARGET_00133,PATHWAY_00093,cofactor,0.836,moderate,peripheral,4.64,60.2,0.836,PATHWAY_DB
TARGET_PATHWAY_00042,TargetInvolvedInPathway,TARGET_00147,PATHWAY_00056,substrate,0.866,essential,central,7.13,55.7,0.739,PATHWAY_DB
TARGET_PATHWAY_00043,TargetInvolvedInPathway,TARGET_00008,PATHWAY_00062,regulator,0.884,minor,downstream,2.38,83.3,0.712,PATHWAY_DB
TARGET_PATHWAY_00044,TargetInvolvedInPathway,TARGET_00002,PATHWAY_00091,cofactor,0.312,minor,upstream,5.27,81.1,0.898,PATHWAY_DB
TARGET_PATHWAY_00045,TargetInvolvedInPathway,TARGET_00112,PATHWAY_00055,regulator,0.91,minor,peripheral,4.7,92.5,0.929,PATHWAY_DB
TARGET_PATHWAY_00046,TargetInvolvedInPathway,TARGET_00073,PATHWAY_00034,enzyme,0.142,essential,downstream,8.63,7.2,0.846,PATHWAY_DB
TARGET_PATHWAY_00047,TargetInvolvedInPathway,TARGET_00121,PATHWAY_00005,regulator,0.82,important,downstream,1.45,74.1,0.896,PATHWAY_DB
TARGET_PATHWAY_00048,TargetInvolvedInPathway,TARGET_00037,PATHWAY_00008,enzyme,0.746,moderate,central,4.03,82.4,0.882,PATHWAY_DB
TARGET_PATHWAY_00049,TargetInvolvedInPathway,TARGET_00129,PATHWAY_00007,regulator,0.467,moderate,central,0.17,62.9,0.7,PATHWAY_DB
TARGET_PATHWAY_00050,TargetInvolvedInPathway,TARGET_00101,PATHWAY_00007,cofactor,0.682,essential,peripheral,4.78,20.0,0.746,PATHWAY_DB
TARGET_PATHWAY_00051,TargetInvolvedInPathway,TARGET_00119,PATHWAY_00003,regulator,0.936,minor,downstream,7.25,70.5,0.835,PATHWAY_DB
TARGET_PATHWAY_00052,TargetInvolvedInPathway,TARGET_00196,PATHWAY_00021,substrate,0.695,essential,downstream,0.23,31.0,0.823,PATHWAY_DB
TARGET_PATHWAY_00053,TargetInvolvedInPathway,TARGET_00091,PATHWAY_00006,substrate,0.506,important,central,4.51,93.0,0.729,PATHWAY_DB
TARGET_PATHWAY_00054,TargetInvolvedInPathway,TARGET_00196,PATHWAY_00086,substrate,0.832,minor,peripheral,9.04,85.9,0.783,PATHWAY_DB
TARGET_PATHWAY_00055,TargetInvolvedInPathway,TARGET_00139,PATHWAY_00018,substrate,0.844,minor,downstream,7.66,59.7,0.837,PATHWAY_DB
TARGET_PATHWAY_00056,TargetInvolvedInPathway,TARGET_00036,PATHWAY_00060,enzyme,0.608,moderate,peripheral,5.9,4.3,0.79,PATHWAY_DB
TARGET_PATHWAY_00057,TargetInvolvedInPathway,TARGET_00125,PATHWAY_00064,substrate,0.424,important,peripheral,5.17,4.3,0.807,PATHWAY_DB
TARGET_PATHWAY_00058,TargetInvolvedInPathway,TARGET_00136,PATHWAY_00015,regulator,0.994,minor,central,3.54,53.2,0.881,PATHWAY_DB
TARGET_PATHWAY_00059,TargetInvolvedInPathway,TARGET_00048,PATHWAY_00019,cofactor,0.826,important,peripheral,5.75,9.8,0.764,PATHWAY_DB
TARGET_PATHWAY_00060,TargetInvolvedInPathway,TARGET_00117,PATHWAY_00083,regulator,0.576,essential,central,8.18,78.8,0.811,PATHWAY_DB
TARGET_PATHWAY_00061,TargetInvolvedInPathway,TARGET_00026,PATHWAY_00087,regulator,0.613,moderate,downstream,4.94,70.1,0.853,PATHWAY_DB
TARGET_PATHWAY_00062,TargetInvolvedInPathway,TARGET_00009,PATHWAY_00098,substrate,0.363,minor,peripheral,6.38,42.3,0.855,PATHWAY_DB
TARGET_PATHWAY_00063,TargetInvolvedInPathway,TARGET_00056,PATHWAY_00042,regulator,0.8,minor,downstream,8.08,27.5,0.823,PATHWAY_DB
TARGET_PATHWAY_00064,TargetInvolvedInPathway,TARGET_00010,PATHWAY_00035,substrate,0.419,essential,downstream,6.56,35.1,0.723,PATHWAY_DB
TARGET_PATHWAY_00065,TargetInvolvedInPathway,TARGET_00129,PATHWAY_00077,substrate,0.534,minor,upstream,3.77,25.7,0.943,PATHWAY_DB
TARGET_PATHWAY_00066,TargetInvolvedInPathway,TARGET_00158,PATHWAY_00061,cofactor,0.453,essential,downstream,8.51,52.7,0.928,PATHWAY_DB
TARGET_PATHWAY_00067,TargetInvolvedInPathway,TARGET_00032,PATHWAY_00055,regulator,0.689,important,central,0.61,77.5,0.904,PATHWAY_DB
TARGET_PATHWAY_00068,TargetInvolvedInPathway,TARGET_00039,PATHWAY_00028,regulator,0.411,minor,downstream,3.03,81.9,0.804,PATHWAY_DB
TARGET_PATHWAY_00069,TargetInvolvedInPathway,TARGET_00148,PATHWAY_00046,enzyme,0.638,moderate,central,3.49,10.7,0.931,PATHWAY_DB
TARGET_PATHWAY_00070,TargetInvolvedInPathway,TARGET_00014,PATHWAY_00032,cofactor,0.102,essential,peripheral,1.02,61.8,0.902,PATHWAY_DB
TARGET_PATHWAY_00071,TargetInvolvedInPathway,TARGET_00115,PATHWAY_00035,regulator,0.921,important,downstream,1.12,3.6,0.891,PATHWAY_DB
TARGET_PATHWAY_00072,TargetInvolvedInPathway,TARGET_00028,PATHWAY_00050,substrate,0.248,minor,central,4.76,24.4,0.745,PATHWAY_DB
TARGET_PATHWAY_00073,TargetInvolvedInPathway,TARGET_00040,PATHWAY_00054,substrate,0.424,important,peripheral,3.84,56.1,0.832,PATHWAY_DB
TARGET_PATHWAY_00074,TargetInvolvedInPathway,TARGET_00184,PATHWAY_00083,regulator,0.966,moderate,downstream,2.3,79.3,0.919,PATHWAY_DB
TARGET_PATHWAY_00075,TargetInvolvedInPathway,TARGET_00119,PATHWAY_00013,regulator,0.47,minor,upstream,4.8,29.0,0.791,PATHWAY_DB
TARGET_PATHWAY_00076,TargetInvolvedInPathway,TARGET_00062,PATHWAY_00090,regulator,0.844,essential,downstream,0.79,21.6,0.733,PATHWAY_DB
TARGET_PATHWAY_00077,TargetInvolvedInPathway,TARGET_00176,PATHWAY_00089,cofactor,0.933,essential,central,1.74,35.6,0.856,PATHWAY_DB
TARGET_PATHWAY_00078,TargetInvolvedInPathway,TARGET_00019,PATHWAY_00088,regulator,0.66,important,upstream,3.84,93.5,0.8,PATHWAY_DB
TARGET_PATHWAY_00079,TargetInvolvedInPathway,TARGET_00060,PATHWAY_00038,regulator,0.968,essential,downstream,3.9,76.5,0.83,PATHWAY_DB
TARGET_PATHWAY_00080,TargetInvolvedInPathway,TARGET_00107,PATHWAY_00056,enzyme,0.2,moderate,central,0.51,99.0,0.896,PATHWAY_DB
TARGET_PATHWAY_00081,TargetInvolvedInPathway,TARGET_00072,PATHWAY_00092,cofactor,0.248,essential,downstream,7.19,61.9,0.723,PATHWAY_DB
TARGET_PATHWAY_00082,TargetInvolvedInPathway,TARGET_00078,PATHWAY_00021,regulator,0.788,moderate,upstream,9.27,19.8,0.718,PATHWAY_DB
TARGET_PATHWAY_00083,TargetInvolvedInPathway,TARGET_00115,PATHWAY_00073,substrate,0.139,minor,downstream,7.26,10.2,0.837,PATHWAY_DB
TARGET_PATHWAY_00084,TargetInvolvedInPathway,TARGET_00190,PATHWAY_00097,enzyme,0.998,essential,central,7.91,0.8,0.809,PATHWAY_DB
TARGET_PATHWAY_00085,TargetInvolvedInPathway,TARGET_00123,PATHWAY_00084,cofactor,0.478,essential,upstream,9.65,56.4,0.765,PATHWAY_DB
TARGET_PATHWAY_00086,TargetInvolvedInPathway,TARGET_00054,PATHWAY_00065,regulator,0.245,important,central,0.61,7.5,0.882,PATHWAY_DB
TARGET_PATHWAY_00087,TargetInvolvedInPathway,TARGET_00006,PATHWAY_00032,regulator,0.664,essential,central,9.16,46.8,0.913,PATHWAY_DB
TARGET_PATHWAY_00088,TargetInvolvedInPathway,TARGET_00073,PATHWAY_00004,regulator,0.949,minor,upstream,3.22,85.2,0.889,PATHWAY_DB
TARGET_PATHWAY_00089,TargetInvolvedInPathway,TARGET_00043,PATHWAY_00074,enzyme,0.375,minor,upstream,9.95,53.5,0.81,PATHWAY_DB
TARGET_PATHWAY_00090,TargetInvolvedInPathway,TARGET_00013,PATHWAY_00054,regulator,0.324,important,upstream,2.23,21.1,0.921,PATHWAY_DB
TARGET_PATHWAY_00091,TargetInvolvedInPathway,TARGET_00104,PATHWAY_00024,enzyme,0.927,essential,upstream,1.87,19.8,0.906,PATHWAY_DB
TARGET_PATHWAY_00092,TargetInvolvedInPathway,TARGET_00008,PATHWAY_00011,cofactor,0.669,essential,upstream,6.1,60.8,0.927,PATHWAY_DB
TARGET_PATHWAY_00093,TargetInvolvedInPathway,TARGET_00029,PATHWAY_00089,cofactor,0.371,essential,upstream,4.66,99.6,0.748,PATHWAY_DB
TARGET_PATHWAY_00094,TargetInvolvedInPathway,TARGET_00189,PATHWAY_00005,regulator,0.76,important,peripheral,2.76,68.9,0.839,PATHWAY_DB
TARGET_PATHWAY_00095,TargetInvolvedInPathway,TARGET_00161,PATHWAY_00022,cofactor,0.336,moderate,central,0.12,40.4,0.845,PATHWAY_DB
TARGET_PATHWAY_00096,TargetInvolvedInPathway,TARGET_00128,PATHWAY_00022,regulator,0.783,important,upstream,2.77,90.7,0.861,PATHWAY_DB
TARGET_PATHWAY_00097,TargetInvolvedInPathway,TARGET_00008,PATHWAY_00047,substrate,0.832,essential,peripheral,1.76,94.7,0.896,PATHWAY_DB
TARGET_PATHWAY_00098,TargetInvolvedInPathway,TARGET_00031,PATHWAY_00007,cofactor,0.78,moderate,central,9.19,2.9,0.768,PATHWAY_DB
TARGET_PATHWAY_00099,TargetInvolvedInPathway,TARGET_00125,PATHWAY_00046,cofactor,0.828,important,central,5.85,61.1,0.731,PATHWAY_DB
TARGET_PATHWAY_00100,TargetInvolvedInPathway,TARGET_00103,PATHWAY_00067,substrate,0.719,moderate,peripheral,7.32,83.5,0.847,PATHWAY_DB
TARGET_PATHWAY_00101,TargetInvolvedInPathway,TARGET_00106,PATHWAY_00061,enzyme,0.212,moderate,peripheral,7.51,86.1,0.94,PATHWAY_DB
TARGET_PATHWAY_00102,TargetInvolvedInPathway,TARGET_00139,PATHWAY_00041,enzyme,0.37,important,peripheral,4.16,87.3,0.764,PATHWAY_DB
TARGET_PATHWAY_00103,TargetInvolvedInPathway,TARGET_00178,PATHWAY_00100,regulator,0.941,minor,peripheral,7.66,15.1,0.913,PATHWAY_DB
TARGET_PATHWAY_00104,TargetInvolvedInPathway,TARGET_00024,PATHWAY_00027,substrate,0.945,important,downstream,3.6,32.8,0.775,PATHWAY_DB
TARGET_PATHWAY_00105,TargetInvolvedInPathway,TARGET_00139,PATHWAY_00069,cofactor,0.693,minor,downstream,7.85,39.8,0.73,PATHWAY_DB
TARGET_PATHWAY_00106,TargetInvolvedInPathway,TARGET_00004,PATHWAY_00007,cofactor,0.715,important,downstream,5.37,77.7,0.738,PATHWAY_DB
TARGET_PATHWAY_00107,TargetInvolvedInPathway,TARGET_00081,PATHWAY_00026,regulator,0.873,important,upstream,0.93,92.1,0.861,PATHWAY_DB
TARGET_PATHWAY_00108,TargetInvolvedInPathway,TARGET_00081,PATHWAY_00063,substrate,0.835,minor,upstream,8.7,31.7,0.85,PATHWAY_DB
TARGET_PATHWAY_00109,TargetInvolvedInPathway,TARGET_00142,PATHWAY_00088,regulator,0.625,moderate,central,6.62,41.4,0.938,PATHWAY_DB
TARGET_PATHWAY_00110,TargetInvolvedInPathway,TARGET_00073,PATHWAY_00083,cofactor,0.45,important,central,0.73,33.4,0.793,PATHWAY_DB
TARGET_PATHWAY_00111,TargetInvolvedInPathway,TARGET_00002,PATHWAY_00043,enzyme,0.188,minor,downstream,4.77,79.7,0.923,PATHWAY_DB
TARGET_PATHWAY_00112,TargetInvolvedInPathway,TARGET_00031,PATHWAY_00025,cofactor,0.856,important,peripheral,0.39,86.8,0.838,PATHWAY_DB
TARGET_PATHWAY_00113,TargetInvolvedInPathway,TARGET_00035,PATHWAY_00011,cofactor,0.954,essential,peripheral,2.56,97.5,0.74,PATHWAY_DB
TARGET_PATHWAY_00114,TargetInvolvedInPathway,TARGET_00065,PATHWAY_00050,cofactor,0.889,moderate,downstream,3.96,54.2,0.823,PATHWAY_DB
TARGET_PATHWAY_00115,TargetInvolvedInPathway,TARGET_00130,PATHWAY_00014,enzyme,0.218,minor,peripheral,0.11,91.4,0.832,PATHWAY_DB
TARGET_PATHWAY_00116,TargetInvolvedInPathway,TARGET_00181,PATHWAY_00018,regulator,0.439,moderate,downstream,6.42,2.6,0.922,PATHWAY_DB
TARGET_PATHWAY_00117,TargetInvolvedInPathway,TARGET_00005,PATHWAY_00062,regulator,0.425,important,downstream,0.87,90.2,0.705,PATHWAY_DB
TARGET_PATHWAY_00118,TargetInvolvedInPathway,TARGET_00149,PATHWAY_00099,cofactor,0.882,essential,central,0.46,56.2,0.948,PATHWAY_DB
TARGET_PATHWAY_00119,TargetInvolvedInPathway,TARGET_00152,PATHWAY_00068,enzyme,0.405,minor,peripheral,5.48,29.3,0.861,PATHWAY_DB
TARGET_PATHWAY_00120,TargetInvolvedInPathway,TARGET_00156,PATHWAY_00057,cofactor,0.85,moderate,upstream,5.35,95.6,0.779,PATHWAY_DB
TARGET_PATHWAY_00121,TargetInvolvedInPathway,TARGET_00175,PATHWAY_00035,substrate,0.132,moderate,upstream,4.68,92.2,0.932,PATHWAY_DB
TARGET_PATHWAY_00122,TargetInvolvedInPathway,TARGET_00158,PATHWAY_00023,enzyme,0.841,important,upstream,4.18,97.5,0.946,PATHWAY_DB
TARGET_PATHWAY_00123,TargetInvolvedInPathway,TARGET_00190,PATHWAY_00015,regulator,0.901,essential,downstream,4.89,78.6,0.84,PATHWAY_DB
TARGET_PATHWAY_00124,TargetInvolvedInPathway,TARGET_00048,PATHWAY_00091,enzyme,0.56,essential,central,4.02,16.5,0.791,PATHWAY_DB
TARGET_PATHWAY_00125,TargetInvolvedInPathway,TARGET_00043,PATHWAY_00063,cofactor,0.251,essential,peripheral,8.9,48.1,0.883,PATHWAY_DB
TARGET_PATHWAY_00126,TargetInvolvedInPathway,TARGET_00136,PATHWAY_00093,cofactor,0.125,moderate,upstream,4.78,28.3,0.797,PATHWAY_DB
TARGET_PATHWAY_00127,TargetInvolvedInPathway,TARGET_00014,PATHWAY_00084,enzyme,0.519,important,peripheral,6.91,89.8,0.745,PATHWAY_DB
TARGET_PATHWAY_00128,TargetInvolvedInPathway,TARGET_00151,PATHWAY_00045,substrate,0.73,minor,central,6.49,98.6,0.878,PATHWAY_DB
TARGET_PATHWAY_00129,TargetInvolvedInPathway,TARGET_00172,PATHWAY_00056,regulator,0.463,minor,upstream,1.08,72.1,0.87,PATHWAY_DB
TARGET_PATHWAY_00130,TargetInvolvedInPathway,TARGET_00031,PATHWAY_00053,regulator,0.38,minor,upstream,9.84,87.4,0.824,PATHWAY_DB
TARGET_PATHWAY_00131,TargetInvolvedInPathway,TARGET_00020,PATHWAY_00024,substrate,0.779,important,peripheral,3.56,56.3,0.888,PATHWAY_DB
TARGET_PATHWAY_00132,TargetInvolvedInPathway,TARGET_00179,PATHWAY_00086,enzyme,0.908,moderate,central,6.22,68.5,0.816,PATHWAY_DB
TARGET_PATHWAY_00133,TargetInvolvedInPathway,TARGET_00197,PATHWAY_00064,cofactor,0.188,moderate,peripheral,7.48,47.6,0.91,PATHWAY_DB
TARGET_PATHWAY_00134,TargetInvolvedInPathway,TARGET_00018,PATHWAY_00011,cofactor,0.941,minor,central,5.37,69.5,0.809,PATHWAY_DB
TARGET_PATHWAY_00135,TargetInvolvedInPathway,TARGET_00044,PATHWAY_00067,regulator,0.204,important,upstream,2.62,48.1,0.918,PATHWAY_DB
TARGET_PATHWAY_00136,TargetInvolvedInPathway,TARGET_00042,PATHWAY_00035,enzyme,0.517,moderate,central,7.31,25.0,0.851,PATHWAY_DB
TARGET_PATHWAY_00137,TargetInvolvedInPathway,TARGET_00130,PATHWAY_00080,cofactor,0.213,important,peripheral,8.94,78.6,0.703,PATHWAY_DB
TARGET_PATHWAY_00138,TargetInvolvedInPathway,TARGET_00035,PATHWAY_00007,cofactor,0.3,moderate,peripheral,9.83,56.3,0.708,PATHWAY_DB
TARGET_PATHWAY_00139,TargetInvolvedInPathway,TARGET_00057,PATHWAY_00024,substrate,0.721,essential,central,4.09,71.4,0.812,PATHWAY_DB
TARGET_PATHWAY_00140,TargetInvolvedInPathway,TARGET_00125,PATHWAY_00082,regulator,0.115,important,downstream,8.92,96.9,0.884,PATHWAY_DB
TARGET_PATHWAY_00141,TargetInvolvedInPathway,TARGET_00094,PATHWAY_00006,enzyme,0.923,minor,upstream,2.37,7.0,0.773,PATHWAY_DB
TARGET_PATHWAY_00142,TargetInvolvedInPathway,TARGET_00167,PATHWAY_00071,regulator,0.885,moderate,peripheral,5.16,29.3,0.722,PATHWAY_DB
TARGET_PATHWAY_00143,TargetInvolvedInPathway,TARGET_00142,PATHWAY_00089,enzyme,0.171,essential,downstream,3.93,96.3,0.84,PATHWAY_DB
TARGET_PATHWAY_00144,TargetInvolvedInPathway,TARGET_00050,PATHWAY_00024,enzyme,0.276,essential,central,2.4,83.3,0.744,PATHWAY_DB
TARGET_PATHWAY_00145,TargetInvolvedInPathway,TARGET_00057,PATHWAY_00042,cofactor,0.652,moderate,central,2.74,14.0,0.787,PATHWAY_DB
TARGET_PATHWAY_00146,TargetInvolvedInPathway,TARGET_00027,PATHWAY_00018,regulator,0.864,essential,downstream,3.6,79.8,0.844,PATHWAY_DB
TARGET_PATHWAY_00147,TargetInvolvedInPathway,TARGET_00164,PATHWAY_00042,regulator,0.74,minor,central,2.14,19.8,0.747,PATHWAY_DB
TARGET_PATHWAY_00148,TargetInvolvedInPathway,TARGET_00047,PATHWAY_00058,regulator,0.94,moderate,central,9.7,83.4,0.786,PATHWAY_DB
TARGET_PATHWAY_00149,TargetInvolvedInPathway,TARGET_00053,PATHWAY_00079,substrate,0.183,minor,upstream,5.32,69.1,0.9,PATHWAY_DB
TARGET_PATHWAY_00150,TargetInvolvedInPathway,TARGET_00018,PATHWAY_00059,enzyme,0.996,important,upstream,7.99,27.6,0.754,PATHWAY_DB
TARGET_PATHWAY_00151,TargetInvolvedInPathway,TARGET_00168,PATHWAY_00040,substrate,0.194,minor,central,3.76,29.0,0.721,PATHWAY_DB
TARGET_PATHWAY_00152,TargetInvolvedInPathway,TARGET_00127,PATHWAY_00008,cofactor,0.975,important,downstream,6.65,47.4,0.781,PATHWAY_DB
TARGET_PATHWAY_00153,TargetInvolvedInPathway,TARGET_00064,PATHWAY_00078,enzyme,0.441,important,peripheral,4.48,75.7,0.821,PATHWAY_DB
TARGET_PATHWAY_00154,TargetInvolvedInPathway,TARGET_00181,PATHWAY_00083,cofactor,0.498,moderate,peripheral,4.25,50.9,0.806,PATHWAY_DB
TARGET_PATHWAY_00155,TargetInvolvedInPathway,TARGET_00095,PATHWAY_00096,substrate,0.495,essential,upstream,9.89,35.8,0.853,PATHWAY_DB
TARGET_PATHWAY_00156,TargetInvolvedInPathway,TARGET_00045,PATHWAY_00034,regulator,0.859,essential,central,2.33,68.9,0.717,PATHWAY_DB
TARGET_PATHWAY_00157,TargetInvolvedInPathway,TARGET_00122,PATHWAY_00039,substrate,0.138,important,upstream,4.01,64.6,0.717,PATHWAY_DB
TARGET_PATHWAY_00158,TargetInvolvedInPathway,TARGET_00180,PATHWAY_00009,enzyme,0.126,minor,peripheral,5.08,82.5,0.756,PATHWAY_DB
TARGET_PATHWAY_00159,TargetInvolvedInPathway,TARGET_00111,PATHWAY_00014,cofactor,0.854,important,downstream,0.11,44.0,0.815,PATHWAY_DB
TARGET_PATHWAY_00160,TargetInvolvedInPathway,TARGET_00068,PATHWAY_00064,enzyme,0.773,important,upstream,6.36,32.9,0.849,PATHWAY_DB
TARGET_PATHWAY_00161,TargetInvolvedInPathway,TARGET_00118,PATHWAY_00043,enzyme,0.692,important,peripheral,0.82,80.0,0.769,PATHWAY_DB
TARGET_PATHWAY_00162,TargetInvolvedInPathway,TARGET_00188,PATHWAY_00053,cofactor,0.961,essential,upstream,1.46,95.2,0.845,PATHWAY_DB
TARGET_PATHWAY_00163,TargetInvolvedInPathway,TARGET_00046,PATHWAY_00036,enzyme,0.592,important,central,9.36,97.1,0.738,PATHWAY_DB
TARGET_PATHWAY_00164,TargetInvolvedInPathway,TARGET_00181,PATHWAY_00004,enzyme,0.962,important,downstream,5.08,43.7,0.863,PATHWAY_DB
TARGET_PATHWAY_00165,TargetInvolvedInPathway,TARGET_00176,PATHWAY_00062,substrate,0.72,important,upstream,9.84,90.4,0.938,PATHWAY_DB
TARGET_PATHWAY_00166,TargetInvolvedInPathway,TARGET_00076,PATHWAY_00070,enzyme,0.469,minor,upstream,9.04,71.4,0.929,PATHWAY_DB
