Id,Label,FromId,ToId,Properties:efficacy,Properties:sideEffectProfile,Properties:dosage,Properties:frequency,Properties:duration,Properties:route,Properties:indication,Properties:evidence,Properties:confidence,Properties:source
DRUG_TREATS_00014,DrugTreats,DRUG_00201,DISEASE_00025,0.791,severe,172mg,twice_daily,10 weeks,intravenous,primary,case_study,0.884,CLINICAL_TRIALS
DRUG_TREATS_00015,DrugTreats,DRUG_00273,DISEASE_00148,0.522,severe,89mg,once_daily,11 weeks,topical,off_label,case_study,0.913,CLINICAL_TRIALS
DRUG_TREATS_00016,DrugTreats,DRUG_00197,DISEASE_00118,0.779,mild,134mg,as_needed,31 weeks,oral,off_label,real_world,0.98,CLINICAL_TRIALS
DRUG_TREATS_00017,DrugTreats,DRUG_00088,DISEASE_00136,0.941,moderate,120mg,three_times_daily,10 weeks,topical,off_label,Phase_II,0.948,CLINICAL_TRIALS
DRUG_TREATS_00018,DrugTreats,DRUG_00075,DISEASE_00007,0.519,mild,348mg,twice_daily,6 weeks,intramuscular,off_label,Phase_II,0.887,CLINICAL_TRIALS
DRUG_TREATS_00019,DrugTreats,DRUG_00126,DISEASE_00150,0.603,moderate,41mg,three_times_daily,49 weeks,intravenous,primary,real_world,0.729,CLINICAL_TRIALS
DRUG_TREATS_00020,DrugTreats,DRUG_00479,DISEASE_00106,0.582,moderate,444mg,once_daily,33 weeks,intravenous,primary,real_world,0.93,CLINICAL_TRIALS
DRUG_TREATS_00021,DrugTreats,DRUG_00224,DISEASE_00079,0.404,moderate,460mg,as_needed,11 weeks,intravenous,primary,real_world,0.809,CLINICAL_TRIALS
DRUG_TREATS_00022,DrugTreats,DRUG_00379,DISEASE_00095,0.607,moderate,34mg,three_times_daily,49 weeks,oral,primary,real_world,0.94,CLINICAL_TRIALS
DRUG_TREATS_00023,DrugTreats,DRUG_00361,DISEASE_00143,0.536,moderate,332mg,twice_daily,25 weeks,topical,secondary,Phase_III,0.959,CLINICAL_TRIALS
DRUG_TREATS_00024,DrugTreats,DRUG_00274,DISEASE_00148,0.911,severe,241mg,once_daily,5 weeks,oral,off_label,real_world,0.771,CLINICAL_TRIALS
DRUG_TREATS_00025,DrugTreats,DRUG_00266,DISEASE_00146,0.849,moderate,493mg,twice_daily,30 weeks,topical,off_label,case_study,0.873,CLINICAL_TRIALS
DRUG_TREATS_00026,DrugTreats,DRUG_00074,DISEASE_00126,0.407,moderate,221mg,once_daily,27 weeks,oral,primary,case_study,0.818,CLINICAL_TRIALS
DRUG_TREATS_00027,DrugTreats,DRUG_00354,DISEASE_00087,0.672,mild,250mg,three_times_daily,3 weeks,intravenous,off_label,Phase_II,0.722,CLINICAL_TRIALS
DRUG_TREATS_00028,DrugTreats,DRUG_00229,DISEASE_00037,0.941,severe,206mg,twice_daily,30 weeks,intravenous,off_label,Phase_II,0.864,CLINICAL_TRIALS
DRUG_TREATS_00029,DrugTreats,DRUG_00266,DISEASE_00113,0.38,severe,151mg,once_daily,33 weeks,topical,primary,Phase_III,0.732,CLINICAL_TRIALS
DRUG_TREATS_00030,DrugTreats,DRUG_00068,DISEASE_00059,0.448,mild,419mg,three_times_daily,11 weeks,intramuscular,secondary,real_world,0.814,CLINICAL_TRIALS
DRUG_TREATS_00031,DrugTreats,DRUG_00101,DISEASE_00117,0.826,moderate,303mg,twice_daily,8 weeks,oral,primary,real_world,0.913,CLINICAL_TRIALS
DRUG_TREATS_00032,DrugTreats,DRUG_00168,DISEASE_00019,0.329,moderate,11mg,as_needed,52 weeks,oral,secondary,Phase_III,0.72,CLINICAL_TRIALS
DRUG_TREATS_00033,DrugTreats,DRUG_00404,DISEASE_00122,0.336,mild,329mg,as_needed,14 weeks,intravenous,primary,Phase_III,0.867,CLINICAL_TRIALS
DRUG_TREATS_00034,DrugTreats,DRUG_00142,DISEASE_00118,0.924,mild,315mg,as_needed,11 weeks,oral,primary,Phase_II,0.916,CLINICAL_TRIALS
DRUG_TREATS_00035,DrugTreats,DRUG_00296,DISEASE_00046,0.86,moderate,320mg,three_times_daily,19 weeks,intravenous,primary,real_world,0.854,CLINICAL_TRIALS
DRUG_TREATS_00036,DrugTreats,DRUG_00034,DISEASE_00071,0.606,moderate,367mg,twice_daily,39 weeks,topical,secondary,real_world,0.763,CLINICAL_TRIALS
DRUG_TREATS_00037,DrugTreats,DRUG_00198,DISEASE_00120,0.372,mild,436mg,three_times_daily,10 weeks,oral,off_label,Phase_III,0.919,CLINICAL_TRIALS
DRUG_TREATS_00038,DrugTreats,DRUG_00397,DISEASE_00014,0.773,moderate,431mg,twice_daily,6 weeks,topical,secondary,Phase_II,0.829,CLINICAL_TRIALS
DRUG_TREATS_00039,DrugTreats,DRUG_00039,DISEASE_00045,0.627,severe,145mg,once_daily,2 weeks,intramuscular,off_label,case_study,0.959,CLINICAL_TRIALS
DRUG_TREATS_00040,DrugTreats,DRUG_00083,DISEASE_00124,0.648,moderate,73mg,three_times_daily,3 weeks,intravenous,primary,real_world,0.924,CLINICAL_TRIALS
DRUG_TREATS_00041,DrugTreats,DRUG_00041,DISEASE_00060,0.485,moderate,137mg,as_needed,39 weeks,topical,primary,real_world,0.86,CLINICAL_TRIALS
DRUG_TREATS_00042,DrugTreats,DRUG_00412,DISEASE_00026,0.664,mild,106mg,twice_daily,38 weeks,topical,secondary,Phase_III,0.768,CLINICAL_TRIALS
DRUG_TREATS_00043,DrugTreats,DRUG_00228,DISEASE_00118,0.681,moderate,324mg,as_needed,29 weeks,oral,off_label,real_world,0.798,CLINICAL_TRIALS
DRUG_TREATS_00044,DrugTreats,DRUG_00225,DISEASE_00128,0.573,mild,62mg,once_daily,31 weeks,intravenous,secondary,Phase_III,0.81,CLINICAL_TRIALS
DRUG_TREATS_00045,DrugTreats,DRUG_00311,DISEASE_00064,0.74,mild,130mg,twice_daily,46 weeks,topical,primary,Phase_II,0.937,CLINICAL_TRIALS
DRUG_TREATS_00046,DrugTreats,DRUG_00373,DISEASE_00052,0.878,severe,49mg,three_times_daily,15 weeks,intravenous,off_label,case_study,0.883,CLINICAL_TRIALS
DRUG_TREATS_00047,DrugTreats,DRUG_00290,DISEASE_00099,0.66,mild,168mg,twice_daily,12 weeks,intramuscular,primary,Phase_II,0.774,CLINICAL_TRIALS
DRUG_TREATS_00048,DrugTreats,DRUG_00140,DISEASE_00104,0.843,mild,438mg,twice_daily,26 weeks,intramuscular,secondary,real_world,0.78,CLINICAL_TRIALS
DRUG_TREATS_00049,DrugTreats,DRUG_00274,DISEASE_00046,0.414,severe,437mg,once_daily,35 weeks,topical,off_label,Phase_III,0.796,CLINICAL_TRIALS
DRUG_TREATS_00050,DrugTreats,DRUG_00459,DISEASE_00021,0.585,moderate,325mg,twice_daily,28 weeks,topical,secondary,Phase_III,0.921,CLINICAL_TRIALS
DRUG_TREATS_00051,DrugTreats,DRUG_00442,DISEASE_00119,0.34,severe,444mg,once_daily,11 weeks,intramuscular,primary,real_world,0.826,CLINICAL_TRIALS
DRUG_TREATS_00052,DrugTreats,DRUG_00290,DISEASE_00091,0.429,moderate,200mg,three_times_daily,43 weeks,topical,primary,case_study,0.721,CLINICAL_TRIALS
DRUG_TREATS_00053,DrugTreats,DRUG_00484,DISEASE_00058,0.91,mild,77mg,twice_daily,4 weeks,intravenous,secondary,case_study,0.951,CLINICAL_TRIALS
DRUG_TREATS_00054,DrugTreats,DRUG_00010,DISEASE_00112,0.947,mild,156mg,three_times_daily,7 weeks,intramuscular,primary,case_study,0.978,CLINICAL_TRIALS
DRUG_TREATS_00055,DrugTreats,DRUG_00037,DISEASE_00077,0.469,moderate,137mg,once_daily,4 weeks,intravenous,primary,real_world,0.843,CLINICAL_TRIALS
DRUG_TREATS_00056,DrugTreats,DRUG_00475,DISEASE_00105,0.638,moderate,442mg,three_times_daily,45 weeks,intramuscular,off_label,Phase_II,0.969,CLINICAL_TRIALS
DRUG_TREATS_00057,DrugTreats,DRUG_00243,DISEASE_00117,0.361,moderate,394mg,three_times_daily,52 weeks,topical,secondary,Phase_II,0.738,CLINICAL_TRIALS
DRUG_TREATS_00058,DrugTreats,DRUG_00046,DISEASE_00082,0.435,severe,438mg,twice_daily,15 weeks,topical,off_label,Phase_III,0.821,CLINICAL_TRIALS
DRUG_TREATS_00059,DrugTreats,DRUG_00406,DISEASE_00029,0.564,moderate,483mg,as_needed,38 weeks,oral,secondary,real_world,0.868,CLINICAL_TRIALS
DRUG_TREATS_00060,DrugTreats,DRUG_00090,DISEASE_00044,0.363,severe,216mg,as_needed,51 weeks,intravenous,primary,Phase_II,0.773,CLINICAL_TRIALS
DRUG_TREATS_00061,DrugTreats,DRUG_00034,DISEASE_00019,0.826,severe,65mg,as_needed,12 weeks,topical,secondary,real_world,0.978,CLINICAL_TRIALS
DRUG_TREATS_00062,DrugTreats,DRUG_00410,DISEASE_00032,0.782,mild,427mg,as_needed,5 weeks,intravenous,primary,Phase_II,0.862,CLINICAL_TRIALS
DRUG_TREATS_00063,DrugTreats,DRUG_00081,DISEASE_00122,0.695,severe,24mg,three_times_daily,25 weeks,intravenous,secondary,case_study,0.905,CLINICAL_TRIALS
DRUG_TREATS_00064,DrugTreats,DRUG_00064,DISEASE_00078,0.411,moderate,161mg,as_needed,39 weeks,topical,off_label,Phase_II,0.934,CLINICAL_TRIALS
DRUG_TREATS_00065,DrugTreats,DRUG_00029,DISEASE_00114,0.54,mild,421mg,twice_daily,33 weeks,intravenous,primary,Phase_II,0.815,CLINICAL_TRIALS
DRUG_TREATS_00066,DrugTreats,DRUG_00383,DISEASE_00082,0.748,mild,194mg,as_needed,3 weeks,topical,off_label,case_study,0.732,CLINICAL_TRIALS
DRUG_TREATS_00067,DrugTreats,DRUG_00120,DISEASE_00043,0.947,mild,458mg,three_times_daily,7 weeks,topical,secondary,Phase_II,0.751,CLINICAL_TRIALS
DRUG_TREATS_00068,DrugTreats,DRUG_00314,DISEASE_00095,0.636,moderate,255mg,twice_daily,19 weeks,oral,secondary,Phase_III,0.782,CLINICAL_TRIALS
DRUG_TREATS_00069,DrugTreats,DRUG_00102,DISEASE_00043,0.899,severe,190mg,twice_daily,16 weeks,topical,primary,real_world,0.734,CLINICAL_TRIALS
DRUG_TREATS_00070,DrugTreats,DRUG_00271,DISEASE_00050,0.706,severe,325mg,three_times_daily,6 weeks,intramuscular,primary,case_study,0.758,CLINICAL_TRIALS
DRUG_TREATS_00071,DrugTreats,DRUG_00310,DISEASE_00018,0.481,severe,217mg,twice_daily,36 weeks,intravenous,off_label,real_world,0.779,CLINICAL_TRIALS
DRUG_TREATS_00072,DrugTreats,DRUG_00288,DISEASE_00109,0.815,severe,332mg,three_times_daily,24 weeks,topical,secondary,Phase_II,0.788,CLINICAL_TRIALS
DRUG_TREATS_00073,DrugTreats,DRUG_00153,DISEASE_00051,0.515,severe,124mg,once_daily,10 weeks,intramuscular,secondary,case_study,0.925,CLINICAL_TRIALS
DRUG_TREATS_00074,DrugTreats,DRUG_00373,DISEASE_00129,0.624,moderate,478mg,three_times_daily,46 weeks,oral,primary,real_world,0.714,CLINICAL_TRIALS
DRUG_TREATS_00075,DrugTreats,DRUG_00280,DISEASE_00034,0.375,severe,73mg,once_daily,47 weeks,intravenous,primary,Phase_III,0.976,CLINICAL_TRIALS
DRUG_TREATS_00076,DrugTreats,DRUG_00101,DISEASE_00069,0.848,severe,139mg,twice_daily,33 weeks,topical,primary,Phase_II,0.884,CLINICAL_TRIALS
DRUG_TREATS_00077,DrugTreats,DRUG_00273,DISEASE_00079,0.794,mild,284mg,once_daily,8 weeks,oral,primary,Phase_II,0.856,CLINICAL_TRIALS
DRUG_TREATS_00078,DrugTreats,DRUG_00404,DISEASE_00103,0.663,moderate,153mg,twice_daily,2 weeks,intravenous,secondary,Phase_III,0.826,CLINICAL_TRIALS
DRUG_TREATS_00079,DrugTreats,DRUG_00177,DISEASE_00031,0.674,severe,75mg,as_needed,8 weeks,oral,primary,Phase_II,0.72,CLINICAL_TRIALS
DRUG_TREATS_00080,DrugTreats,DRUG_00217,DISEASE_00019,0.714,mild,178mg,once_daily,21 weeks,intramuscular,primary,Phase_III,0.942,CLINICAL_TRIALS
DRUG_TREATS_00081,DrugTreats,DRUG_00488,DISEASE_00038,0.81,moderate,176mg,three_times_daily,25 weeks,intravenous,off_label,Phase_III,0.911,CLINICAL_TRIALS
DRUG_TREATS_00082,DrugTreats,DRUG_00109,DISEASE_00063,0.383,severe,141mg,twice_daily,14 weeks,oral,primary,real_world,0.832,CLINICAL_TRIALS
DRUG_TREATS_00083,DrugTreats,DRUG_00317,DISEASE_00054,0.883,severe,215mg,three_times_daily,30 weeks,topical,primary,Phase_II,0.814,CLINICAL_TRIALS
DRUG_TREATS_00084,DrugTreats,DRUG_00154,DISEASE_00095,0.525,moderate,423mg,three_times_daily,13 weeks,intramuscular,off_label,case_study,0.909,CLINICAL_TRIALS
DRUG_TREATS_00085,DrugTreats,DRUG_00354,DISEASE_00034,0.816,severe,385mg,once_daily,34 weeks,topical,off_label,Phase_II,0.785,CLINICAL_TRIALS
DRUG_TREATS_00086,DrugTreats,DRUG_00115,DISEASE_00127,0.535,severe,36mg,three_times_daily,43 weeks,intravenous,secondary,case_study,0.869,CLINICAL_TRIALS
DRUG_TREATS_00087,DrugTreats,DRUG_00164,DISEASE_00003,0.472,mild,319mg,twice_daily,50 weeks,topical,primary,Phase_III,0.718,CLINICAL_TRIALS
DRUG_TREATS_00088,DrugTreats,DRUG_00070,DISEASE_00011,0.676,moderate,418mg,as_needed,22 weeks,oral,primary,Phase_II,0.905,CLINICAL_TRIALS
DRUG_TREATS_00089,DrugTreats,DRUG_00038,DISEASE_00124,0.719,severe,97mg,once_daily,33 weeks,intravenous,off_label,Phase_III,0.939,CLINICAL_TRIALS
DRUG_TREATS_00090,DrugTreats,DRUG_00068,DISEASE_00093,0.66,moderate,499mg,three_times_daily,13 weeks,intramuscular,primary,case_study,0.836,CLINICAL_TRIALS
DRUG_TREATS_00091,DrugTreats,DRUG_00101,DISEASE_00113,0.399,mild,481mg,as_needed,15 weeks,topical,off_label,case_study,0.955,CLINICAL_TRIALS
DRUG_TREATS_00092,DrugTreats,DRUG_00420,DISEASE_00005,0.565,severe,87mg,three_times_daily,27 weeks,topical,primary,Phase_II,0.849,CLINICAL_TRIALS
DRUG_TREATS_00093,DrugTreats,DRUG_00220,DISEASE_00082,0.384,severe,38mg,once_daily,35 weeks,oral,secondary,real_world,0.89,CLINICAL_TRIALS
DRUG_TREATS_00094,DrugTreats,DRUG_00352,DISEASE_00012,0.379,mild,24mg,once_daily,38 weeks,topical,off_label,Phase_II,0.754,CLINICAL_TRIALS
DRUG_TREATS_00095,DrugTreats,DRUG_00045,DISEASE_00116,0.739,mild,285mg,as_needed,52 weeks,topical,secondary,Phase_III,0.921,CLINICAL_TRIALS
DRUG_TREATS_00096,DrugTreats,DRUG_00422,DISEASE_00008,0.844,moderate,245mg,as_needed,30 weeks,intramuscular,off_label,case_study,0.882,CLINICAL_TRIALS
DRUG_TREATS_00097,DrugTreats,DRUG_00363,DISEASE_00118,0.872,mild,221mg,as_needed,34 weeks,intramuscular,primary,Phase_III,0.73,CLINICAL_TRIALS
DRUG_TREATS_00098,DrugTreats,DRUG_00292,DISEASE_00139,0.399,mild,55mg,twice_daily,1 weeks,intramuscular,primary,Phase_III,0.959,CLINICAL_TRIALS
DRUG_TREATS_00099,DrugTreats,DRUG_00464,DISEASE_00059,0.373,moderate,430mg,as_needed,49 weeks,intravenous,secondary,Phase_II,0.966,CLINICAL_TRIALS
DRUG_TREATS_00100,DrugTreats,DRUG_00435,DISEASE_00026,0.732,mild,107mg,as_needed,32 weeks,topical,primary,case_study,0.827,CLINICAL_TRIALS
DRUG_TREATS_00101,DrugTreats,DRUG_00116,DISEASE_00133,0.54,severe,365mg,twice_daily,4 weeks,intravenous,secondary,real_world,0.95,CLINICAL_TRIALS
DRUG_TREATS_00102,DrugTreats,DRUG_00430,DISEASE_00121,0.318,mild,428mg,once_daily,20 weeks,intravenous,primary,Phase_II,0.718,CLINICAL_TRIALS
DRUG_TREATS_00103,DrugTreats,DRUG_00334,DISEASE_00130,0.445,severe,460mg,twice_daily,3 weeks,intramuscular,primary,real_world,0.826,CLINICAL_TRIALS
DRUG_TREATS_00104,DrugTreats,DRUG_00368,DISEASE_00110,0.46,mild,196mg,as_needed,50 weeks,topical,off_label,case_study,0.973,CLINICAL_TRIALS
DRUG_TREATS_00105,DrugTreats,DRUG_00225,DISEASE_00128,0.734,moderate,158mg,twice_daily,6 weeks,intramuscular,primary,Phase_III,0.887,CLINICAL_TRIALS
DRUG_TREATS_00106,DrugTreats,DRUG_00319,DISEASE_00098,0.734,moderate,438mg,as_needed,40 weeks,intramuscular,primary,real_world,0.887,CLINICAL_TRIALS
DRUG_TREATS_00107,DrugTreats,DRUG_00078,DISEASE_00144,0.387,mild,223mg,once_daily,22 weeks,topical,primary,Phase_III,0.919,CLINICAL_TRIALS
DRUG_TREATS_00108,DrugTreats,DRUG_00235,DISEASE_00112,0.621,moderate,479mg,as_needed,39 weeks,intramuscular,secondary,real_world,0.884,CLINICAL_TRIALS
DRUG_TREATS_00109,DrugTreats,DRUG_00323,DISEASE_00059,0.925,severe,245mg,three_times_daily,2 weeks,oral,primary,real_world,0.786,CLINICAL_TRIALS
DRUG_TREATS_00110,DrugTreats,DRUG_00438,DISEASE_00014,0.549,moderate,293mg,twice_daily,16 weeks,topical,secondary,Phase_II,0.709,CLINICAL_TRIALS
DRUG_TREATS_00111,DrugTreats,DRUG_00469,DISEASE_00017,0.895,severe,288mg,as_needed,41 weeks,oral,off_label,real_world,0.884,CLINICAL_TRIALS
DRUG_TREATS_00112,DrugTreats,DRUG_00246,DISEASE_00022,0.359,mild,328mg,as_needed,2 weeks,intravenous,primary,case_study,0.974,CLINICAL_TRIALS
DRUG_TREATS_00113,DrugTreats,DRUG_00098,DISEASE_00103,0.777,moderate,409mg,three_times_daily,45 weeks,oral,secondary,real_world,0.896,CLINICAL_TRIALS
DRUG_TREATS_00114,DrugTreats,DRUG_00307,DISEASE_00022,0.852,severe,400mg,three_times_daily,4 weeks,oral,off_label,case_study,0.79,CLINICAL_TRIALS
DRUG_TREATS_00115,DrugTreats,DRUG_00350,DISEASE_00076,0.485,mild,83mg,as_needed,51 weeks,intravenous,primary,real_world,0.98,CLINICAL_TRIALS
DRUG_TREATS_00116,DrugTreats,DRUG_00098,DISEASE_00097,0.502,moderate,300mg,as_needed,51 weeks,intravenous,secondary,case_study,0.887,CLINICAL_TRIALS
DRUG_TREATS_00117,DrugTreats,DRUG_00441,DISEASE_00025,0.385,severe,347mg,once_daily,8 weeks,topical,secondary,real_world,0.934,CLINICAL_TRIALS
DRUG_TREATS_00118,DrugTreats,DRUG_00395,DISEASE_00027,0.491,moderate,117mg,as_needed,21 weeks,oral,off_label,case_study,0.852,CLINICAL_TRIALS
DRUG_TREATS_00119,DrugTreats,DRUG_00152,DISEASE_00117,0.884,moderate,75mg,three_times_daily,43 weeks,oral,primary,real_world,0.773,CLINICAL_TRIALS
DRUG_TREATS_00120,DrugTreats,DRUG_00214,DISEASE_00107,0.918,mild,316mg,twice_daily,5 weeks,topical,off_label,Phase_III,0.765,CLINICAL_TRIALS
DRUG_TREATS_00121,DrugTreats,DRUG_00231,DISEASE_00075,0.44,severe,389mg,three_times_daily,6 weeks,topical,off_label,Phase_II,0.733,CLINICAL_TRIALS
DRUG_TREATS_00122,DrugTreats,DRUG_00418,DISEASE_00082,0.602,severe,140mg,once_daily,51 weeks,oral,primary,real_world,0.772,CLINICAL_TRIALS
DRUG_TREATS_00123,DrugTreats,DRUG_00312,DISEASE_00125,0.386,severe,174mg,twice_daily,12 weeks,intravenous,secondary,real_world,0.75,CLINICAL_TRIALS
DRUG_TREATS_00124,DrugTreats,DRUG_00300,DISEASE_00073,0.461,moderate,484mg,three_times_daily,21 weeks,intramuscular,primary,real_world,0.831,CLINICAL_TRIALS
DRUG_TREATS_00125,DrugTreats,DRUG_00050,DISEASE_00046,0.574,moderate,324mg,as_needed,31 weeks,oral,off_label,Phase_III,0.711,CLINICAL_TRIALS
DRUG_TREATS_00126,DrugTreats,DRUG_00247,DISEASE_00070,0.528,moderate,384mg,once_daily,21 weeks,intramuscular,secondary,case_study,0.947,CLINICAL_TRIALS
DRUG_TREATS_00127,DrugTreats,DRUG_00467,DISEASE_00124,0.651,moderate,391mg,once_daily,8 weeks,intravenous,primary,real_world,0.73,CLINICAL_TRIALS
DRUG_TREATS_00128,DrugTreats,DRUG_00236,DISEASE_00049,0.762,moderate,416mg,as_needed,29 weeks,topical,off_label,case_study,0.743,CLINICAL_TRIALS
DRUG_TREATS_00129,DrugTreats,DRUG_00400,DISEASE_00089,0.36,moderate,293mg,three_times_daily,12 weeks,intramuscular,secondary,real_world,0.91,CLINICAL_TRIALS
DRUG_TREATS_00130,DrugTreats,DRUG_00418,DISEASE_00061,0.836,severe,247mg,three_times_daily,45 weeks,oral,secondary,real_world,0.86,CLINICAL_TRIALS
DRUG_TREATS_00131,DrugTreats,DRUG_00343,DISEASE_00144,0.812,severe,110mg,three_times_daily,8 weeks,oral,secondary,real_world,0.719,CLINICAL_TRIALS
DRUG_TREATS_00132,DrugTreats,DRUG_00054,DISEASE_00027,0.532,severe,337mg,twice_daily,42 weeks,intravenous,primary,real_world,0.739,CLINICAL_TRIALS
DRUG_TREATS_00133,DrugTreats,DRUG_00031,DISEASE_00136,0.709,severe,238mg,as_needed,47 weeks,oral,primary,case_study,0.728,CLINICAL_TRIALS
DRUG_TREATS_00134,DrugTreats,DRUG_00381,DISEASE_00105,0.49,severe,479mg,once_daily,42 weeks,oral,primary,Phase_III,0.795,CLINICAL_TRIALS
DRUG_TREATS_00135,DrugTreats,DRUG_00004,DISEASE_00001,0.628,severe,487mg,as_needed,48 weeks,intravenous,secondary,Phase_II,0.784,CLINICAL_TRIALS
DRUG_TREATS_00136,DrugTreats,DRUG_00095,DISEASE_00051,0.429,moderate,117mg,three_times_daily,14 weeks,intravenous,off_label,Phase_III,0.927,CLINICAL_TRIALS
DRUG_TREATS_00137,DrugTreats,DRUG_00330,DISEASE_00143,0.316,moderate,327mg,three_times_daily,2 weeks,intravenous,off_label,case_study,0.786,CLINICAL_TRIALS
DRUG_TREATS_00138,DrugTreats,DRUG_00425,DISEASE_00010,0.766,moderate,273mg,once_daily,47 weeks,oral,primary,real_world,0.841,CLINICAL_TRIALS
DRUG_TREATS_00139,DrugTreats,DRUG_00458,DISEASE_00067,0.335,mild,103mg,three_times_daily,41 weeks,oral,off_label,real_world,0.811,CLINICAL_TRIALS
DRUG_TREATS_00140,DrugTreats,DRUG_00207,DISEASE_00073,0.523,mild,264mg,twice_daily,12 weeks,topical,primary,real_world,0.805,CLINICAL_TRIALS
DRUG_TREATS_00141,DrugTreats,DRUG_00186,DISEASE_00006,0.328,mild,146mg,as_needed,52 weeks,intravenous,off_label,Phase_II,0.833,CLINICAL_TRIALS
DRUG_TREATS_00142,DrugTreats,DRUG_00433,DISEASE_00105,0.435,moderate,180mg,twice_daily,16 weeks,intravenous,off_label,Phase_II,0.92,CLINICAL_TRIALS
DRUG_TREATS_00143,DrugTreats,DRUG_00306,DISEASE_00140,0.476,moderate,499mg,three_times_daily,17 weeks,intravenous,secondary,Phase_III,0.828,CLINICAL_TRIALS
DRUG_TREATS_00144,DrugTreats,DRUG_00049,DISEASE_00143,0.698,moderate,278mg,as_needed,48 weeks,intramuscular,primary,Phase_II,0.815,CLINICAL_TRIALS
DRUG_TREATS_00145,DrugTreats,DRUG_00248,DISEASE_00033,0.603,moderate,90mg,as_needed,30 weeks,intramuscular,primary,Phase_II,0.882,CLINICAL_TRIALS
DRUG_TREATS_00146,DrugTreats,DRUG_00174,DISEASE_00049,0.361,severe,371mg,once_daily,39 weeks,oral,secondary,real_world,0.901,CLINICAL_TRIALS
DRUG_TREATS_00147,DrugTreats,DRUG_00344,DISEASE_00031,0.396,moderate,381mg,as_needed,43 weeks,intramuscular,secondary,case_study,0.894,CLINICAL_TRIALS
DRUG_TREATS_00148,DrugTreats,DRUG_00268,DISEASE_00028,0.631,moderate,58mg,three_times_daily,49 weeks,topical,off_label,real_world,0.787,CLINICAL_TRIALS
DRUG_TREATS_00149,DrugTreats,DRUG_00273,DISEASE_00011,0.913,moderate,337mg,as_needed,30 weeks,topical,off_label,real_world,0.788,CLINICAL_TRIALS
DRUG_TREATS_00150,DrugTreats,DRUG_00359,DISEASE_00141,0.435,severe,52mg,once_daily,49 weeks,intramuscular,off_label,case_study,0.853,CLINICAL_TRIALS
DRUG_TREATS_00151,DrugTreats,DRUG_00366,DISEASE_00071,0.51,mild,223mg,three_times_daily,29 weeks,intravenous,secondary,real_world,0.953,CLINICAL_TRIALS
DRUG_TREATS_00152,DrugTreats,DRUG_00317,DISEASE_00122,0.934,moderate,341mg,three_times_daily,18 weeks,intravenous,primary,Phase_III,0.868,CLINICAL_TRIALS
DRUG_TREATS_00153,DrugTreats,DRUG_00314,DISEASE_00150,0.673,mild,257mg,twice_daily,27 weeks,intravenous,secondary,Phase_II,0.953,CLINICAL_TRIALS
