Id,Label,FromId,ToId,Properties:effect,Properties:strength,Properties:pValue,Properties:foldChange,Properties:regulation,Properties:timepoint,Properties:cellLine,Properties:confidence,Properties:source
COMPOUND_PATHWAY_00025,CompoundAffectsPathway,COMPOUND_00245,PATHWAY_00061,inhibition,0.472,0.042835,1.6,upregulation,9 hours,A549,0.754,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00026,CompoundAffectsPathway,COMPOUND_00027,PATHWAY_00045,modulation,0.693,0.005096,2.59,mixed,71 hours,MCF7,0.813,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00027,CompoundAffectsPathway,COMPOUND_00117,PATHWAY_00074,inhibition,0.129,0.00877,1.46,upregulation,15 hours,MCF7,0.764,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00028,CompoundAffectsPathway,COMPOUND_00019,PATHWAY_00035,activation,0.194,0.013592,1.06,mixed,41 hours,HEK293,0.821,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00029,CompoundAffectsPathway,COMPOUND_00007,PATHWAY_00022,modulation,0.864,0.034913,2.93,mixed,51 hours,HepG2,0.772,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00030,CompoundAffectsPathway,COMPOUND_00023,PATHWAY_00033,inhibition,0.646,0.0161,0.93,downregulation,32 hours,MCF7,0.815,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00031,CompoundAffectsPathway,COMPOUND_00106,PATHWAY_00027,activation,0.613,0.040455,1.4,mixed,41 hours,A549,0.893,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00032,CompoundAffectsPathway,COMPOUND_00226,PATHWAY_00077,inhibition,0.487,0.00389,2.47,downregulation,39 hours,MCF7,0.714,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00033,CompoundAffectsPathway,COMPOUND_00048,PATHWAY_00023,inhibition,0.222,0.022433,2.44,upregulation,23 hours,HEK293,0.695,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00034,CompoundAffectsPathway,COMPOUND_00093,PATHWAY_00073,modulation,0.671,0.002196,1.48,mixed,11 hours,HepG2,0.87,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00035,CompoundAffectsPathway,COMPOUND_00047,PATHWAY_00029,modulation,0.468,0.040522,1.33,upregulation,25 hours,A549,0.699,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00036,CompoundAffectsPathway,COMPOUND_00142,PATHWAY_00018,activation,0.123,0.044666,0.65,mixed,25 hours,A549,0.897,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00037,CompoundAffectsPathway,COMPOUND_00128,PATHWAY_00032,activation,0.219,0.023339,0.77,mixed,52 hours,MCF7,0.868,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00038,CompoundAffectsPathway,COMPOUND_00289,PATHWAY_00027,modulation,0.781,0.014431,0.95,upregulation,41 hours,MCF7,0.664,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00039,CompoundAffectsPathway,COMPOUND_00274,PATHWAY_00062,inhibition,0.325,0.038078,1.25,mixed,69 hours,HEK293,0.757,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00040,CompoundAffectsPathway,COMPOUND_00054,PATHWAY_00035,activation,0.483,0.030766,2.04,mixed,33 hours,HepG2,0.89,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00041,CompoundAffectsPathway,COMPOUND_00148,PATHWAY_00052,activation,0.618,0.047022,2.23,upregulation,9 hours,HEK293,0.728,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00042,CompoundAffectsPathway,COMPOUND_00230,PATHWAY_00033,modulation,0.368,0.004574,2.18,downregulation,25 hours,HEK293,0.862,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00043,CompoundAffectsPathway,COMPOUND_00139,PATHWAY_00028,modulation,0.94,0.030527,2.86,mixed,18 hours,HEK293,0.701,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00044,CompoundAffectsPathway,COMPOUND_00053,PATHWAY_00008,activation,0.462,0.016953,1.83,upregulation,63 hours,HepG2,0.768,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00045,CompoundAffectsPathway,COMPOUND_00074,PATHWAY_00025,activation,0.369,0.044491,0.95,downregulation,3 hours,HepG2,0.882,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00046,CompoundAffectsPathway,COMPOUND_00025,PATHWAY_00079,activation,0.378,0.048584,0.92,upregulation,52 hours,HepG2,0.692,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00047,CompoundAffectsPathway,COMPOUND_00146,PATHWAY_00090,inhibition,0.102,0.043267,2.04,upregulation,52 hours,A549,0.885,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00048,CompoundAffectsPathway,COMPOUND_00118,PATHWAY_00091,modulation,0.643,0.02945,1.36,downregulation,17 hours,A549,0.762,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00049,CompoundAffectsPathway,COMPOUND_00153,PATHWAY_00062,inhibition,0.546,0.013001,0.91,mixed,22 hours,MCF7,0.737,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00050,CompoundAffectsPathway,COMPOUND_00041,PATHWAY_00064,inhibition,0.134,0.016919,1.78,upregulation,29 hours,HEK293,0.873,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00051,CompoundAffectsPathway,COMPOUND_00119,PATHWAY_00008,modulation,0.799,0.035382,1.2,downregulation,16 hours,MCF7,0.712,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00052,CompoundAffectsPathway,COMPOUND_00140,PATHWAY_00082,activation,0.615,0.005054,1.1,downregulation,70 hours,HEK293,0.754,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00053,CompoundAffectsPathway,COMPOUND_00197,PATHWAY_00024,modulation,0.341,0.010055,1.8,downregulation,34 hours,MCF7,0.839,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00054,CompoundAffectsPathway,COMPOUND_00213,PATHWAY_00006,inhibition,0.629,0.022827,1.63,downregulation,57 hours,HEK293,0.78,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00055,CompoundAffectsPathway,COMPOUND_00252,PATHWAY_00031,activation,0.174,0.035401,0.53,upregulation,20 hours,HepG2,0.721,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00056,CompoundAffectsPathway,COMPOUND_00114,PATHWAY_00035,modulation,0.707,0.015488,2.14,upregulation,35 hours,A549,0.689,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00057,CompoundAffectsPathway,COMPOUND_00117,PATHWAY_00036,activation,0.124,0.005622,1.32,mixed,14 hours,MCF7,0.871,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00058,CompoundAffectsPathway,COMPOUND_00246,PATHWAY_00096,inhibition,0.648,0.00324,2.23,upregulation,34 hours,MCF7,0.663,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00059,CompoundAffectsPathway,COMPOUND_00268,PATHWAY_00054,modulation,0.27,0.007134,1.41,upregulation,59 hours,A549,0.687,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00060,CompoundAffectsPathway,COMPOUND_00201,PATHWAY_00007,activation,0.62,0.012769,2.9,downregulation,23 hours,MCF7,0.75,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00061,CompoundAffectsPathway,COMPOUND_00065,PATHWAY_00077,activation,0.553,0.032813,2.88,downregulation,60 hours,HepG2,0.696,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00062,CompoundAffectsPathway,COMPOUND_00284,PATHWAY_00056,modulation,0.561,0.004127,2.36,mixed,52 hours,A549,0.746,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00063,CompoundAffectsPathway,COMPOUND_00266,PATHWAY_00078,activation,0.207,0.045809,1.97,downregulation,45 hours,HepG2,0.662,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00064,CompoundAffectsPathway,COMPOUND_00146,PATHWAY_00005,modulation,0.9,0.029818,0.86,upregulation,68 hours,A549,0.798,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00065,CompoundAffectsPathway,COMPOUND_00035,PATHWAY_00037,modulation,0.155,0.019133,0.97,downregulation,19 hours,HepG2,0.716,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00066,CompoundAffectsPathway,COMPOUND_00042,PATHWAY_00043,inhibition,0.404,0.035225,0.82,mixed,13 hours,MCF7,0.707,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00067,CompoundAffectsPathway,COMPOUND_00149,PATHWAY_00033,activation,0.87,0.005781,2.02,upregulation,20 hours,A549,0.787,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00068,CompoundAffectsPathway,COMPOUND_00091,PATHWAY_00024,activation,0.595,0.012737,1.76,downregulation,48 hours,HepG2,0.883,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00069,CompoundAffectsPathway,COMPOUND_00048,PATHWAY_00024,inhibition,0.695,0.036941,2.76,upregulation,6 hours,HEK293,0.767,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00070,CompoundAffectsPathway,COMPOUND_00045,PATHWAY_00012,modulation,0.508,0.009486,2.98,upregulation,63 hours,HepG2,0.765,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00071,CompoundAffectsPathway,COMPOUND_00171,PATHWAY_00015,activation,0.114,0.022272,1.01,upregulation,38 hours,HEK293,0.694,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00072,CompoundAffectsPathway,COMPOUND_00142,PATHWAY_00036,modulation,0.152,0.040415,0.69,upregulation,39 hours,HEK293,0.73,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00073,CompoundAffectsPathway,COMPOUND_00193,PATHWAY_00006,activation,0.657,0.039882,1.47,mixed,34 hours,HepG2,0.892,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00074,CompoundAffectsPathway,COMPOUND_00190,PATHWAY_00012,activation,0.878,0.020483,2.68,upregulation,27 hours,A549,0.824,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00075,CompoundAffectsPathway,COMPOUND_00241,PATHWAY_00074,modulation,0.37,0.00825,1.3,mixed,59 hours,HEK293,0.761,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00076,CompoundAffectsPathway,COMPOUND_00292,PATHWAY_00061,activation,0.313,0.033475,0.61,mixed,6 hours,MCF7,0.797,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00077,CompoundAffectsPathway,COMPOUND_00284,PATHWAY_00042,modulation,0.539,0.031134,2.22,mixed,64 hours,HepG2,0.73,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00078,CompoundAffectsPathway,COMPOUND_00170,PATHWAY_00005,activation,0.871,0.047285,1.05,mixed,9 hours,HEK293,0.807,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00079,CompoundAffectsPathway,COMPOUND_00097,PATHWAY_00038,inhibition,0.218,0.047489,0.55,mixed,3 hours,HEK293,0.697,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00080,CompoundAffectsPathway,COMPOUND_00240,PATHWAY_00031,modulation,0.28,0.021344,2.25,downregulation,2 hours,MCF7,0.756,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00081,CompoundAffectsPathway,COMPOUND_00160,PATHWAY_00056,inhibition,0.976,0.044634,1.72,upregulation,3 hours,A549,0.695,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00082,CompoundAffectsPathway,COMPOUND_00038,PATHWAY_00075,activation,0.46,0.046122,0.97,upregulation,37 hours,A549,0.825,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00083,CompoundAffectsPathway,COMPOUND_00090,PATHWAY_00048,modulation,0.864,0.044648,0.62,upregulation,4 hours,MCF7,0.896,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00084,CompoundAffectsPathway,COMPOUND_00117,PATHWAY_00024,inhibition,0.622,0.037887,0.53,mixed,27 hours,HEK293,0.715,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00085,CompoundAffectsPathway,COMPOUND_00047,PATHWAY_00036,activation,0.156,0.031742,1.04,downregulation,23 hours,MCF7,0.885,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00086,CompoundAffectsPathway,COMPOUND_00106,PATHWAY_00058,modulation,0.211,0.034637,1.35,downregulation,7 hours,HepG2,0.655,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00087,CompoundAffectsPathway,COMPOUND_00084,PATHWAY_00023,modulation,0.763,0.012067,1.32,downregulation,53 hours,HEK293,0.766,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00088,CompoundAffectsPathway,COMPOUND_00247,PATHWAY_00085,modulation,0.209,0.049323,2.24,downregulation,23 hours,A549,0.858,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00089,CompoundAffectsPathway,COMPOUND_00139,PATHWAY_00088,activation,0.274,0.005398,1.68,downregulation,51 hours,HEK293,0.673,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00090,CompoundAffectsPathway,COMPOUND_00174,PATHWAY_00004,modulation,0.928,0.00818,2.91,mixed,58 hours,A549,0.841,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00091,CompoundAffectsPathway,COMPOUND_00266,PATHWAY_00095,activation,0.339,0.012981,2.31,upregulation,14 hours,HepG2,0.892,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00092,CompoundAffectsPathway,COMPOUND_00150,PATHWAY_00022,activation,0.253,0.025926,2.88,upregulation,29 hours,HepG2,0.839,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00093,CompoundAffectsPathway,COMPOUND_00162,PATHWAY_00093,modulation,0.934,0.009691,0.62,upregulation,67 hours,MCF7,0.708,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00094,CompoundAffectsPathway,COMPOUND_00271,PATHWAY_00084,activation,0.732,0.024505,2.8,downregulation,3 hours,HepG2,0.673,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00095,CompoundAffectsPathway,COMPOUND_00261,PATHWAY_00036,inhibition,0.992,0.016131,1.79,mixed,34 hours,HepG2,0.702,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00096,CompoundAffectsPathway,COMPOUND_00233,PATHWAY_00037,inhibition,0.959,0.041727,1.56,downregulation,54 hours,HepG2,0.724,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00097,CompoundAffectsPathway,COMPOUND_00101,PATHWAY_00024,modulation,0.242,0.037127,2.36,upregulation,19 hours,HepG2,0.872,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00098,CompoundAffectsPathway,COMPOUND_00104,PATHWAY_00069,activation,0.575,0.035128,0.96,mixed,41 hours,A549,0.873,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00099,CompoundAffectsPathway,COMPOUND_00194,PATHWAY_00010,inhibition,0.882,0.043437,2.26,mixed,48 hours,HepG2,0.84,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00100,CompoundAffectsPathway,COMPOUND_00012,PATHWAY_00043,inhibition,0.887,0.040886,2.02,mixed,28 hours,HEK293,0.833,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00101,CompoundAffectsPathway,COMPOUND_00208,PATHWAY_00030,modulation,0.572,0.002137,1.21,mixed,43 hours,MCF7,0.893,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00102,CompoundAffectsPathway,COMPOUND_00170,PATHWAY_00077,inhibition,0.885,0.037569,1.49,downregulation,13 hours,A549,0.681,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00103,CompoundAffectsPathway,COMPOUND_00281,PATHWAY_00071,activation,0.476,0.025165,0.63,downregulation,26 hours,A549,0.756,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00104,CompoundAffectsPathway,COMPOUND_00008,PATHWAY_00026,activation,0.546,0.04332,1.5,mixed,26 hours,HEK293,0.752,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00105,CompoundAffectsPathway,COMPOUND_00212,PATHWAY_00052,activation,0.275,0.03984,2.0,mixed,9 hours,HEK293,0.887,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00106,CompoundAffectsPathway,COMPOUND_00285,PATHWAY_00029,inhibition,0.569,0.026729,1.79,upregulation,24 hours,HEK293,0.82,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00107,CompoundAffectsPathway,COMPOUND_00298,PATHWAY_00074,inhibition,0.523,0.033912,2.55,upregulation,34 hours,A549,0.807,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00108,CompoundAffectsPathway,COMPOUND_00277,PATHWAY_00012,inhibition,0.968,0.045206,2.8,mixed,18 hours,HEK293,0.851,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00109,CompoundAffectsPathway,COMPOUND_00078,PATHWAY_00048,modulation,0.931,0.026209,1.92,upregulation,64 hours,A549,0.683,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00110,CompoundAffectsPathway,COMPOUND_00185,PATHWAY_00063,activation,0.235,0.02925,1.08,upregulation,24 hours,HEK293,0.857,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00111,CompoundAffectsPathway,COMPOUND_00161,PATHWAY_00053,activation,0.565,0.012102,2.5,mixed,69 hours,A549,0.802,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00112,CompoundAffectsPathway,COMPOUND_00124,PATHWAY_00093,inhibition,0.564,0.049089,2.21,mixed,47 hours,A549,0.795,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00113,CompoundAffectsPathway,COMPOUND_00051,PATHWAY_00099,modulation,0.535,0.04083,0.84,downregulation,69 hours,HepG2,0.705,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00114,CompoundAffectsPathway,COMPOUND_00106,PATHWAY_00084,activation,0.431,0.016455,2.68,upregulation,22 hours,MCF7,0.871,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00115,CompoundAffectsPathway,COMPOUND_00027,PATHWAY_00003,activation,0.434,0.030109,2.91,upregulation,15 hours,HepG2,0.87,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00116,CompoundAffectsPathway,COMPOUND_00077,PATHWAY_00018,modulation,0.294,0.002938,2.44,upregulation,39 hours,A549,0.897,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00117,CompoundAffectsPathway,COMPOUND_00239,PATHWAY_00006,modulation,0.606,0.029351,2.19,downregulation,5 hours,MCF7,0.654,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00118,CompoundAffectsPathway,COMPOUND_00178,PATHWAY_00064,inhibition,0.343,0.008326,1.03,downregulation,62 hours,A549,0.797,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00119,CompoundAffectsPathway,COMPOUND_00118,PATHWAY_00045,inhibition,0.851,0.018824,1.32,downregulation,32 hours,A549,0.858,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00120,CompoundAffectsPathway,COMPOUND_00146,PATHWAY_00044,inhibition,0.757,0.018815,2.44,mixed,13 hours,HEK293,0.719,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00121,CompoundAffectsPathway,COMPOUND_00105,PATHWAY_00031,activation,0.296,0.039059,0.72,mixed,62 hours,MCF7,0.738,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00122,CompoundAffectsPathway,COMPOUND_00194,PATHWAY_00044,modulation,0.819,0.047165,0.9,upregulation,2 hours,HepG2,0.78,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00123,CompoundAffectsPathway,COMPOUND_00044,PATHWAY_00078,inhibition,0.865,0.029254,2.92,mixed,47 hours,HEK293,0.825,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00124,CompoundAffectsPathway,COMPOUND_00171,PATHWAY_00087,activation,0.597,0.004673,1.71,mixed,33 hours,A549,0.857,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00125,CompoundAffectsPathway,COMPOUND_00219,PATHWAY_00073,activation,0.731,0.014549,2.14,upregulation,49 hours,A549,0.656,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00126,CompoundAffectsPathway,COMPOUND_00250,PATHWAY_00097,inhibition,0.929,0.03747,2.31,mixed,69 hours,MCF7,0.848,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00127,CompoundAffectsPathway,COMPOUND_00254,PATHWAY_00002,activation,0.494,0.03112,2.74,mixed,14 hours,HEK293,0.726,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00128,CompoundAffectsPathway,COMPOUND_00136,PATHWAY_00014,activation,0.81,0.031993,1.52,upregulation,65 hours,HEK293,0.739,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00129,CompoundAffectsPathway,COMPOUND_00286,PATHWAY_00010,inhibition,0.707,0.047632,2.43,upregulation,37 hours,MCF7,0.711,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00130,CompoundAffectsPathway,COMPOUND_00090,PATHWAY_00074,activation,0.338,0.018826,2.2,mixed,1 hours,HEK293,0.794,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00131,CompoundAffectsPathway,COMPOUND_00046,PATHWAY_00068,activation,0.982,0.03921,1.32,mixed,38 hours,A549,0.746,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00132,CompoundAffectsPathway,COMPOUND_00079,PATHWAY_00070,modulation,0.622,0.004582,1.91,upregulation,33 hours,HEK293,0.706,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00133,CompoundAffectsPathway,COMPOUND_00106,PATHWAY_00064,activation,0.494,0.022019,1.2,upregulation,30 hours,MCF7,0.864,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00134,CompoundAffectsPathway,COMPOUND_00014,PATHWAY_00063,activation,0.899,0.011087,2.89,mixed,44 hours,HepG2,0.718,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00135,CompoundAffectsPathway,COMPOUND_00189,PATHWAY_00045,modulation,0.709,0.03538,1.32,upregulation,10 hours,A549,0.856,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00136,CompoundAffectsPathway,COMPOUND_00112,PATHWAY_00022,inhibition,0.835,0.025196,2.31,mixed,63 hours,HepG2,0.682,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00137,CompoundAffectsPathway,COMPOUND_00237,PATHWAY_00012,inhibition,0.506,0.002631,2.53,upregulation,49 hours,HEK293,0.681,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00138,CompoundAffectsPathway,COMPOUND_00016,PATHWAY_00042,activation,0.428,0.029581,1.7,mixed,45 hours,A549,0.868,PATHWAY_ANALYSIS
COMPOUND_PATHWAY_00139,CompoundAffectsPathway,COMPOUND_00021,PATHWAY_00095,inhibition,0.318,0.007956,0.84,upregulation,8 hours,HepG2,0.836,PATHWAY_ANALYSIS
