Id,Label,FromId,ToId,Properties:affinity,Properties:ic50,Properties:ki,Properties:mechanism,Properties:evidence,Properties:assayType,Properties:species,Properties:confidence,Properties:source
DRUG_TARGET_00021,DrugTargets,DRUG_00489,TARGET_00130,7.462,76.155809,15.672387,inhibition,experimental,tissue,human,0.769,CHEMBL
DRUG_TARGET_00022,DrugTargets,DRUG_00411,TARGET_00161,0.681,50.57729,12.350847,binding,computational,tissue,human,0.888,CHEMBL
DRUG_TARGET_00023,DrugTargets,DRUG_00149,TARGET_00134,1.927,56.30702,18.013902,activation,experimental,biochemical,human,0.789,CHEMBL
DRUG_TARGET_00024,DrugTargets,DRUG_00203,TARGET_00132,0.694,82.947068,6.436236,inhibition,literature,biochemical,human,0.695,CHEMBL
DRUG_TARGET_00025,DrugTargets,DRUG_00096,TARGET_00105,1.505,7.32642,40.778107,inhibition,literature,cellular,human,0.849,CHEMBL
DRUG_TARGET_00026,DrugTargets,DRUG_00307,TARGET_00199,2.578,56.128838,46.367553,modulation,computational,biochemical,human,0.602,CHEMBL
DRUG_TARGET_00027,DrugTargets,DRUG_00077,TARGET_00086,9.766,65.795457,6.653472,binding,computational,biochemical,human,0.741,CHEMBL
DRUG_TARGET_00028,DrugTargets,DRUG_00413,TARGET_00053,7.774,41.782506,12.984455,inhibition,literature,tissue,human,0.745,CHEMBL
DRUG_TARGET_00029,DrugTargets,DRUG_00159,TARGET_00189,2.842,68.725383,0.391129,modulation,literature,cellular,human,0.746,CHEMBL
DRUG_TARGET_00030,DrugTargets,DRUG_00450,TARGET_00169,1.68,58.597225,39.559972,binding,experimental,tissue,human,0.616,CHEMBL
DRUG_TARGET_00031,DrugTargets,DRUG_00202,TARGET_00200,0.551,94.029557,16.378533,binding,literature,tissue,human,0.861,CHEMBL
DRUG_TARGET_00032,DrugTargets,DRUG_00163,TARGET_00099,1.649,39.736542,32.139018,modulation,experimental,biochemical,human,0.608,CHEMBL
DRUG_TARGET_00033,DrugTargets,DRUG_00457,TARGET_00169,9.718,76.063262,20.885243,inhibition,experimental,cellular,human,0.916,CHEMBL
DRUG_TARGET_00034,DrugTargets,DRUG_00133,TARGET_00042,5.161,82.660743,28.71471,activation,literature,biochemical,human,0.906,CHEMBL
DRUG_TARGET_00035,DrugTargets,DRUG_00226,TARGET_00070,1.532,64.990459,10.699015,activation,experimental,cellular,human,0.77,CHEMBL
DRUG_TARGET_00036,DrugTargets,DRUG_00495,TARGET_00129,7.468,5.73479,46.748863,activation,experimental,cellular,human,0.813,CHEMBL
DRUG_TARGET_00037,DrugTargets,DRUG_00317,TARGET_00106,3.586,31.824305,19.591077,activation,computational,cellular,human,0.658,CHEMBL
DRUG_TARGET_00038,DrugTargets,DRUG_00299,TARGET_00041,0.321,36.276789,39.191715,modulation,experimental,tissue,human,0.609,CHEMBL
DRUG_TARGET_00039,DrugTargets,DRUG_00020,TARGET_00073,1.95,19.706177,45.668059,modulation,computational,cellular,human,0.859,CHEMBL
DRUG_TARGET_00040,DrugTargets,DRUG_00206,TARGET_00120,6.36,34.610737,27.31681,binding,literature,cellular,human,0.742,CHEMBL
DRUG_TARGET_00041,DrugTargets,DRUG_00070,TARGET_00010,5.842,63.737664,14.480877,activation,computational,cellular,human,0.72,CHEMBL
DRUG_TARGET_00042,DrugTargets,DRUG_00404,TARGET_00088,1.055,63.282264,45.59683,activation,computational,tissue,human,0.839,CHEMBL
DRUG_TARGET_00043,DrugTargets,DRUG_00010,TARGET_00054,1.941,40.476506,34.956736,modulation,literature,cellular,human,0.787,CHEMBL
DRUG_TARGET_00044,DrugTargets,DRUG_00199,TARGET_00067,8.996,74.972165,13.385608,binding,experimental,biochemical,human,0.708,CHEMBL
DRUG_TARGET_00045,DrugTargets,DRUG_00082,TARGET_00051,4.695,88.880812,26.363382,inhibition,literature,cellular,human,0.911,CHEMBL
DRUG_TARGET_00046,DrugTargets,DRUG_00120,TARGET_00083,4.203,84.554102,24.97623,binding,literature,biochemical,human,0.816,CHEMBL
DRUG_TARGET_00047,DrugTargets,DRUG_00396,TARGET_00146,2.653,42.08591,7.133467,activation,experimental,tissue,human,0.909,CHEMBL
DRUG_TARGET_00048,DrugTargets,DRUG_00206,TARGET_00197,3.651,86.278013,28.750727,modulation,literature,tissue,human,0.759,CHEMBL
DRUG_TARGET_00049,DrugTargets,DRUG_00377,TARGET_00072,1.194,85.393697,18.782958,binding,computational,cellular,human,0.654,CHEMBL
DRUG_TARGET_00050,DrugTargets,DRUG_00179,TARGET_00083,4.832,63.132293,44.392352,binding,literature,cellular,human,0.601,CHEMBL
DRUG_TARGET_00051,DrugTargets,DRUG_00165,TARGET_00092,1.826,16.531405,24.590724,activation,literature,cellular,human,0.727,CHEMBL
DRUG_TARGET_00052,DrugTargets,DRUG_00277,TARGET_00113,5.821,15.253269,15.617022,modulation,literature,biochemical,human,0.762,CHEMBL
DRUG_TARGET_00053,DrugTargets,DRUG_00075,TARGET_00018,2.97,47.863993,27.56649,modulation,computational,tissue,human,0.922,CHEMBL
DRUG_TARGET_00054,DrugTargets,DRUG_00174,TARGET_00012,0.111,56.636681,8.029135,modulation,literature,biochemical,human,0.737,CHEMBL
DRUG_TARGET_00055,DrugTargets,DRUG_00362,TARGET_00075,8.626,31.493837,41.427579,inhibition,literature,cellular,human,0.651,CHEMBL
DRUG_TARGET_00056,DrugTargets,DRUG_00194,TARGET_00059,8.208,42.789986,34.471136,binding,experimental,tissue,human,0.733,CHEMBL
DRUG_TARGET_00057,DrugTargets,DRUG_00009,TARGET_00113,5.437,35.293074,31.217177,inhibition,computational,biochemical,human,0.659,CHEMBL
DRUG_TARGET_00058,DrugTargets,DRUG_00026,TARGET_00185,1.675,5.468139,16.690915,inhibition,experimental,biochemical,human,0.936,CHEMBL
DRUG_TARGET_00059,DrugTargets,DRUG_00261,TARGET_00096,2.016,52.355821,5.313669,activation,literature,tissue,human,0.791,CHEMBL
DRUG_TARGET_00060,DrugTargets,DRUG_00500,TARGET_00118,2.492,77.060386,4.684251,activation,computational,cellular,human,0.832,CHEMBL
DRUG_TARGET_00061,DrugTargets,DRUG_00116,TARGET_00094,9.326,7.214388,11.157609,activation,literature,cellular,human,0.801,CHEMBL
DRUG_TARGET_00062,DrugTargets,DRUG_00028,TARGET_00190,6.016,62.555565,14.978346,inhibition,computational,biochemical,human,0.663,CHEMBL
DRUG_TARGET_00063,DrugTargets,DRUG_00108,TARGET_00063,3.538,32.175529,12.766433,modulation,computational,tissue,human,0.607,CHEMBL
DRUG_TARGET_00064,DrugTargets,DRUG_00244,TARGET_00080,1.524,48.605957,41.476793,binding,experimental,biochemical,human,0.679,CHEMBL
DRUG_TARGET_00065,DrugTargets,DRUG_00495,TARGET_00113,9.909,30.869104,39.08605,activation,experimental,biochemical,human,0.789,CHEMBL
DRUG_TARGET_00066,DrugTargets,DRUG_00326,TARGET_00079,4.262,81.88876,42.106268,modulation,experimental,tissue,human,0.81,CHEMBL
DRUG_TARGET_00067,DrugTargets,DRUG_00436,TARGET_00025,0.239,56.001032,1.133229,inhibition,computational,tissue,human,0.853,CHEMBL
DRUG_TARGET_00068,DrugTargets,DRUG_00054,TARGET_00147,6.059,31.231607,43.465441,modulation,computational,biochemical,human,0.72,CHEMBL
DRUG_TARGET_00069,DrugTargets,DRUG_00370,TARGET_00161,7.9,97.599262,12.757333,binding,experimental,cellular,human,0.927,CHEMBL
DRUG_TARGET_00070,DrugTargets,DRUG_00290,TARGET_00175,1.483,76.553997,38.445773,modulation,experimental,biochemical,human,0.783,CHEMBL
DRUG_TARGET_00071,DrugTargets,DRUG_00273,TARGET_00028,6.025,77.617412,10.620692,inhibition,literature,biochemical,human,0.651,CHEMBL
DRUG_TARGET_00072,DrugTargets,DRUG_00191,TARGET_00089,5.148,91.461444,11.183384,binding,computational,tissue,human,0.92,CHEMBL
DRUG_TARGET_00073,DrugTargets,DRUG_00301,TARGET_00135,6.917,66.740237,33.951226,binding,experimental,tissue,human,0.691,CHEMBL
DRUG_TARGET_00074,DrugTargets,DRUG_00276,TARGET_00031,2.059,99.150265,23.686445,inhibition,computational,biochemical,human,0.872,CHEMBL
DRUG_TARGET_00075,DrugTargets,DRUG_00416,TARGET_00198,9.458,79.221375,26.636537,inhibition,experimental,cellular,human,0.927,CHEMBL
DRUG_TARGET_00076,DrugTargets,DRUG_00260,TARGET_00119,0.669,74.019506,14.338041,inhibition,literature,cellular,human,0.847,CHEMBL
DRUG_TARGET_00077,DrugTargets,DRUG_00433,TARGET_00182,1.67,81.23373,5.941231,binding,literature,cellular,human,0.723,CHEMBL
DRUG_TARGET_00078,DrugTargets,DRUG_00099,TARGET_00159,9.318,48.597969,12.113948,inhibition,experimental,biochemical,human,0.664,CHEMBL
DRUG_TARGET_00079,DrugTargets,DRUG_00369,TARGET_00097,3.35,1.781854,1.185644,inhibition,computational,biochemical,human,0.753,CHEMBL
DRUG_TARGET_00080,DrugTargets,DRUG_00458,TARGET_00129,9.631,14.729235,17.056293,modulation,experimental,biochemical,human,0.844,CHEMBL
DRUG_TARGET_00081,DrugTargets,DRUG_00219,TARGET_00075,3.553,75.569203,0.912347,inhibition,experimental,cellular,human,0.683,CHEMBL
DRUG_TARGET_00082,DrugTargets,DRUG_00487,TARGET_00162,8.27,62.042261,17.994435,binding,computational,cellular,human,0.906,CHEMBL
DRUG_TARGET_00083,DrugTargets,DRUG_00362,TARGET_00049,5.852,77.791752,40.960471,binding,computational,tissue,human,0.909,CHEMBL
DRUG_TARGET_00084,DrugTargets,DRUG_00053,TARGET_00087,6.068,37.15939,41.712001,inhibition,literature,biochemical,human,0.791,CHEMBL
DRUG_TARGET_00085,DrugTargets,DRUG_00228,TARGET_00173,1.248,11.630898,23.137492,inhibition,computational,tissue,human,0.719,CHEMBL
DRUG_TARGET_00086,DrugTargets,DRUG_00314,TARGET_00095,6.787,15.594303,43.135836,binding,experimental,tissue,human,0.761,CHEMBL
DRUG_TARGET_00087,DrugTargets,DRUG_00109,TARGET_00107,7.377,16.405707,6.414384,inhibition,experimental,cellular,human,0.769,CHEMBL
DRUG_TARGET_00088,DrugTargets,DRUG_00242,TARGET_00070,4.714,43.433063,46.694826,modulation,literature,tissue,human,0.76,CHEMBL
DRUG_TARGET_00089,DrugTargets,DRUG_00237,TARGET_00020,3.683,89.125291,7.585125,inhibition,literature,tissue,human,0.886,CHEMBL
DRUG_TARGET_00090,DrugTargets,DRUG_00445,TARGET_00007,2.535,5.527344,32.81162,modulation,literature,tissue,human,0.732,CHEMBL
DRUG_TARGET_00091,DrugTargets,DRUG_00419,TARGET_00097,2.826,64.147425,23.093356,modulation,experimental,cellular,human,0.7,CHEMBL
DRUG_TARGET_00092,DrugTargets,DRUG_00070,TARGET_00018,3.546,18.523553,36.106877,activation,experimental,tissue,human,0.907,CHEMBL
DRUG_TARGET_00093,DrugTargets,DRUG_00186,TARGET_00194,0.692,24.739544,24.505947,inhibition,computational,biochemical,human,0.701,CHEMBL
DRUG_TARGET_00094,DrugTargets,DRUG_00173,TARGET_00070,4.038,92.833462,27.598646,activation,literature,tissue,human,0.931,CHEMBL
DRUG_TARGET_00095,DrugTargets,DRUG_00432,TARGET_00061,0.447,42.723182,13.594262,modulation,literature,cellular,human,0.871,CHEMBL
DRUG_TARGET_00096,DrugTargets,DRUG_00006,TARGET_00145,6.014,78.468813,45.775569,inhibition,literature,tissue,human,0.719,CHEMBL
DRUG_TARGET_00097,DrugTargets,DRUG_00419,TARGET_00138,4.655,9.061494,38.604765,binding,experimental,cellular,human,0.603,CHEMBL
DRUG_TARGET_00098,DrugTargets,DRUG_00082,TARGET_00064,3.435,15.811218,13.678283,binding,literature,tissue,human,0.753,CHEMBL
DRUG_TARGET_00099,DrugTargets,DRUG_00401,TARGET_00077,7.823,64.931598,21.058019,activation,computational,biochemical,human,0.806,CHEMBL
DRUG_TARGET_00100,DrugTargets,DRUG_00007,TARGET_00056,7.075,72.752219,2.110911,activation,literature,tissue,human,0.668,CHEMBL
DRUG_TARGET_00101,DrugTargets,DRUG_00379,TARGET_00022,6.722,6.950157,36.406318,binding,literature,cellular,human,0.741,CHEMBL
DRUG_TARGET_00102,DrugTargets,DRUG_00220,TARGET_00150,6.925,74.292931,14.19996,activation,computational,cellular,human,0.786,CHEMBL
DRUG_TARGET_00103,DrugTargets,DRUG_00238,TARGET_00032,1.401,96.557038,16.22195,modulation,literature,cellular,human,0.625,CHEMBL
DRUG_TARGET_00104,DrugTargets,DRUG_00212,TARGET_00144,1.305,97.375299,3.630889,modulation,experimental,cellular,human,0.67,CHEMBL
DRUG_TARGET_00105,DrugTargets,DRUG_00051,TARGET_00066,4.229,53.938276,47.210408,activation,computational,tissue,human,0.607,CHEMBL
DRUG_TARGET_00106,DrugTargets,DRUG_00355,TARGET_00052,7.613,20.389633,20.03992,binding,experimental,cellular,human,0.682,CHEMBL
DRUG_TARGET_00107,DrugTargets,DRUG_00064,TARGET_00029,9.487,55.736296,41.408925,binding,experimental,tissue,human,0.762,CHEMBL
DRUG_TARGET_00108,DrugTargets,DRUG_00370,TARGET_00030,3.461,55.74187,14.339121,binding,literature,biochemical,human,0.908,CHEMBL
DRUG_TARGET_00109,DrugTargets,DRUG_00114,TARGET_00180,3.636,64.684977,46.557852,modulation,computational,biochemical,human,0.66,CHEMBL
DRUG_TARGET_00110,DrugTargets,DRUG_00214,TARGET_00079,1.617,50.0409,45.468218,activation,experimental,biochemical,human,0.845,CHEMBL
DRUG_TARGET_00111,DrugTargets,DRUG_00195,TARGET_00045,7.059,92.809229,23.523367,binding,literature,cellular,human,0.751,CHEMBL
DRUG_TARGET_00112,DrugTargets,DRUG_00300,TARGET_00052,3.037,68.064937,10.338561,inhibition,computational,biochemical,human,0.879,CHEMBL
DRUG_TARGET_00113,DrugTargets,DRUG_00082,TARGET_00008,4.971,31.392986,21.553245,inhibition,computational,tissue,human,0.884,CHEMBL
DRUG_TARGET_00114,DrugTargets,DRUG_00236,TARGET_00118,6.899,83.230417,13.854956,modulation,experimental,cellular,human,0.678,CHEMBL
DRUG_TARGET_00115,DrugTargets,DRUG_00264,TARGET_00109,4.316,75.941466,23.521786,binding,computational,biochemical,human,0.868,CHEMBL
DRUG_TARGET_00116,DrugTargets,DRUG_00344,TARGET_00052,5.815,13.37596,24.141201,activation,literature,tissue,human,0.918,CHEMBL
DRUG_TARGET_00117,DrugTargets,DRUG_00099,TARGET_00053,2.391,30.005757,13.61419,inhibition,experimental,tissue,human,0.744,CHEMBL
DRUG_TARGET_00118,DrugTargets,DRUG_00446,TARGET_00190,8.333,29.228604,14.70779,inhibition,literature,cellular,human,0.859,CHEMBL
DRUG_TARGET_00119,DrugTargets,DRUG_00345,TARGET_00166,5.491,40.854151,16.954106,inhibition,experimental,tissue,human,0.804,CHEMBL
DRUG_TARGET_00120,DrugTargets,DRUG_00163,TARGET_00182,2.749,20.571187,17.416139,activation,computational,tissue,human,0.863,CHEMBL
DRUG_TARGET_00121,DrugTargets,DRUG_00274,TARGET_00028,7.672,94.162202,35.556655,modulation,literature,cellular,human,0.639,CHEMBL
DRUG_TARGET_00122,DrugTargets,DRUG_00090,TARGET_00068,4.32,73.476127,24.540655,activation,literature,cellular,human,0.869,CHEMBL
DRUG_TARGET_00123,DrugTargets,DRUG_00050,TARGET_00104,6.814,95.387787,16.192728,inhibition,literature,cellular,human,0.83,CHEMBL
DRUG_TARGET_00124,DrugTargets,DRUG_00154,TARGET_00128,6.053,50.359036,49.593775,modulation,literature,biochemical,human,0.865,CHEMBL
DRUG_TARGET_00125,DrugTargets,DRUG_00257,TARGET_00129,5.386,58.699374,2.336859,binding,experimental,biochemical,human,0.634,CHEMBL
DRUG_TARGET_00126,DrugTargets,DRUG_00487,TARGET_00088,7.646,0.548146,11.169489,inhibition,literature,cellular,human,0.765,CHEMBL
DRUG_TARGET_00127,DrugTargets,DRUG_00022,TARGET_00067,8.56,26.112722,13.365664,binding,experimental,cellular,human,0.654,CHEMBL
DRUG_TARGET_00128,DrugTargets,DRUG_00011,TARGET_00182,8.255,56.594601,0.118383,activation,literature,tissue,human,0.895,CHEMBL
DRUG_TARGET_00129,DrugTargets,DRUG_00216,TARGET_00104,2.584,10.285004,3.190556,activation,experimental,biochemical,human,0.857,CHEMBL
DRUG_TARGET_00130,DrugTargets,DRUG_00091,TARGET_00072,4.368,60.6013,14.646388,modulation,literature,tissue,human,0.871,CHEMBL
DRUG_TARGET_00131,DrugTargets,DRUG_00281,TARGET_00069,3.17,57.6739,4.77215,activation,experimental,tissue,human,0.688,CHEMBL
DRUG_TARGET_00132,DrugTargets,DRUG_00227,TARGET_00188,0.239,0.496283,38.15202,activation,experimental,biochemical,human,0.682,CHEMBL
DRUG_TARGET_00133,DrugTargets,DRUG_00184,TARGET_00165,1.838,70.183441,23.454922,binding,literature,biochemical,human,0.944,CHEMBL
DRUG_TARGET_00134,DrugTargets,DRUG_00397,TARGET_00128,0.753,88.546575,12.369817,modulation,literature,tissue,human,0.625,CHEMBL
DRUG_TARGET_00135,DrugTargets,DRUG_00173,TARGET_00082,8.219,46.044791,12.450297,binding,computational,biochemical,human,0.633,CHEMBL
DRUG_TARGET_00136,DrugTargets,DRUG_00294,TARGET_00052,0.109,53.459871,5.296411,activation,literature,cellular,human,0.737,CHEMBL
DRUG_TARGET_00137,DrugTargets,DRUG_00156,TARGET_00061,4.67,69.171938,14.795484,modulation,experimental,tissue,human,0.842,CHEMBL
DRUG_TARGET_00138,DrugTargets,DRUG_00350,TARGET_00069,2.764,17.955692,3.711093,modulation,computational,tissue,human,0.894,CHEMBL
DRUG_TARGET_00139,DrugTargets,DRUG_00335,TARGET_00098,6.44,17.212906,49.040243,modulation,computational,cellular,human,0.819,CHEMBL
DRUG_TARGET_00140,DrugTargets,DRUG_00164,TARGET_00083,3.314,32.336381,11.871349,inhibition,computational,cellular,human,0.665,CHEMBL
DRUG_TARGET_00141,DrugTargets,DRUG_00102,TARGET_00174,6.245,21.371435,12.377276,binding,computational,biochemical,human,0.876,CHEMBL
DRUG_TARGET_00142,DrugTargets,DRUG_00334,TARGET_00120,0.599,98.766911,18.446462,modulation,experimental,cellular,human,0.907,CHEMBL
DRUG_TARGET_00143,DrugTargets,DRUG_00103,TARGET_00138,5.621,30.901612,2.327396,inhibition,experimental,biochemical,human,0.664,CHEMBL
DRUG_TARGET_00144,DrugTargets,DRUG_00237,TARGET_00198,8.852,58.072864,7.249363,binding,literature,cellular,human,0.82,CHEMBL
DRUG_TARGET_00145,DrugTargets,DRUG_00294,TARGET_00182,7.608,50.61731,47.251539,binding,experimental,cellular,human,0.649,CHEMBL
DRUG_TARGET_00146,DrugTargets,DRUG_00428,TARGET_00033,8.911,79.61459,2.078089,modulation,literature,biochemical,human,0.658,CHEMBL
DRUG_TARGET_00147,DrugTargets,DRUG_00128,TARGET_00134,5.948,62.879011,39.406309,modulation,literature,biochemical,human,0.614,CHEMBL
DRUG_TARGET_00148,DrugTargets,DRUG_00356,TARGET_00011,1.717,51.770198,2.805222,binding,experimental,tissue,human,0.675,CHEMBL
DRUG_TARGET_00149,DrugTargets,DRUG_00120,TARGET_00032,9.445,39.59984,46.148019,activation,experimental,cellular,human,0.883,CHEMBL
DRUG_TARGET_00150,DrugTargets,DRUG_00405,TARGET_00134,1.586,23.867998,5.929844,modulation,computational,cellular,human,0.946,CHEMBL
DRUG_TARGET_00151,DrugTargets,DRUG_00227,TARGET_00065,7.219,78.376522,21.504871,inhibition,experimental,tissue,human,0.94,CHEMBL
DRUG_TARGET_00152,DrugTargets,DRUG_00103,TARGET_00027,6.972,13.147506,34.03588,activation,experimental,cellular,human,0.764,CHEMBL
DRUG_TARGET_00153,DrugTargets,DRUG_00388,TARGET_00113,0.194,42.947027,39.543063,modulation,experimental,biochemical,human,0.626,CHEMBL
DRUG_TARGET_00154,DrugTargets,DRUG_00122,TARGET_00135,8.057,58.574837,7.016662,inhibition,experimental,biochemical,human,0.781,CHEMBL
DRUG_TARGET_00155,DrugTargets,DRUG_00488,TARGET_00159,2.745,68.919259,24.568589,modulation,computational,biochemical,human,0.943,CHEMBL
DRUG_TARGET_00156,DrugTargets,DRUG_00203,TARGET_00171,2.474,47.24344,34.166591,inhibition,experimental,biochemical,human,0.892,CHEMBL
DRUG_TARGET_00157,DrugTargets,DRUG_00161,TARGET_00141,7.464,12.031211,39.771718,inhibition,literature,tissue,human,0.851,CHEMBL
DRUG_TARGET_00158,DrugTargets,DRUG_00272,TARGET_00184,4.673,39.034711,48.581137,modulation,computational,biochemical,human,0.811,CHEMBL
DRUG_TARGET_00159,DrugTargets,DRUG_00360,TARGET_00009,3.594,3.395549,37.215276,modulation,literature,cellular,human,0.91,CHEMBL
DRUG_TARGET_00160,DrugTargets,DRUG_00036,TARGET_00075,1.805,46.353258,23.391622,binding,experimental,biochemical,human,0.928,CHEMBL
DRUG_TARGET_00161,DrugTargets,DRUG_00223,TARGET_00185,4.054,21.317198,41.507932,activation,experimental,cellular,human,0.866,CHEMBL
DRUG_TARGET_00162,DrugTargets,DRUG_00078,TARGET_00068,9.801,97.491467,12.518026,inhibition,computational,biochemical,human,0.774,CHEMBL
DRUG_TARGET_00163,DrugTargets,DRUG_00085,TARGET_00077,0.789,67.858636,11.651397,modulation,experimental,biochemical,human,0.813,CHEMBL
DRUG_TARGET_00164,DrugTargets,DRUG_00254,TARGET_00003,0.233,54.479969,34.917015,activation,computational,biochemical,human,0.713,CHEMBL
DRUG_TARGET_00165,DrugTargets,DRUG_00051,TARGET_00032,1.908,30.362055,5.382714,activation,computational,tissue,human,0.918,CHEMBL
DRUG_TARGET_00166,DrugTargets,DRUG_00491,TARGET_00149,4.059,90.428956,25.677234,activation,experimental,cellular,human,0.862,CHEMBL
DRUG_TARGET_00167,DrugTargets,DRUG_00499,TARGET_00164,2.712,28.079428,30.862277,modulation,literature,tissue,human,0.862,CHEMBL
DRUG_TARGET_00168,DrugTargets,DRUG_00375,TARGET_00098,5.476,79.801568,45.726356,binding,experimental,tissue,human,0.901,CHEMBL
DRUG_TARGET_00169,DrugTargets,DRUG_00231,TARGET_00186,4.957,63.161697,32.558864,inhibition,literature,cellular,human,0.92,CHEMBL
DRUG_TARGET_00170,DrugTargets,DRUG_00389,TARGET_00056,3.05,11.745761,1.147812,modulation,experimental,biochemical,human,0.645,CHEMBL
DRUG_TARGET_00171,DrugTargets,DRUG_00482,TARGET_00137,0.922,3.823126,38.668917,binding,computational,biochemical,human,0.613,CHEMBL
DRUG_TARGET_00172,DrugTargets,DRUG_00475,TARGET_00096,2.177,90.193632,23.745645,inhibition,experimental,biochemical,human,0.774,CHEMBL
DRUG_TARGET_00173,DrugTargets,DRUG_00139,TARGET_00003,7.779,68.426081,10.819041,inhibition,experimental,cellular,human,0.767,CHEMBL
DRUG_TARGET_00174,DrugTargets,DRUG_00075,TARGET_00076,3.08,19.148772,49.843111,modulation,computational,biochemical,human,0.806,CHEMBL
DRUG_TARGET_00175,DrugTargets,DRUG_00356,TARGET_00086,5.039,46.956095,21.453814,inhibition,literature,cellular,human,0.745,CHEMBL
DRUG_TARGET_00176,DrugTargets,DRUG_00168,TARGET_00016,2.762,23.82467,36.135112,inhibition,computational,cellular,human,0.843,CHEMBL
DRUG_TARGET_00177,DrugTargets,DRUG_00417,TARGET_00102,8.635,22.259846,11.720608,activation,literature,biochemical,human,0.61,CHEMBL
DRUG_TARGET_00178,DrugTargets,DRUG_00284,TARGET_00052,5.219,90.32587,43.000928,activation,computational,tissue,human,0.848,CHEMBL
DRUG_TARGET_00179,DrugTargets,DRUG_00122,TARGET_00049,4.11,21.194827,25.952951,inhibition,computational,cellular,human,0.82,CHEMBL
DRUG_TARGET_00180,DrugTargets,DRUG_00271,TARGET_00081,0.114,21.173122,23.225037,binding,literature,cellular,human,0.826,CHEMBL
DRUG_TARGET_00181,DrugTargets,DRUG_00212,TARGET_00101,4.239,46.93943,26.823421,activation,experimental,tissue,human,0.85,CHEMBL
DRUG_TARGET_00182,DrugTargets,DRUG_00191,TARGET_00153,0.509,92.584747,49.592972,activation,literature,biochemical,human,0.693,CHEMBL
DRUG_TARGET_00183,DrugTargets,DRUG_00005,TARGET_00023,1.948,73.926304,48.425809,activation,literature,cellular,human,0.894,CHEMBL
DRUG_TARGET_00184,DrugTargets,DRUG_00402,TARGET_00045,5.629,36.885739,27.575375,binding,experimental,tissue,human,0.914,CHEMBL
DRUG_TARGET_00185,DrugTargets,DRUG_00283,TARGET_00111,8.363,41.673319,27.003761,inhibition,experimental,biochemical,human,0.843,CHEMBL
