Id,Label,FromId,ToId,Properties:primary,Properties:potency,Properties:selectivity,Properties:kinetics,Properties:reversibility,Properties:allosteric,Properties:cooperativity,Properties:evidence,Properties:confidence,Properties:source
DRUG_MECHANISM_00076,DrugHasMechanism,DRUG_00033,MECHANISM_00016,False,69.457,688.8,fast,reversible,True,1.96,biochemical,0.619,MOA_DB
DRUG_MECHANISM_00077,DrugHasMechanism,DRUG_00232,MECHANISM_00075,True,95.716,749.2,intermediate,irreversible,True,1.33,biochemical,0.603,MOA_DB
DRUG_MECHANISM_00078,DrugHasMechanism,DRUG_00159,MECHANISM_00015,True,99.162,924.3,fast,reversible,False,0.95,computational,0.696,MOA_DB
DRUG_MECHANISM_00079,DrugHasMechanism,DRUG_00156,MECHANISM_00055,True,17.375,462.6,intermediate,reversible,True,1.9,biochemical,0.704,MOA_DB
DRUG_MECHANISM_00080,DrugHasMechanism,DRUG_00066,MECHANISM_00056,True,37.613,502.8,slow,reversible,True,1.78,computational,0.723,MOA_DB
DRUG_MECHANISM_00081,DrugHasMechanism,DRUG_00165,MECHANISM_00026,True,83.999,882.1,slow,reversible,False,1.56,computational,0.656,MOA_DB
DRUG_MECHANISM_00082,DrugHasMechanism,DRUG_00268,MECHANISM_00015,False,55.947,135.4,intermediate,irreversible,False,0.56,computational,0.611,MOA_DB
DRUG_MECHANISM_00083,DrugHasMechanism,DRUG_00286,MECHANISM_00020,True,58.195,470.8,intermediate,reversible,True,1.37,structural,0.776,MOA_DB
DRUG_MECHANISM_00084,DrugHasMechanism,DRUG_00303,MECHANISM_00055,True,84.922,934.3,slow,reversible,False,1.14,structural,0.69,MOA_DB
DRUG_MECHANISM_00085,DrugHasMechanism,DRUG_00030,MECHANISM_00014,False,13.963,792.6,intermediate,irreversible,False,0.82,computational,0.755,MOA_DB
DRUG_MECHANISM_00086,DrugHasMechanism,DRUG_00318,MECHANISM_00010,False,92.013,243.3,intermediate,irreversible,False,1.69,biochemical,0.879,MOA_DB
DRUG_MECHANISM_00087,DrugHasMechanism,DRUG_00074,MECHANISM_00068,False,15.843,302.5,intermediate,irreversible,True,0.6,biochemical,0.619,MOA_DB
DRUG_MECHANISM_00088,DrugHasMechanism,DRUG_00470,MECHANISM_00077,True,53.563,787.2,fast,reversible,False,1.85,computational,0.794,MOA_DB
DRUG_MECHANISM_00089,DrugHasMechanism,DRUG_00176,MECHANISM_00060,True,58.138,173.3,fast,irreversible,False,1.37,computational,0.751,MOA_DB
DRUG_MECHANISM_00090,DrugHasMechanism,DRUG_00403,MECHANISM_00016,True,52.912,922.4,slow,irreversible,False,1.39,biochemical,0.882,MOA_DB
DRUG_MECHANISM_00091,DrugHasMechanism,DRUG_00010,MECHANISM_00008,False,40.967,100.3,intermediate,reversible,False,0.51,biochemical,0.774,MOA_DB
DRUG_MECHANISM_00092,DrugHasMechanism,DRUG_00039,MECHANISM_00069,False,87.29,504.3,intermediate,irreversible,False,0.83,computational,0.662,MOA_DB
DRUG_MECHANISM_00093,DrugHasMechanism,DRUG_00010,MECHANISM_00073,False,53.127,820.7,fast,reversible,False,0.59,computational,0.604,MOA_DB
DRUG_MECHANISM_00094,DrugHasMechanism,DRUG_00205,MECHANISM_00066,True,47.529,286.9,slow,reversible,True,1.01,computational,0.657,MOA_DB
DRUG_MECHANISM_00095,DrugHasMechanism,DRUG_00144,MECHANISM_00073,False,73.693,191.1,slow,irreversible,True,1.49,biochemical,0.862,MOA_DB
DRUG_MECHANISM_00096,DrugHasMechanism,DRUG_00469,MECHANISM_00029,True,63.5,81.7,intermediate,irreversible,False,1.57,biochemical,0.754,MOA_DB
DRUG_MECHANISM_00097,DrugHasMechanism,DRUG_00008,MECHANISM_00037,False,97.037,237.1,slow,reversible,True,1.34,structural,0.699,MOA_DB
DRUG_MECHANISM_00098,DrugHasMechanism,DRUG_00247,MECHANISM_00072,False,19.785,767.7,intermediate,reversible,True,1.44,computational,0.866,MOA_DB
DRUG_MECHANISM_00099,DrugHasMechanism,DRUG_00489,MECHANISM_00031,False,91.919,814.5,fast,reversible,True,1.84,structural,0.604,MOA_DB
DRUG_MECHANISM_00100,DrugHasMechanism,DRUG_00001,MECHANISM_00021,False,59.573,625.9,fast,reversible,False,0.61,structural,0.693,MOA_DB
DRUG_MECHANISM_00101,DrugHasMechanism,DRUG_00317,MECHANISM_00034,True,29.068,597.8,intermediate,reversible,True,1.32,computational,0.789,MOA_DB
DRUG_MECHANISM_00102,DrugHasMechanism,DRUG_00069,MECHANISM_00064,True,71.557,577.8,intermediate,irreversible,False,0.93,biochemical,0.764,MOA_DB
DRUG_MECHANISM_00103,DrugHasMechanism,DRUG_00346,MECHANISM_00037,True,56.514,461.3,intermediate,irreversible,True,1.19,biochemical,0.605,MOA_DB
DRUG_MECHANISM_00104,DrugHasMechanism,DRUG_00286,MECHANISM_00072,False,80.168,140.0,intermediate,irreversible,False,1.55,computational,0.881,MOA_DB
DRUG_MECHANISM_00105,DrugHasMechanism,DRUG_00134,MECHANISM_00010,False,99.273,327.8,fast,reversible,True,1.1,structural,0.837,MOA_DB
DRUG_MECHANISM_00106,DrugHasMechanism,DRUG_00229,MECHANISM_00060,False,91.506,789.5,slow,irreversible,False,0.53,biochemical,0.689,MOA_DB
DRUG_MECHANISM_00107,DrugHasMechanism,DRUG_00316,MECHANISM_00036,False,41.854,666.1,intermediate,reversible,True,1.97,biochemical,0.754,MOA_DB
DRUG_MECHANISM_00108,DrugHasMechanism,DRUG_00090,MECHANISM_00066,True,14.295,458.2,fast,irreversible,False,1.77,structural,0.661,MOA_DB
DRUG_MECHANISM_00109,DrugHasMechanism,DRUG_00384,MECHANISM_00051,True,13.726,517.3,intermediate,reversible,True,0.66,structural,0.731,MOA_DB
DRUG_MECHANISM_00110,DrugHasMechanism,DRUG_00133,MECHANISM_00070,True,2.874,223.3,intermediate,irreversible,True,1.7,structural,0.607,MOA_DB
DRUG_MECHANISM_00111,DrugHasMechanism,DRUG_00368,MECHANISM_00039,False,5.429,720.8,fast,irreversible,True,1.45,computational,0.61,MOA_DB
DRUG_MECHANISM_00112,DrugHasMechanism,DRUG_00156,MECHANISM_00078,False,22.052,412.5,slow,reversible,False,1.91,structural,0.625,MOA_DB
DRUG_MECHANISM_00113,DrugHasMechanism,DRUG_00342,MECHANISM_00046,True,48.45,599.6,intermediate,reversible,False,1.13,computational,0.673,MOA_DB
DRUG_MECHANISM_00114,DrugHasMechanism,DRUG_00353,MECHANISM_00053,False,16.215,347.8,fast,reversible,True,1.01,computational,0.865,MOA_DB
DRUG_MECHANISM_00115,DrugHasMechanism,DRUG_00100,MECHANISM_00073,True,89.712,470.5,intermediate,reversible,True,1.95,structural,0.741,MOA_DB
DRUG_MECHANISM_00116,DrugHasMechanism,DRUG_00140,MECHANISM_00075,True,52.392,508.4,intermediate,irreversible,True,0.61,structural,0.89,MOA_DB
DRUG_MECHANISM_00117,DrugHasMechanism,DRUG_00298,MECHANISM_00030,True,12.761,525.9,intermediate,irreversible,True,1.59,structural,0.895,MOA_DB
DRUG_MECHANISM_00118,DrugHasMechanism,DRUG_00485,MECHANISM_00056,False,51.19,11.0,slow,reversible,True,1.12,structural,0.702,MOA_DB
DRUG_MECHANISM_00119,DrugHasMechanism,DRUG_00067,MECHANISM_00055,False,16.267,850.7,intermediate,irreversible,True,0.87,computational,0.862,MOA_DB
DRUG_MECHANISM_00120,DrugHasMechanism,DRUG_00125,MECHANISM_00078,False,46.92,53.8,slow,reversible,True,0.71,structural,0.818,MOA_DB
DRUG_MECHANISM_00121,DrugHasMechanism,DRUG_00365,MECHANISM_00014,True,32.61,532.6,fast,reversible,False,0.98,computational,0.762,MOA_DB
DRUG_MECHANISM_00122,DrugHasMechanism,DRUG_00425,MECHANISM_00079,False,9.866,397.9,intermediate,irreversible,False,1.51,computational,0.815,MOA_DB
DRUG_MECHANISM_00123,DrugHasMechanism,DRUG_00435,MECHANISM_00016,False,71.224,926.3,fast,irreversible,True,1.1,structural,0.708,MOA_DB
DRUG_MECHANISM_00124,DrugHasMechanism,DRUG_00486,MECHANISM_00054,True,31.185,729.8,intermediate,irreversible,True,0.77,computational,0.886,MOA_DB
DRUG_MECHANISM_00125,DrugHasMechanism,DRUG_00244,MECHANISM_00001,True,31.538,161.7,slow,irreversible,True,0.66,biochemical,0.701,MOA_DB
DRUG_MECHANISM_00126,DrugHasMechanism,DRUG_00302,MECHANISM_00018,False,28.845,549.5,fast,reversible,True,1.14,structural,0.812,MOA_DB
DRUG_MECHANISM_00127,DrugHasMechanism,DRUG_00151,MECHANISM_00045,False,42.923,217.9,slow,reversible,False,1.17,structural,0.695,MOA_DB
DRUG_MECHANISM_00128,DrugHasMechanism,DRUG_00293,MECHANISM_00056,False,13.857,906.5,fast,reversible,True,1.63,biochemical,0.629,MOA_DB
DRUG_MECHANISM_00129,DrugHasMechanism,DRUG_00273,MECHANISM_00008,True,63.486,631.9,fast,reversible,False,0.84,structural,0.621,MOA_DB
DRUG_MECHANISM_00130,DrugHasMechanism,DRUG_00152,MECHANISM_00023,False,87.503,672.6,intermediate,irreversible,False,1.96,structural,0.812,MOA_DB
DRUG_MECHANISM_00131,DrugHasMechanism,DRUG_00046,MECHANISM_00033,True,40.063,912.8,slow,irreversible,False,1.55,structural,0.624,MOA_DB
DRUG_MECHANISM_00132,DrugHasMechanism,DRUG_00198,MECHANISM_00028,True,9.234,217.8,slow,irreversible,True,0.6,structural,0.671,MOA_DB
DRUG_MECHANISM_00133,DrugHasMechanism,DRUG_00335,MECHANISM_00031,True,32.908,432.3,intermediate,reversible,False,1.0,computational,0.884,MOA_DB
DRUG_MECHANISM_00134,DrugHasMechanism,DRUG_00237,MECHANISM_00053,False,25.699,140.4,slow,reversible,True,1.18,computational,0.757,MOA_DB
DRUG_MECHANISM_00135,DrugHasMechanism,DRUG_00458,MECHANISM_00064,False,27.731,608.8,intermediate,irreversible,False,1.15,biochemical,0.822,MOA_DB
DRUG_MECHANISM_00136,DrugHasMechanism,DRUG_00408,MECHANISM_00009,False,54.061,751.4,slow,irreversible,True,0.81,computational,0.777,MOA_DB
DRUG_MECHANISM_00137,DrugHasMechanism,DRUG_00443,MECHANISM_00070,True,23.912,247.7,intermediate,reversible,True,1.61,computational,0.652,MOA_DB
DRUG_MECHANISM_00138,DrugHasMechanism,DRUG_00191,MECHANISM_00073,False,95.466,226.4,intermediate,irreversible,False,0.51,structural,0.682,MOA_DB
DRUG_MECHANISM_00139,DrugHasMechanism,DRUG_00120,MECHANISM_00032,False,0.999,747.6,fast,irreversible,True,1.99,structural,0.725,MOA_DB
DRUG_MECHANISM_00140,DrugHasMechanism,DRUG_00141,MECHANISM_00034,True,63.253,655.1,fast,reversible,False,1.3,biochemical,0.677,MOA_DB
DRUG_MECHANISM_00141,DrugHasMechanism,DRUG_00184,MECHANISM_00078,False,36.901,753.7,fast,reversible,True,1.98,structural,0.716,MOA_DB
DRUG_MECHANISM_00142,DrugHasMechanism,DRUG_00454,MECHANISM_00016,True,79.867,367.8,fast,irreversible,True,1.14,computational,0.607,MOA_DB
DRUG_MECHANISM_00143,DrugHasMechanism,DRUG_00016,MECHANISM_00026,True,19.07,196.2,intermediate,irreversible,True,0.77,biochemical,0.669,MOA_DB
DRUG_MECHANISM_00144,DrugHasMechanism,DRUG_00102,MECHANISM_00028,True,87.679,702.0,intermediate,reversible,False,1.29,computational,0.81,MOA_DB
DRUG_MECHANISM_00145,DrugHasMechanism,DRUG_00440,MECHANISM_00043,False,82.266,877.2,fast,irreversible,False,1.06,structural,0.783,MOA_DB
DRUG_MECHANISM_00146,DrugHasMechanism,DRUG_00042,MECHANISM_00056,True,96.457,285.7,intermediate,reversible,False,1.73,computational,0.871,MOA_DB
DRUG_MECHANISM_00147,DrugHasMechanism,DRUG_00079,MECHANISM_00067,True,75.329,287.2,intermediate,reversible,False,1.25,biochemical,0.755,MOA_DB
DRUG_MECHANISM_00148,DrugHasMechanism,DRUG_00052,MECHANISM_00065,True,97.578,112.3,slow,irreversible,True,1.72,biochemical,0.895,MOA_DB
DRUG_MECHANISM_00149,DrugHasMechanism,DRUG_00465,MECHANISM_00045,True,46.356,611.0,fast,reversible,False,1.92,computational,0.793,MOA_DB
DRUG_MECHANISM_00150,DrugHasMechanism,DRUG_00418,MECHANISM_00035,False,76.793,481.9,fast,reversible,False,1.37,biochemical,0.774,MOA_DB
DRUG_MECHANISM_00151,DrugHasMechanism,DRUG_00103,MECHANISM_00029,True,64.697,611.3,slow,irreversible,False,1.37,structural,0.684,MOA_DB
DRUG_MECHANISM_00152,DrugHasMechanism,DRUG_00065,MECHANISM_00065,False,0.32,747.3,fast,reversible,True,1.25,biochemical,0.769,MOA_DB
DRUG_MECHANISM_00153,DrugHasMechanism,DRUG_00102,MECHANISM_00073,False,98.011,789.0,intermediate,irreversible,False,1.07,biochemical,0.845,MOA_DB
DRUG_MECHANISM_00154,DrugHasMechanism,DRUG_00443,MECHANISM_00058,True,65.211,700.3,slow,irreversible,False,0.63,structural,0.898,MOA_DB
DRUG_MECHANISM_00155,DrugHasMechanism,DRUG_00315,MECHANISM_00037,False,62.085,720.1,fast,irreversible,False,0.6,computational,0.734,MOA_DB
DRUG_MECHANISM_00156,DrugHasMechanism,DRUG_00307,MECHANISM_00034,False,17.278,536.5,intermediate,reversible,True,1.61,biochemical,0.763,MOA_DB
DRUG_MECHANISM_00157,DrugHasMechanism,DRUG_00187,MECHANISM_00056,True,50.494,37.9,fast,irreversible,False,1.58,biochemical,0.684,MOA_DB
DRUG_MECHANISM_00158,DrugHasMechanism,DRUG_00301,MECHANISM_00048,False,15.842,333.5,fast,reversible,False,1.72,biochemical,0.897,MOA_DB
DRUG_MECHANISM_00159,DrugHasMechanism,DRUG_00023,MECHANISM_00071,False,26.867,128.5,fast,reversible,False,1.42,biochemical,0.824,MOA_DB
DRUG_MECHANISM_00160,DrugHasMechanism,DRUG_00138,MECHANISM_00005,True,94.028,509.8,intermediate,irreversible,False,1.34,structural,0.669,MOA_DB
DRUG_MECHANISM_00161,DrugHasMechanism,DRUG_00199,MECHANISM_00062,True,70.787,344.6,slow,reversible,True,0.71,computational,0.653,MOA_DB
DRUG_MECHANISM_00162,DrugHasMechanism,DRUG_00341,MECHANISM_00060,False,9.087,706.8,fast,irreversible,False,0.73,computational,0.798,MOA_DB
DRUG_MECHANISM_00163,DrugHasMechanism,DRUG_00277,MECHANISM_00031,True,67.809,378.5,slow,irreversible,True,1.51,computational,0.882,MOA_DB
DRUG_MECHANISM_00164,DrugHasMechanism,DRUG_00224,MECHANISM_00017,True,90.286,831.3,fast,irreversible,False,1.2,computational,0.898,MOA_DB
DRUG_MECHANISM_00165,DrugHasMechanism,DRUG_00449,MECHANISM_00075,False,14.372,228.8,intermediate,reversible,False,1.06,structural,0.659,MOA_DB
DRUG_MECHANISM_00166,DrugHasMechanism,DRUG_00232,MECHANISM_00004,True,75.772,393.1,slow,reversible,True,1.99,biochemical,0.826,MOA_DB
DRUG_MECHANISM_00167,DrugHasMechanism,DRUG_00247,MECHANISM_00011,False,69.919,600.3,fast,irreversible,True,1.63,biochemical,0.681,MOA_DB
DRUG_MECHANISM_00168,DrugHasMechanism,DRUG_00287,MECHANISM_00014,False,84.223,709.6,intermediate,irreversible,True,0.54,computational,0.724,MOA_DB
