Id,Label,FromId,ToId,Properties:tanimoto,Properties:dice,Properties:cosine,Properties:fingerprint,Properties:scaffold,Properties:pharmacophore,Properties:confidence,Properties:source
COMPOUND_SIMILARITY_00051,StructuralSimilarity,COMPOUND_00262,COMPOUND_00022,0.325,0.494,0.571,MACCS,different,0.388,0.891,SIMILARITY_CALC
COMPOUND_SIMILARITY_00052,StructuralSimilarity,COMPOUND_00263,COMPOUND_00122,0.783,0.438,0.413,MACCS,same,0.496,0.935,SIMILARITY_CALC
COMPOUND_SIMILARITY_00053,StructuralSimilarity,COMPOUND_00125,COMPOUND_00260,0.788,0.41,0.937,RDKit,similar,0.312,0.8,SIMILARITY_CALC
COMPOUND_SIMILARITY_00054,StructuralSimilarity,COMPOUND_00041,COMPOUND_00145,0.838,0.432,0.613,ECFP4,similar,0.869,0.808,SIMILARITY_CALC
COMPOUND_SIMILARITY_00055,StructuralSimilarity,COMPOUND_00104,COMPOUND_00191,0.45,0.313,0.3,ECFP4,similar,0.758,0.849,SIMILARITY_CALC
COMPOUND_SIMILARITY_00056,StructuralSimilarity,COMPOUND_00178,COMPOUND_00084,0.916,0.391,0.659,RDKit,similar,0.612,0.833,SIMILARITY_CALC
COMPOUND_SIMILARITY_00057,StructuralSimilarity,COMPOUND_00170,COMPOUND_00230,0.77,0.844,0.814,RDKit,different,0.404,0.817,SIMILARITY_CALC
COMPOUND_SIMILARITY_00058,StructuralSimilarity,COMPOUND_00027,COMPOUND_00266,0.832,0.379,0.935,ECFP4,same,0.647,0.81,SIMILARITY_CALC
COMPOUND_SIMILARITY_00059,StructuralSimilarity,COMPOUND_00081,COMPOUND_00023,0.555,0.806,0.657,MACCS,same,0.391,0.859,SIMILARITY_CALC
COMPOUND_SIMILARITY_00060,StructuralSimilarity,COMPOUND_00075,COMPOUND_00002,0.343,0.628,0.744,ECFP4,similar,0.876,0.818,SIMILARITY_CALC
COMPOUND_SIMILARITY_00061,StructuralSimilarity,COMPOUND_00259,COMPOUND_00096,0.496,0.94,0.68,ECFP4,similar,0.541,0.837,SIMILARITY_CALC
COMPOUND_SIMILARITY_00062,StructuralSimilarity,COMPOUND_00080,COMPOUND_00252,0.54,0.713,0.831,RDKit,different,0.214,0.935,SIMILARITY_CALC
COMPOUND_SIMILARITY_00063,StructuralSimilarity,COMPOUND_00077,COMPOUND_00151,0.688,0.32,0.426,FCFP6,different,0.587,0.756,SIMILARITY_CALC
COMPOUND_SIMILARITY_00064,StructuralSimilarity,COMPOUND_00079,COMPOUND_00270,0.912,0.685,0.461,MACCS,similar,0.208,0.907,SIMILARITY_CALC
COMPOUND_SIMILARITY_00065,StructuralSimilarity,COMPOUND_00183,COMPOUND_00181,0.364,0.505,0.69,FCFP6,similar,0.709,0.821,SIMILARITY_CALC
COMPOUND_SIMILARITY_00066,StructuralSimilarity,COMPOUND_00139,COMPOUND_00136,0.442,0.753,0.619,ECFP4,same,0.639,0.762,SIMILARITY_CALC
COMPOUND_SIMILARITY_00067,StructuralSimilarity,COMPOUND_00274,COMPOUND_00109,0.487,0.833,0.566,FCFP6,same,0.537,0.78,SIMILARITY_CALC
COMPOUND_SIMILARITY_00068,StructuralSimilarity,COMPOUND_00048,COMPOUND_00050,0.448,0.396,0.791,MACCS,similar,0.638,0.963,SIMILARITY_CALC
COMPOUND_SIMILARITY_00069,StructuralSimilarity,COMPOUND_00050,COMPOUND_00131,0.517,0.75,0.706,RDKit,similar,0.58,0.944,SIMILARITY_CALC
COMPOUND_SIMILARITY_00070,StructuralSimilarity,COMPOUND_00114,COMPOUND_00249,0.387,0.511,0.779,FCFP6,same,0.609,0.902,SIMILARITY_CALC
COMPOUND_SIMILARITY_00071,StructuralSimilarity,COMPOUND_00024,COMPOUND_00248,0.423,0.635,0.445,ECFP4,similar,0.495,0.863,SIMILARITY_CALC
COMPOUND_SIMILARITY_00072,StructuralSimilarity,COMPOUND_00035,COMPOUND_00234,0.405,0.576,0.438,ECFP4,different,0.402,0.89,SIMILARITY_CALC
COMPOUND_SIMILARITY_00073,StructuralSimilarity,COMPOUND_00041,COMPOUND_00076,0.683,0.492,0.716,RDKit,different,0.228,0.958,SIMILARITY_CALC
COMPOUND_SIMILARITY_00074,StructuralSimilarity,COMPOUND_00193,COMPOUND_00228,0.567,0.609,0.731,MACCS,different,0.402,0.849,SIMILARITY_CALC
COMPOUND_SIMILARITY_00075,StructuralSimilarity,COMPOUND_00092,COMPOUND_00087,0.879,0.9,0.691,ECFP4,similar,0.849,0.841,SIMILARITY_CALC
COMPOUND_SIMILARITY_00076,StructuralSimilarity,COMPOUND_00002,COMPOUND_00237,0.806,0.668,0.747,FCFP6,similar,0.751,0.801,SIMILARITY_CALC
COMPOUND_SIMILARITY_00077,StructuralSimilarity,COMPOUND_00266,COMPOUND_00164,0.464,0.63,0.458,ECFP4,similar,0.705,0.77,SIMILARITY_CALC
COMPOUND_SIMILARITY_00078,StructuralSimilarity,COMPOUND_00118,COMPOUND_00292,0.898,0.625,0.34,ECFP4,different,0.266,0.879,SIMILARITY_CALC
COMPOUND_SIMILARITY_00079,StructuralSimilarity,COMPOUND_00030,COMPOUND_00079,0.946,0.585,0.628,ECFP4,different,0.577,0.92,SIMILARITY_CALC
COMPOUND_SIMILARITY_00080,StructuralSimilarity,COMPOUND_00120,COMPOUND_00052,0.501,0.309,0.484,MACCS,similar,0.684,0.819,SIMILARITY_CALC
COMPOUND_SIMILARITY_00081,StructuralSimilarity,COMPOUND_00075,COMPOUND_00290,0.586,0.652,0.949,ECFP4,similar,0.865,0.975,SIMILARITY_CALC
COMPOUND_SIMILARITY_00083,StructuralSimilarity,COMPOUND_00280,COMPOUND_00119,0.383,0.63,0.823,RDKit,same,0.762,0.771,SIMILARITY_CALC
COMPOUND_SIMILARITY_00084,StructuralSimilarity,COMPOUND_00226,COMPOUND_00261,0.692,0.884,0.826,RDKit,similar,0.294,0.774,SIMILARITY_CALC
COMPOUND_SIMILARITY_00085,StructuralSimilarity,COMPOUND_00130,COMPOUND_00129,0.554,0.38,0.929,ECFP4,similar,0.805,0.862,SIMILARITY_CALC
COMPOUND_SIMILARITY_00086,StructuralSimilarity,COMPOUND_00144,COMPOUND_00173,0.514,0.413,0.351,FCFP6,same,0.764,0.953,SIMILARITY_CALC
COMPOUND_SIMILARITY_00087,StructuralSimilarity,COMPOUND_00198,COMPOUND_00074,0.425,0.349,0.605,FCFP6,different,0.228,0.752,SIMILARITY_CALC
COMPOUND_SIMILARITY_00088,StructuralSimilarity,COMPOUND_00115,COMPOUND_00116,0.927,0.891,0.439,FCFP6,similar,0.559,0.828,SIMILARITY_CALC
COMPOUND_SIMILARITY_00089,StructuralSimilarity,COMPOUND_00202,COMPOUND_00228,0.732,0.911,0.495,MACCS,different,0.843,0.857,SIMILARITY_CALC
COMPOUND_SIMILARITY_00090,StructuralSimilarity,COMPOUND_00029,COMPOUND_00200,0.687,0.619,0.644,MACCS,different,0.663,0.808,SIMILARITY_CALC
COMPOUND_SIMILARITY_00091,StructuralSimilarity,COMPOUND_00013,COMPOUND_00096,0.486,0.689,0.542,FCFP6,similar,0.276,0.889,SIMILARITY_CALC
COMPOUND_SIMILARITY_00092,StructuralSimilarity,COMPOUND_00021,COMPOUND_00188,0.377,0.457,0.867,FCFP6,different,0.241,0.975,SIMILARITY_CALC
COMPOUND_SIMILARITY_00093,StructuralSimilarity,COMPOUND_00268,COMPOUND_00142,0.786,0.587,0.588,ECFP4,different,0.225,0.796,SIMILARITY_CALC
COMPOUND_SIMILARITY_00094,StructuralSimilarity,COMPOUND_00142,COMPOUND_00276,0.601,0.849,0.694,ECFP4,different,0.443,0.755,SIMILARITY_CALC
COMPOUND_SIMILARITY_00095,StructuralSimilarity,COMPOUND_00021,COMPOUND_00073,0.623,0.853,0.323,ECFP4,different,0.855,0.795,SIMILARITY_CALC
COMPOUND_SIMILARITY_00096,StructuralSimilarity,COMPOUND_00080,COMPOUND_00205,0.877,0.729,0.617,MACCS,different,0.305,0.83,SIMILARITY_CALC
COMPOUND_SIMILARITY_00097,StructuralSimilarity,COMPOUND_00227,COMPOUND_00050,0.529,0.851,0.482,MACCS,similar,0.637,0.832,SIMILARITY_CALC
COMPOUND_SIMILARITY_00098,StructuralSimilarity,COMPOUND_00299,COMPOUND_00235,0.371,0.435,0.894,FCFP6,similar,0.237,0.898,SIMILARITY_CALC
COMPOUND_SIMILARITY_00099,StructuralSimilarity,COMPOUND_00094,COMPOUND_00019,0.71,0.37,0.365,MACCS,same,0.606,0.78,SIMILARITY_CALC
COMPOUND_SIMILARITY_00100,StructuralSimilarity,COMPOUND_00140,COMPOUND_00229,0.662,0.396,0.805,FCFP6,similar,0.455,0.886,SIMILARITY_CALC
COMPOUND_SIMILARITY_00101,StructuralSimilarity,COMPOUND_00256,COMPOUND_00104,0.35,0.398,0.368,ECFP4,different,0.847,0.761,SIMILARITY_CALC
COMPOUND_SIMILARITY_00102,StructuralSimilarity,COMPOUND_00262,COMPOUND_00159,0.915,0.316,0.89,FCFP6,similar,0.566,0.792,SIMILARITY_CALC
COMPOUND_SIMILARITY_00103,StructuralSimilarity,COMPOUND_00180,COMPOUND_00286,0.673,0.909,0.903,ECFP4,different,0.721,0.864,SIMILARITY_CALC
COMPOUND_SIMILARITY_00104,StructuralSimilarity,COMPOUND_00086,COMPOUND_00044,0.459,0.418,0.759,RDKit,same,0.869,0.943,SIMILARITY_CALC
COMPOUND_SIMILARITY_00105,StructuralSimilarity,COMPOUND_00114,COMPOUND_00057,0.308,0.305,0.344,RDKit,different,0.587,0.941,SIMILARITY_CALC
COMPOUND_SIMILARITY_00106,StructuralSimilarity,COMPOUND_00280,COMPOUND_00106,0.86,0.405,0.633,RDKit,same,0.492,0.862,SIMILARITY_CALC
COMPOUND_SIMILARITY_00107,StructuralSimilarity,COMPOUND_00143,COMPOUND_00042,0.59,0.589,0.314,MACCS,same,0.341,0.978,SIMILARITY_CALC
COMPOUND_SIMILARITY_00108,StructuralSimilarity,COMPOUND_00226,COMPOUND_00165,0.805,0.385,0.378,RDKit,different,0.807,0.963,SIMILARITY_CALC
COMPOUND_SIMILARITY_00109,StructuralSimilarity,COMPOUND_00228,COMPOUND_00296,0.675,0.391,0.574,ECFP4,same,0.9,0.975,SIMILARITY_CALC
COMPOUND_SIMILARITY_00110,StructuralSimilarity,COMPOUND_00118,COMPOUND_00155,0.68,0.395,0.779,FCFP6,same,0.255,0.878,SIMILARITY_CALC
COMPOUND_SIMILARITY_00111,StructuralSimilarity,COMPOUND_00103,COMPOUND_00091,0.571,0.689,0.537,MACCS,similar,0.593,0.955,SIMILARITY_CALC
COMPOUND_SIMILARITY_00112,StructuralSimilarity,COMPOUND_00175,COMPOUND_00267,0.857,0.381,0.473,ECFP4,different,0.631,0.946,SIMILARITY_CALC
COMPOUND_SIMILARITY_00113,StructuralSimilarity,COMPOUND_00285,COMPOUND_00026,0.511,0.772,0.927,MACCS,different,0.538,0.831,SIMILARITY_CALC
COMPOUND_SIMILARITY_00114,StructuralSimilarity,COMPOUND_00250,COMPOUND_00049,0.543,0.9,0.848,ECFP4,similar,0.468,0.973,SIMILARITY_CALC
COMPOUND_SIMILARITY_00115,StructuralSimilarity,COMPOUND_00084,COMPOUND_00035,0.408,0.454,0.597,ECFP4,same,0.557,0.92,SIMILARITY_CALC
COMPOUND_SIMILARITY_00116,StructuralSimilarity,COMPOUND_00002,COMPOUND_00046,0.517,0.547,0.631,ECFP4,same,0.457,0.886,SIMILARITY_CALC
COMPOUND_SIMILARITY_00117,StructuralSimilarity,COMPOUND_00061,COMPOUND_00170,0.348,0.521,0.737,ECFP4,similar,0.21,0.921,SIMILARITY_CALC
COMPOUND_SIMILARITY_00118,StructuralSimilarity,COMPOUND_00159,COMPOUND_00142,0.589,0.606,0.436,FCFP6,different,0.51,0.754,SIMILARITY_CALC
COMPOUND_SIMILARITY_00119,StructuralSimilarity,COMPOUND_00222,COMPOUND_00080,0.504,0.632,0.836,RDKit,similar,0.221,0.782,SIMILARITY_CALC
COMPOUND_SIMILARITY_00120,StructuralSimilarity,COMPOUND_00152,COMPOUND_00072,0.593,0.318,0.823,MACCS,different,0.807,0.953,SIMILARITY_CALC
COMPOUND_SIMILARITY_00121,StructuralSimilarity,COMPOUND_00242,COMPOUND_00041,0.314,0.913,0.735,MACCS,similar,0.243,0.811,SIMILARITY_CALC
COMPOUND_SIMILARITY_00122,StructuralSimilarity,COMPOUND_00187,COMPOUND_00298,0.42,0.665,0.615,MACCS,similar,0.226,0.854,SIMILARITY_CALC
COMPOUND_SIMILARITY_00123,StructuralSimilarity,COMPOUND_00271,COMPOUND_00260,0.798,0.492,0.653,RDKit,similar,0.432,0.838,SIMILARITY_CALC
COMPOUND_SIMILARITY_00124,StructuralSimilarity,COMPOUND_00202,COMPOUND_00214,0.669,0.398,0.717,ECFP4,same,0.582,0.924,SIMILARITY_CALC
COMPOUND_SIMILARITY_00125,StructuralSimilarity,COMPOUND_00103,COMPOUND_00284,0.52,0.853,0.499,FCFP6,same,0.488,0.771,SIMILARITY_CALC
COMPOUND_SIMILARITY_00126,StructuralSimilarity,COMPOUND_00284,COMPOUND_00213,0.71,0.366,0.435,MACCS,same,0.4,0.939,SIMILARITY_CALC
COMPOUND_SIMILARITY_00127,StructuralSimilarity,COMPOUND_00284,COMPOUND_00167,0.788,0.881,0.368,RDKit,same,0.772,0.814,SIMILARITY_CALC
COMPOUND_SIMILARITY_00128,StructuralSimilarity,COMPOUND_00094,COMPOUND_00073,0.676,0.635,0.539,FCFP6,different,0.415,0.783,SIMILARITY_CALC
COMPOUND_SIMILARITY_00129,StructuralSimilarity,COMPOUND_00108,COMPOUND_00153,0.598,0.622,0.369,MACCS,similar,0.584,0.77,SIMILARITY_CALC
COMPOUND_SIMILARITY_00130,StructuralSimilarity,COMPOUND_00037,COMPOUND_00033,0.847,0.787,0.526,RDKit,same,0.607,0.776,SIMILARITY_CALC
COMPOUND_SIMILARITY_00131,StructuralSimilarity,COMPOUND_00155,COMPOUND_00211,0.674,0.315,0.357,RDKit,different,0.306,0.951,SIMILARITY_CALC
COMPOUND_SIMILARITY_00132,StructuralSimilarity,COMPOUND_00260,COMPOUND_00030,0.786,0.61,0.301,RDKit,same,0.638,0.973,SIMILARITY_CALC
COMPOUND_SIMILARITY_00133,StructuralSimilarity,COMPOUND_00106,COMPOUND_00198,0.703,0.411,0.823,RDKit,same,0.819,0.829,SIMILARITY_CALC
COMPOUND_SIMILARITY_00134,StructuralSimilarity,COMPOUND_00198,COMPOUND_00084,0.604,0.736,0.436,RDKit,similar,0.814,0.954,SIMILARITY_CALC
COMPOUND_SIMILARITY_00135,StructuralSimilarity,COMPOUND_00266,COMPOUND_00102,0.794,0.877,0.326,ECFP4,same,0.87,0.967,SIMILARITY_CALC
COMPOUND_SIMILARITY_00136,StructuralSimilarity,COMPOUND_00131,COMPOUND_00074,0.515,0.533,0.586,FCFP6,different,0.759,0.835,SIMILARITY_CALC
COMPOUND_SIMILARITY_00137,StructuralSimilarity,COMPOUND_00254,COMPOUND_00209,0.567,0.618,0.414,FCFP6,similar,0.544,0.975,SIMILARITY_CALC
COMPOUND_SIMILARITY_00138,StructuralSimilarity,COMPOUND_00016,COMPOUND_00034,0.403,0.809,0.458,RDKit,same,0.622,0.774,SIMILARITY_CALC
COMPOUND_SIMILARITY_00139,StructuralSimilarity,COMPOUND_00171,COMPOUND_00005,0.616,0.562,0.867,ECFP4,different,0.486,0.841,SIMILARITY_CALC
COMPOUND_SIMILARITY_00140,StructuralSimilarity,COMPOUND_00246,COMPOUND_00048,0.925,0.537,0.644,RDKit,same,0.598,0.835,SIMILARITY_CALC
COMPOUND_SIMILARITY_00141,StructuralSimilarity,COMPOUND_00057,COMPOUND_00255,0.319,0.434,0.675,FCFP6,same,0.804,0.8,SIMILARITY_CALC
COMPOUND_SIMILARITY_00142,StructuralSimilarity,COMPOUND_00116,COMPOUND_00014,0.347,0.928,0.582,MACCS,similar,0.683,0.783,SIMILARITY_CALC
COMPOUND_SIMILARITY_00143,StructuralSimilarity,COMPOUND_00191,COMPOUND_00059,0.702,0.592,0.87,ECFP4,similar,0.253,0.953,SIMILARITY_CALC
COMPOUND_SIMILARITY_00144,StructuralSimilarity,COMPOUND_00012,COMPOUND_00100,0.301,0.816,0.722,ECFP4,different,0.238,0.84,SIMILARITY_CALC
COMPOUND_SIMILARITY_00145,StructuralSimilarity,COMPOUND_00289,COMPOUND_00083,0.645,0.475,0.85,MACCS,similar,0.247,0.896,SIMILARITY_CALC
COMPOUND_SIMILARITY_00146,StructuralSimilarity,COMPOUND_00026,COMPOUND_00153,0.885,0.849,0.46,RDKit,similar,0.867,0.956,SIMILARITY_CALC
COMPOUND_SIMILARITY_00147,StructuralSimilarity,COMPOUND_00231,COMPOUND_00175,0.458,0.469,0.649,RDKit,different,0.882,0.905,SIMILARITY_CALC
COMPOUND_SIMILARITY_00148,StructuralSimilarity,COMPOUND_00183,COMPOUND_00033,0.803,0.317,0.348,RDKit,different,0.762,0.767,SIMILARITY_CALC
COMPOUND_SIMILARITY_00149,StructuralSimilarity,COMPOUND_00296,COMPOUND_00037,0.739,0.676,0.779,ECFP4,similar,0.6,0.893,SIMILARITY_CALC
COMPOUND_SIMILARITY_00150,StructuralSimilarity,COMPOUND_00056,COMPOUND_00116,0.316,0.6,0.722,ECFP4,different,0.572,0.943,SIMILARITY_CALC
COMPOUND_SIMILARITY_00151,StructuralSimilarity,COMPOUND_00247,COMPOUND_00229,0.626,0.812,0.845,RDKit,similar,0.42,0.83,SIMILARITY_CALC
COMPOUND_SIMILARITY_00152,StructuralSimilarity,COMPOUND_00111,COMPOUND_00146,0.729,0.636,0.757,RDKit,same,0.802,0.932,SIMILARITY_CALC
COMPOUND_SIMILARITY_00153,StructuralSimilarity,COMPOUND_00039,COMPOUND_00063,0.526,0.739,0.387,ECFP4,different,0.453,0.971,SIMILARITY_CALC
COMPOUND_SIMILARITY_00154,StructuralSimilarity,COMPOUND_00274,COMPOUND_00061,0.749,0.595,0.865,ECFP4,similar,0.83,0.964,SIMILARITY_CALC
COMPOUND_SIMILARITY_00155,StructuralSimilarity,COMPOUND_00147,COMPOUND_00211,0.34,0.924,0.865,RDKit,similar,0.566,0.96,SIMILARITY_CALC
COMPOUND_SIMILARITY_00156,StructuralSimilarity,COMPOUND_00294,COMPOUND_00085,0.652,0.949,0.43,MACCS,same,0.456,0.906,SIMILARITY_CALC
COMPOUND_SIMILARITY_00157,StructuralSimilarity,COMPOUND_00155,COMPOUND_00229,0.474,0.92,0.568,MACCS,different,0.242,0.947,SIMILARITY_CALC
COMPOUND_SIMILARITY_00158,StructuralSimilarity,COMPOUND_00036,COMPOUND_00188,0.817,0.578,0.946,MACCS,different,0.749,0.939,SIMILARITY_CALC
