Id,Label,Properties:name,Properties:pubchemId,Properties:chemblId,Properties:smiles,Properties:inchiKey,Properties:type,Properties:molecularFormula,Properties:exactMass,Properties:logP,Properties:hbd,Properties:hba,Properties:rotatablebonds,Properties:polarSurfaceArea,Properties:bioavailability,Properties:source,Properties:confidence
COMPOUND_00021,Compound,Chemical_Compound_021,CID588234,CHEMBL153222,CCNCCN,GZMOMEIJYGVOAG-EGWPDBHOYB-N,ALKALOID,C6H28O3,353.0258,3.26,8,0,0,56.95,0.57,PUBCHEM,0.9
COMPOUND_00022,Compound,Chemical_Compound_022,CID626612,CHEMBL355095,CCC=OC(=O)O,XCQRIOUSRPNASS-IXGXAGESFB-Y,PEPTIDE,C23H31O8,500.9082,3.52,9,7,3,37.58,0.53,PUBCHEM,0.953
COMPOUND_00023,Compound,Chemical_Compound_023,CID641200,CHEMBL872574,CCOC,WFGOFZRKZTSMSF-VSGTBGEFFT-I,STEROID,C24H29N8O0,151.9845,2.44,0,13,18,85.81,0.33,PUBCHEM,0.968
COMPOUND_00024,Compound,Chemical_Compound_024,CID327137,CHEMBL876918,CCNCCc1ccccc1CCCCO,LJSQXDMCMUKSCC-RBFJRPUAWX-W,SMALL_MOLECULE,C13H45N3O6Cl0,342.6741,6.79,8,10,5,38.04,0.45,PUBCHEM,0.843
COMPOUND_00025,Compound,Chemical_Compound_025,CID609076,CHEMBL480480,CCCNCCc1ccccc1c1ccccc1,KEMZUQXRFWJHKY-GRHOHXLVVX-F,STEROID,C16H48N0O0,329.3535,-1.38,9,5,20,126.5,0.48,PUBCHEM,0.889
COMPOUND_00026,Compound,Chemical_Compound_026,CID472934,CHEMBL658746,C=Oc1ccccc1C=OC(=O)OCCN,WXWVHXEQZYFTVV-WEBOUBPOFH-M,STEROID,C24H17O3,958.8353,7.1,2,7,14,182.0,0.44,PUBCHEM,0.837
COMPOUND_00027,Compound,Chemical_Compound_027,CID740564,CHEMBL593969,C(=O)OCCCNc1ccccc1CCO,PRJIGGDDINLMUM-ZBKCRJHHYJ-P,FLAVONOID,C25H40N2S0,295.9414,3.13,8,1,16,56.32,0.1,PUBCHEM,0.858
COMPOUND_00028,Compound,Chemical_Compound_028,CID403619,CHEMBL827122,CCCCNCCNC,LXNQITFNNDOVEH-QRSQCAGHUM-F,LIPID,C21H36,351.8635,-1.26,2,8,11,36.78,0.96,PUBCHEM,0.864
COMPOUND_00029,Compound,Chemical_Compound_029,CID768960,CHEMBL986913,CC=Oc1ccccc1CC,WUMQOLXTBLFCCV-DVDWVARFEW-E,PEPTIDE,C23H14N0,961.808,4.72,6,8,17,97.73,0.38,PUBCHEM,0.888
COMPOUND_00030,Compound,Chemical_Compound_030,CID909105,CHEMBL418580,C(=O)OCCOCCN,CCQKUENUOTXDZO-MYVWSASBKI-J,SMALL_MOLECULE,C23H60N0O8,237.5024,2.48,4,14,19,176.31,0.75,PUBCHEM,0.949
COMPOUND_00031,Compound,Chemical_Compound_031,CID586872,CHEMBL661846,CCC(=O)OCCCC(=O)O,KKAHIMMCXYYCOE-LLBASPNNDM-R,LIPID,C10H55N8Cl2,327.1846,4.64,3,8,14,116.69,0.11,PUBCHEM,0.964
COMPOUND_00032,Compound,Chemical_Compound_032,CID110684,CHEMBL811780,CCCO,WHOKORJKXBXDES-ZVRWIMBIMP-M,ALKALOID,C8H42N7O8,134.7081,-0.91,2,5,11,44.33,0.12,PUBCHEM,0.946
COMPOUND_00033,Compound,Chemical_Compound_033,CID301729,CHEMBL510314,CCNC,CPDMPKBDKWRTUF-SQOTYEZFZK-X,NUCLEOTIDE,C7H26N6,654.5276,7.01,3,4,4,150.39,0.1,PUBCHEM,0.891
COMPOUND_00034,Compound,Chemical_Compound_034,CID327784,CHEMBL814038,C(=O)Oc1ccccc1C=OCCCCO,VSBGOWGJWINNRD-EJJOBNKDER-V,LIPID,C8H13N4Cl0,663.148,7.83,6,12,4,60.05,0.17,PUBCHEM,0.856
COMPOUND_00035,Compound,Chemical_Compound_035,CID710051,CHEMBL608193,CCOc1ccccc1,ZBJMPTFUHRAQEH-INWPAAUSNJ-J,PEPTIDE,C24H56O4S2,489.8871,0.56,1,9,6,142.26,0.45,PUBCHEM,0.807
COMPOUND_00036,Compound,Chemical_Compound_036,CID309412,CHEMBL906341,C(=O)OCCCCCNCCN,NGCUWGYOPWIJEG-BTJTWOEPNI-G,PEPTIDE,C9H21N5,108.068,-1.33,0,7,1,198.58,0.83,PUBCHEM,0.897
COMPOUND_00037,Compound,Chemical_Compound_037,CID612145,CHEMBL984673,CCNCCNC(=O)O,ZTVBZJQQJIXFZC-RXUVISKPTW-P,FLAVONOID,C10H19N5O0S1,723.2433,0.46,1,3,15,153.43,0.25,PUBCHEM,0.944
COMPOUND_00038,Compound,Chemical_Compound_038,CID898629,CHEMBL827565,c1ccccc1CCCCCC,WRVEXHULWJUQPQ-QMWDYATDLI-X,PEPTIDE,C11H32N5O8S2,862.3061,2.47,3,10,2,52.67,0.43,PUBCHEM,0.972
COMPOUND_00039,Compound,Chemical_Compound_039,CID930597,CHEMBL369241,CCNCC(=O)OCCO,VDFVCSGEBOXVOX-LSZSXCEZNY-P,PEPTIDE,C8H59O10,298.2828,0.01,0,0,17,194.43,0.57,PUBCHEM,0.961
COMPOUND_00040,Compound,Chemical_Compound_040,CID372588,CHEMBL863841,CC(=O)OCCCCCc1ccccc1,ZKMDJMQVKONIEP-WBRKSLXWZF-M,NUCLEOTIDE,C10H55N6,881.5419,2.52,10,2,6,121.24,0.85,PUBCHEM,0.875
COMPOUND_00041,Compound,Chemical_Compound_041,CID370231,CHEMBL470773,CCCC(=O)OCCCCCC,LZFWPCCTGNRQBE-ZFDXEBPHNO-K,PEPTIDE,C8H17N2O10S0Cl0,374.9859,5.95,0,1,8,112.31,0.49,PUBCHEM,0.818
COMPOUND_00042,Compound,Chemical_Compound_042,CID795005,CHEMBL775127,CCOC=OCCOc1ccccc1,NCCNDEJPAHWHPR-LWHPDDHFAC-J,FLAVONOID,C21H53O10Cl2,633.8528,1.67,1,2,9,34.22,0.95,PUBCHEM,0.877
COMPOUND_00043,Compound,Chemical_Compound_043,CID679241,CHEMBL506388,CCCCCCCNCCOCC,LBZYVBHRVMTRCO-DNFJESJRVZ-U,ALKALOID,C20H43O9S0Cl3,545.4101,1.31,1,4,16,60.03,0.99,PUBCHEM,0.928
COMPOUND_00044,Compound,Chemical_Compound_044,CID532935,CHEMBL798613,c1ccccc1CCCC(=O)O,VVVEEVIJIEAIVC-EQBIJFXIXK-V,FLAVONOID,C23H59N2O8Cl0,806.3623,5.49,3,11,4,117.93,0.52,PUBCHEM,0.872
COMPOUND_00045,Compound,Chemical_Compound_045,CID523648,CHEMBL915648,CCOCCC(=O)OCC,VZOIGFLOWSMPNM-IELGPXXNTQ-Z,ALKALOID,C10H17N7,688.0634,-0.28,0,7,16,47.19,0.31,PUBCHEM,0.93
COMPOUND_00046,Compound,Chemical_Compound_046,CID573567,CHEMBL431891,CCOC(=O)Oc1ccccc1,ZIUTCMQIJYSMJY-BFMWXAJUTA-K,SMALL_MOLECULE,C13H33N7S0,593.5249,0.15,4,14,18,130.93,0.35,PUBCHEM,0.933
COMPOUND_00047,Compound,Chemical_Compound_047,CID271313,CHEMBL154516,CCc1ccccc1c1ccccc1c1ccccc1,AGEEKDMPHYRPBL-DHRRCQWSFK-G,ALKALOID,C14H26Cl2,126.4332,-1.58,8,11,7,20.45,0.55,PUBCHEM,0.952
COMPOUND_00048,Compound,Chemical_Compound_048,CID391818,CHEMBL671895,CCCCN,SHESXOUSNFDEAB-PHBAETPJHB-M,ALKALOID,C12H60N2O3,287.6557,3.02,6,3,11,27.56,0.86,PUBCHEM,0.802
COMPOUND_00049,Compound,Chemical_Compound_049,CID999819,CHEMBL527878,CCOCCCc1ccccc1CC,IKQBYYMHZSUIHF-FTYCIROBXP-F,CARBOHYDRATE,C21H36N0O0,911.9296,-0.11,10,0,0,161.06,0.27,PUBCHEM,0.913
COMPOUND_00050,Compound,Chemical_Compound_050,CID535607,CHEMBL541304,c1ccccc1CC,QTWGPHOZNOOWSV-VVKIMKEQPO-K,NUCLEOTIDE,C18H15O1Cl2,284.7746,6.56,4,11,4,157.61,0.89,PUBCHEM,0.844
COMPOUND_00051,Compound,Chemical_Compound_051,CID306104,CHEMBL445731,C(=O)OCCC(=O)OC(=O)OCCO,LZPPDQTFVQACVU-PLBSDUSSPY-A,SMALL_MOLECULE,C8H57N2O0S2,109.8939,3.25,7,4,16,117.5,0.88,PUBCHEM,0.976
COMPOUND_00052,Compound,Chemical_Compound_052,CID457051,CHEMBL843238,c1ccccc1C(=O)OCCOc1ccccc1,CAYTETZNMPTWXN-MUFQNGAYFH-J,FLAVONOID,C14H12N8O4Cl0,967.7163,-1.15,9,11,6,51.16,0.2,PUBCHEM,0.909
COMPOUND_00053,Compound,Chemical_Compound_053,CID954905,CHEMBL720836,CCOCCCCN,NQEZRLGQULQNMG-ANQLBCEJLK-C,ALKALOID,C25H15O2,122.8635,4.12,3,12,9,56.94,0.42,PUBCHEM,0.943
COMPOUND_00054,Compound,Chemical_Compound_054,CID346761,CHEMBL735153,CCNc1ccccc1C=OCCN,RSLTMXRWAWNSFL-WVQTJXMVXK-G,CARBOHYDRATE,C24H39N2O2Cl0,638.4556,0.73,4,1,10,37.59,0.98,PUBCHEM,0.968
COMPOUND_00055,Compound,Chemical_Compound_055,CID547582,CHEMBL159546,CCCc1ccccc1,CWNJEVJVGOEDZH-DFRYAJYNUV-Z,PEPTIDE,C25H51O4,419.7379,-0.24,1,2,5,88.49,0.77,PUBCHEM,0.879
COMPOUND_00056,Compound,Chemical_Compound_056,CID397621,CHEMBL517289,c1ccccc1CCC,ANQYMXVUEWHKZQ-IKYYZZTGPB-G,CARBOHYDRATE,C24H32O2,584.4283,3.36,0,0,5,172.07,0.66,PUBCHEM,0.967
COMPOUND_00057,Compound,Chemical_Compound_057,CID909336,CHEMBL739382,C(=O)Oc1ccccc1CCCCCOC(=O)O,YKWJUVRLZNUTZO-DZBUIGERNV-U,SMALL_MOLECULE,C6H21N2O4,314.4129,1.53,4,4,9,131.19,0.23,PUBCHEM,0.887
COMPOUND_00058,Compound,Chemical_Compound_058,CID841063,CHEMBL429607,CCNCC(=O)OC(=O)Oc1ccccc1,ELLJOFOLRCPSSJ-TCCORIFLDH-M,FLAVONOID,C14H57N7O2,323.0596,4.4,0,6,9,176.46,0.62,PUBCHEM,0.958
COMPOUND_00059,Compound,Chemical_Compound_059,CID470199,CHEMBL544358,CCCCCc1ccccc1C,ZEDHRRWJLCAUBR-EGTOCPRUDX-X,ALKALOID,C19H21N8,396.5268,4.71,4,4,19,155.79,0.14,PUBCHEM,0.872
COMPOUND_00060,Compound,Chemical_Compound_060,CID365279,CHEMBL469611,c1ccccc1CCOC(=O)O,TQEFRNUHABJYEI-RQHRMQQCXH-P,NUCLEOTIDE,C28H21N8O10Cl0,886.4635,0.33,9,10,15,189.25,0.55,PUBCHEM,0.899
COMPOUND_00061,Compound,Chemical_Compound_061,CID366954,CHEMBL414901,C=OCCNC(=O)OCCCc1ccccc1,OAOFMNCDPPYPKM-YZWEVPCTNX-B,CARBOHYDRATE,C25H15,577.2938,1.7,4,2,3,94.13,0.37,PUBCHEM,0.961
COMPOUND_00062,Compound,Chemical_Compound_062,CID509596,CHEMBL291591,CCOCCOCCO,LFLCEHFSFLUUII-KADJOUZAJD-X,CARBOHYDRATE,C19H59N3O5Cl0,581.4917,0.17,3,9,19,79.19,0.77,PUBCHEM,0.823
COMPOUND_00063,Compound,Chemical_Compound_063,CID308911,CHEMBL151807,CCOCCNCCOC(=O)Oc1ccccc1,HKKOOQCAZWVIUM-OBKCDTQWRP-O,SMALL_MOLECULE,C20H14N6O8S0,426.3041,2.75,0,2,5,32.84,0.83,PUBCHEM,0.845
COMPOUND_00064,Compound,Chemical_Compound_064,CID644990,CHEMBL920344,CCCCCCCCN,LFMHYFDLNJIJYD-BWPAXZXLCH-G,SMALL_MOLECULE,C22H36N2O9,189.7053,2.01,5,15,5,152.36,0.7,PUBCHEM,0.962
COMPOUND_00065,Compound,Chemical_Compound_065,CID609486,CHEMBL999094,CCCCCCCCCCO,RKLJUYGDOXZNUZ-YCXQALAFQE-I,LIPID,C21H49N8O3,530.4488,-1.2,3,1,16,35.71,0.52,PUBCHEM,0.841
COMPOUND_00066,Compound,Chemical_Compound_066,CID906557,CHEMBL782509,C(=O)OC=O,LNJYLTATTGZKHO-GXARJYUPFG-M,NUCLEOTIDE,C15H42N8O4,885.252,-0.12,1,10,20,103.58,0.64,PUBCHEM,0.976
COMPOUND_00067,Compound,Chemical_Compound_067,CID941524,CHEMBL211688,CC(=O)OCCC,VPWUJSANIFZYXE-BCCJWNLVXA-D,LIPID,C10H13N6O3,329.4536,0.41,9,13,3,101.86,0.53,PUBCHEM,0.859
COMPOUND_00068,Compound,Chemical_Compound_068,CID663974,CHEMBL120215,c1ccccc1c1ccccc1C=OCCCCC,JXMFZYFHPMFHLY-MZUQDIKMAU-W,PEPTIDE,C17H9O7Cl3,109.6213,-1.02,4,8,8,54.04,0.18,PUBCHEM,0.979
COMPOUND_00069,Compound,Chemical_Compound_069,CID597950,CHEMBL360614,CCCCNCCC,AKRHRITVGYMSLC-UEFILAOWGZ-O,CARBOHYDRATE,C21H35N5O7,597.5874,2.97,1,3,5,176.19,0.64,PUBCHEM,0.925
COMPOUND_00070,Compound,Chemical_Compound_070,CID121072,CHEMBL330904,C=OC(=O)OCc1ccccc1,BFNNECAZXVUALT-TYLYREWSGC-K,STEROID,C26H50O8S0,807.7149,3.26,7,12,18,72.42,0.43,PUBCHEM,0.903
COMPOUND_00071,Compound,Chemical_Compound_071,CID617992,CHEMBL868728,C=OC(=O)OC(=O)O,ADTOPZFFJMLVHP-BQCPKYRWWP-T,CARBOHYDRATE,C5H21N8O2S0Cl2,605.6678,2.13,0,7,10,165.86,0.88,PUBCHEM,0.972
COMPOUND_00072,Compound,Chemical_Compound_072,CID928154,CHEMBL657080,CCNc1ccccc1C=O,NIURCBJQXFVIXM-UTNQRRXYGQ-Y,STEROID,C20H60N8O9,492.1111,1.99,6,13,2,44.71,0.98,PUBCHEM,0.849
COMPOUND_00073,Compound,Chemical_Compound_073,CID661630,CHEMBL724591,CCOCCO,FGNCBGWKBOQFKO-DUBXYHRNTM-Y,FLAVONOID,C22H23N5O6,170.5462,7.01,10,14,17,38.93,0.35,PUBCHEM,0.977
COMPOUND_00074,Compound,Chemical_Compound_074,CID315117,CHEMBL755175,CCNCCCC,OEQQWQBIQBBIAU-KWKGMUTIJA-E,PEPTIDE,C28H29N3O8,275.184,1.63,5,6,15,135.35,0.88,PUBCHEM,0.971
COMPOUND_00075,Compound,Chemical_Compound_075,CID303222,CHEMBL708060,C=OCCCc1ccccc1,HCZDDLQLWWEUPF-DGITIOXLEN-J,CARBOHYDRATE,C10H47N4O5Cl0,927.6783,3.01,4,3,0,165.23,0.59,PUBCHEM,0.933
COMPOUND_00076,Compound,Chemical_Compound_076,CID313021,CHEMBL975017,CCCCOC=OCC,HIDJMFRRFWWYGP-ERAYRNKICY-G,CARBOHYDRATE,C26H15O9S2Cl2,362.3687,-0.44,5,4,4,39.13,0.67,PUBCHEM,0.867
COMPOUND_00077,Compound,Chemical_Compound_077,CID459412,CHEMBL591566,CCCC(=O)Oc1ccccc1C=OC(=O)O,NZBVYREJLXRILD-TGCVEYCSVQ-C,PEPTIDE,C5H27N5O6,226.3042,1.84,3,7,10,144.08,0.55,PUBCHEM,0.922
COMPOUND_00078,Compound,Chemical_Compound_078,CID825515,CHEMBL909843,c1ccccc1CCC(=O)OCCC,SLHEKTZQRWPCWL-HROQAEZTSV-C,SMALL_MOLECULE,C26H57N6O7,747.5627,-0.5,8,11,17,20.04,0.2,PUBCHEM,0.914
COMPOUND_00079,Compound,Chemical_Compound_079,CID801846,CHEMBL430877,C=OC=OC=O,CRPJEEDTGRLVUI-MRQWIUDQDQ-P,FLAVONOID,C20H51O7Cl2,904.6627,0.51,6,2,16,102.06,0.88,PUBCHEM,0.822
COMPOUND_00080,Compound,Chemical_Compound_080,CID955186,CHEMBL440148,C(=O)OCC,NJARADLDKBXIIF-FMQZBRJRCQ-D,PEPTIDE,C15H19,153.7608,-0.4,6,8,14,35.56,0.37,PUBCHEM,0.935
COMPOUND_00081,Compound,Chemical_Compound_081,CID458303,CHEMBL339633,C(=O)OCCCc1ccccc1,KDSYEQFDDINYJI-CXESLRWOCZ-X,FLAVONOID,C16H24N0S0,829.9536,1.99,10,13,17,113.51,0.27,PUBCHEM,0.92
COMPOUND_00082,Compound,Chemical_Compound_082,CID952652,CHEMBL498148,CCOCCCc1ccccc1CCN,QOICBAOTPXBMCB-VKTMFZXGUI-S,CARBOHYDRATE,C5H29N5,316.4357,7.13,5,0,5,54.49,0.46,PUBCHEM,0.959
COMPOUND_00083,Compound,Chemical_Compound_083,CID216510,CHEMBL857811,CCOCCCCCN,CJMJYNRCXOQKYL-OPLWOKHGKP-H,FLAVONOID,C30H41N8O1,101.5813,7.96,4,13,11,75.94,0.84,PUBCHEM,0.903
COMPOUND_00084,Compound,Chemical_Compound_084,CID975088,CHEMBL811219,CCNC(=O)OCC,QOLOEPBGEXMASE-EXGWWCOYRP-R,ALKALOID,C27H30N2O10,103.7546,-0.18,4,9,17,30.65,0.18,PUBCHEM,0.862
COMPOUND_00085,Compound,Chemical_Compound_085,CID673193,CHEMBL892423,C=OCCNC=OCCN,FCEYRUWCEEXMUC-OVZNNVOJJZ-E,CARBOHYDRATE,C23H16N2O7Cl3,937.4069,2.4,1,1,2,105.91,0.87,PUBCHEM,0.941
COMPOUND_00086,Compound,Chemical_Compound_086,CID975986,CHEMBL240100,C(=O)Oc1ccccc1CCCCCO,PWLMBJFJETIYNT-VOROGUTAIO-N,ALKALOID,C30H55N7,250.6115,0.03,7,10,1,84.3,0.16,PUBCHEM,0.894
COMPOUND_00087,Compound,Chemical_Compound_087,CID734187,CHEMBL875269,C=OCCOCCOc1ccccc1,AWWINRUNRZDIJE-HTXQSPXROX-K,NUCLEOTIDE,C22H43N4O9Cl0,909.7282,-0.29,8,15,18,109.81,0.49,PUBCHEM,0.977
COMPOUND_00088,Compound,Chemical_Compound_088,CID820879,CHEMBL382278,CCOc1ccccc1CCN,XHTDEOGIHYFVXP-ZJEPYZVGSH-O,LIPID,C13H39O3,928.9969,-0.11,8,4,12,42.65,0.33,PUBCHEM,0.814
COMPOUND_00089,Compound,Chemical_Compound_089,CID481456,CHEMBL236211,CCCC=O,RBEVIRLXIEOMXP-IZFHUNIVIA-Z,CARBOHYDRATE,C21H25O8S0,161.882,0.31,3,15,8,143.36,0.44,PUBCHEM,0.825
COMPOUND_00090,Compound,Chemical_Compound_090,CID742451,CHEMBL180783,CCCC,YSMRSNLWBINUQN-UJZQDTJRWC-U,NUCLEOTIDE,C15H14N5,981.2399,4.23,4,14,3,105.93,0.64,PUBCHEM,0.873
COMPOUND_00091,Compound,Chemical_Compound_091,CID962541,CHEMBL891590,CCCCCC,RNVGPCPKAQLKTZ-DSCWQNLZND-W,ALKALOID,C29H12N1O3,572.689,7.98,3,2,14,55.14,0.11,PUBCHEM,0.825
COMPOUND_00092,Compound,Chemical_Compound_092,CID378809,CHEMBL287488,C(=O)OCCN,WVWXLSTMAAURBX-QCFKDOFVYU-G,LIPID,C7H30N5Cl3,707.2878,-1.8,7,8,17,175.15,0.51,PUBCHEM,0.876
COMPOUND_00093,Compound,Chemical_Compound_093,CID757846,CHEMBL883696,CCCC(=O)OCCCCCOC=O,DHKCPKEIOMEDYW-FYYSYFPQHO-N,SMALL_MOLECULE,C20H30N5O6,418.4555,6.47,9,12,13,58.49,0.86,PUBCHEM,0.834
COMPOUND_00094,Compound,Chemical_Compound_094,CID555286,CHEMBL718561,C(=O)OCCCC,CLSHZQSUESTAKW-NMAXWCKWDP-D,LIPID,C7H38O1,901.5219,-1.27,2,15,8,183.77,0.32,PUBCHEM,0.922
COMPOUND_00095,Compound,Chemical_Compound_095,CID392360,CHEMBL702866,CCOc1ccccc1C,IVVHDTLXRDRXYX-ZEKCZYXZVI-J,LIPID,C28H34N0O2S2,811.8739,2.79,3,6,14,58.22,0.99,PUBCHEM,0.951
COMPOUND_00096,Compound,Chemical_Compound_096,CID291312,CHEMBL355290,Cc1ccccc1CCNC=OCCC,YGIPHWWLKVBBOG-WZWRCFJNLZ-T,NUCLEOTIDE,C7H18N2O9,658.5386,3.36,4,1,14,179.1,0.23,PUBCHEM,0.92
COMPOUND_00097,Compound,Chemical_Compound_097,CID949705,CHEMBL836396,CCOCCNCc1ccccc1C(=O)O,PWCITBVYTHZSWR-XEUYXRWTAS-E,ALKALOID,C21H31N0O1,813.3873,6.52,4,15,12,42.76,0.9,PUBCHEM,0.969
COMPOUND_00098,Compound,Chemical_Compound_098,CID259759,CHEMBL943882,C=OCCNCCC,LNEZAQOLZVFYBV-QPRJYMWNET-J,ALKALOID,C15H25N4O4,486.2056,1.46,3,1,17,88.92,0.73,PUBCHEM,0.927
COMPOUND_00099,Compound,Chemical_Compound_099,CID522654,CHEMBL967631,CCCCCN,LERUUHSJFJBAPS-PXXVDSYWES-U,STEROID,C16H32N6O6,742.5401,-0.77,6,11,8,119.73,0.13,PUBCHEM,0.918
COMPOUND_00100,Compound,Chemical_Compound_100,CID740407,CHEMBL988872,CCOCCCN,IPYDVAEUERBZRC-WUPZUBZWIE-B,ALKALOID,C18H22N3S0,897.5481,2.07,8,2,2,103.79,0.64,PUBCHEM,0.896
COMPOUND_00101,Compound,Chemical_Compound_101,CID893230,CHEMBL738478,CCNCCOC(=O)O,RAGWFBAIFMOQFD-EQVSGONERE-E,ALKALOID,C13H42O10,730.9385,1.43,5,5,6,38.21,0.35,PUBCHEM,0.868
COMPOUND_00102,Compound,Chemical_Compound_102,CID209648,CHEMBL419723,c1ccccc1CCCCCCC,NJQQWEHVUKWABY-IMMWCKQVMZ-X,CARBOHYDRATE,C26H49N3O6,727.3061,7.65,4,6,7,91.09,0.46,PUBCHEM,0.886
