Id,Label,Properties:name,Properties:keggId,Properties:type,Properties:description,Properties:geneCount,Properties:significance,Properties:enrichmentScore,Properties:cellType,Properties:source,Properties:confidence
PATHWAY_00076,Pathway,Biological_Pathway_076,hsa11027,SIGNALING,Regulates cellular metabolism and energy production,147,0.042062,4.92,fibroblast,KEGG,0.862
PATHWAY_00077,Pathway,Biological_Pathway_077,hsa59643,IMMUNE,Manages protein synthesis and degradation,78,0.02647,2.15,neuron,KEGG,0.895
PATHWAY_00078,Pathway,Biological_Pathway_078,hsa85495,SIGNALING,Manages protein synthesis and degradation,183,0.042464,9.6,neuron,KEGG,0.904
PATHWAY_00079,Pathway,Biological_Pathway_079,hsa76289,CELL_CYCLE,Controls apoptosis and cell survival,45,0.046999,7.92,neuron,KEGG,0.805
PATHWAY_00080,Pathway,Biological_Pathway_080,hsa86825,SIGNALING,Regulates lipid metabolism and storage,184,0.010972,9.09,cardiomyocyte,KEGG,0.929
PATHWAY_00081,Pathway,Biological_Pathway_081,hsa96519,IMMUNE,Mediates immune response and inflammation,33,0.013744,4.19,hepatocyte,KEGG,0.913
PATHWAY_00082,Pathway,Biological_Pathway_082,hsa56935,LIPID_METABOLISM,Regulates cellular metabolism and energy production,60,0.02918,7.62,fibroblast,KEGG,0.773
PATHWAY_00083,Pathway,Biological_Pathway_083,hsa11051,IMMUNE,Coordinates DNA repair and genome stability,86,0.009232,6.42,cardiomyocyte,KEGG,0.889
PATHWAY_00084,Pathway,Biological_Pathway_084,hsa14912,LIPID_METABOLISM,Manages protein synthesis and degradation,31,0.018316,5.71,fibroblast,KEGG,0.831
PATHWAY_00085,Pathway,Biological_Pathway_085,hsa99603,CELL_CYCLE,Manages protein synthesis and degradation,65,0.042637,3.56,neuron,KEGG,0.898
PATHWAY_00086,Pathway,Biological_Pathway_086,hsa70789,APOPTOSIS,Regulates cellular metabolism and energy production,77,0.046541,2.21,cardiomyocyte,KEGG,0.824
PATHWAY_00087,Pathway,Biological_Pathway_087,hsa34039,CELL_CYCLE,Regulates lipid metabolism and storage,153,0.002397,2.96,hepatocyte,KEGG,0.869
PATHWAY_00088,Pathway,Biological_Pathway_088,hsa89318,METABOLIC,Coordinates DNA repair and genome stability,147,0.047895,7.44,hepatocyte,KEGG,0.915
PATHWAY_00089,Pathway,Biological_Pathway_089,hsa46863,LIPID_METABOLISM,Mediates immune response and inflammation,8,0.023119,4.29,cardiomyocyte,KEGG,0.789
PATHWAY_00090,Pathway,Biological_Pathway_090,hsa24162,SIGNALING,Controls apoptosis and cell survival,145,0.00103,2.65,hepatocyte,KEGG,0.863
PATHWAY_00091,Pathway,Biological_Pathway_091,hsa60650,CELL_CYCLE,Controls cell cycle progression and division,162,0.038997,2.65,neuron,KEGG,0.938
PATHWAY_00092,Pathway,Biological_Pathway_092,hsa61686,DNA_REPAIR,Controls apoptosis and cell survival,155,0.0035,5.59,fibroblast,KEGG,0.787
PATHWAY_00093,Pathway,Biological_Pathway_093,hsa85383,CELL_CYCLE,Regulates cellular metabolism and energy production,64,0.025142,5.26,hepatocyte,KEGG,0.902
PATHWAY_00094,Pathway,Biological_Pathway_094,hsa13687,PROTEIN_SYNTHESIS,Mediates signal transduction pathways,6,0.042663,3.01,neuron,KEGG,0.787
PATHWAY_00095,Pathway,Biological_Pathway_095,hsa11366,IMMUNE,Manages protein synthesis and degradation,191,0.035087,5.96,neuron,KEGG,0.932
PATHWAY_00096,Pathway,Biological_Pathway_096,hsa89644,DNA_REPAIR,Coordinates DNA repair and genome stability,18,0.039417,3.27,neuron,KEGG,0.857
PATHWAY_00097,Pathway,Biological_Pathway_097,hsa23365,IMMUNE,Mediates immune response and inflammation,116,0.018115,2.56,hepatocyte,KEGG,0.815
PATHWAY_00098,Pathway,Biological_Pathway_098,hsa36418,IMMUNE,Coordinates DNA repair and genome stability,143,0.049786,7.75,neuron,KEGG,0.837
PATHWAY_00099,Pathway,Biological_Pathway_099,hsa43760,DNA_REPAIR,Controls cell cycle progression and division,197,0.049413,9.73,hepatocyte,KEGG,0.948
PATHWAY_00100,Pathway,Biological_Pathway_100,hsa24330,PROTEIN_SYNTHESIS,Coordinates DNA repair and genome stability,20,0.025598,8.34,neuron,KEGG,0.835
