Id,Label,Properties:name,Properties:brandName,Properties:type,Properties:fdaApproved,Properties:molecularWeight,Properties:dosageForm,Properties:dosageMg,Properties:manufacturer,Properties:approvalDate,Properties:indication,Properties:contraindications,Properties:sideEffects,Properties:source,Properties:confidence
DRUG_00034,Drug,Venlafaxine,VitaLA,ACE_INHIBITOR,False,258.52,injection,442,Sanofi,2021-01-26,anxiety reduction,bleeding disorders; pregnancy; kidney impairment,insomnia; rash; drowsiness,FDA_ORANGE_BOOK,0.906
DRUG_00035,Drug,Naproxen,UltraSR,BETA_BLOCKER,False,248.59,syrup,454,Johnson & Johnson,1990-05-21,diabetes treatment,pregnancy,dry mouth; insomnia; headache; diarrhea,FDA_ORANGE_BOOK,0.925
DRUG_00036,Drug,Ibuprofen,Ultraol,CORTICOSTEROID,False,788.18,cream,310,AbbVie,2017-08-05,blood pressure control,allergy history; bleeding disorders; heart failure,insomnia; diarrhea,FDA_ORANGE_BOOK,0.889
DRUG_00037,Drug,Fentanyl,Vitaex,BETA_BLOCKER,True,265.84,injection,411,Johnson & Johnson,2008-10-23,cholesterol management,bleeding disorders; pregnancy,rash; drowsiness; insomnia; diarrhea,FDA_ORANGE_BOOK,0.921
DRUG_00038,Drug,Metformin,Genforte,OPIOID,True,520.38,syrup,406,Bristol Myers Squibb,2011-05-04,cholesterol management,kidney impairment; heart failure,constipation; dizziness; drowsiness; headache; insomnia,FDA_ORANGE_BOOK,0.951
DRUG_00039,Drug,Duloxetine,Bioforte,ANTIBIOTIC,False,715.98,syrup,59,GlaxoSmithKline,1999-12-13,diabetes treatment,liver disease; allergy history,fatigue; headache,FDA_ORANGE_BOOK,0.928
DRUG_00040,Drug,Metoprolol,VitaER,PROTON_PUMP_INHIBITOR,True,408.16,tablet,183,AbbVie,2006-01-22,cardiac protection,bleeding disorders,insomnia; dizziness,FDA_ORANGE_BOOK,0.889
DRUG_00041,Drug,Fentanyl,PharmaLA,ACE_INHIBITOR,False,558.15,capsule,377,Amgen,1992-09-26,cardiac protection,liver disease; heart failure,nausea; drowsiness,FDA_ORANGE_BOOK,0.963
DRUG_00042,Drug,Bupropion,UltraLA,ANTICONVULSANT,True,469.35,injection,291,Pfizer,2007-11-22,pain relief,liver disease; kidney impairment,nausea; fatigue; diarrhea; drowsiness; constipation,FDA_ORANGE_BOOK,0.987
DRUG_00043,Drug,Azithromycin,Neool,ANTIBIOTIC,True,317.64,injection,407,Roche,2016-02-04,blood pressure control,pregnancy; heart failure; liver disease,nausea; rash,FDA_ORANGE_BOOK,0.903
DRUG_00044,Drug,Simvastatin,Medex,DIURETIC,False,760.4,tablet,428,Merck,2010-02-27,anxiety reduction,pregnancy,constipation; headache,FDA_ORANGE_BOOK,0.872
DRUG_00045,Drug,Metoprolol,Ultraine,BETA_BLOCKER,False,284.09,cream,298,AbbVie,2007-12-11,diabetes treatment,pregnancy; kidney impairment,nausea; drowsiness; rash,FDA_ORANGE_BOOK,0.872
DRUG_00046,Drug,Meloxicam,Proex,ANTIDEPRESSANT,False,608.86,syrup,208,Johnson & Johnson,2004-02-12,cholesterol management,liver disease; bleeding disorders,fatigue; insomnia,FDA_ORANGE_BOOK,0.965
DRUG_00047,Drug,Prednisone,Ultramax,BRONCHODILATOR,True,250.12,cream,221,Sanofi,2011-03-15,inflammation reduction,pregnancy,dry mouth; drowsiness; nausea; rash; headache,FDA_ORANGE_BOOK,0.946
DRUG_00048,Drug,Levothyroxine,NovoSR,CORTICOSTEROID,True,713.33,capsule,256,Merck,2023-07-09,anxiety reduction,allergy history; liver disease; heart failure,headache; dry mouth; drowsiness,FDA_ORANGE_BOOK,0.874
DRUG_00049,Drug,Tramadol,PharmaLA,ANTIDEPRESSANT,True,768.45,capsule,492,Pfizer,2000-01-05,depression treatment,bleeding disorders,dry mouth; diarrhea; nausea,FDA_ORANGE_BOOK,0.913
DRUG_00050,Drug,Hydrocodone,Genex,OPIOID,True,249.77,syrup,201,Sanofi,2017-11-13,cholesterol management,heart failure; liver disease,diarrhea; constipation; drowsiness,FDA_ORANGE_BOOK,0.967
DRUG_00051,Drug,Drug_051_51,Biool,NSAID,False,579.95,injection,484,Novartis,2013-12-08,pain relief,bleeding disorders; heart failure; liver disease,dizziness; drowsiness; fatigue; diarrhea; dry mouth,FDA_ORANGE_BOOK,0.935
DRUG_00052,Drug,Drug_052_52,VitaXR,CORTICOSTEROID,True,322.3,injection,124,Sanofi,1998-03-31,cholesterol management,kidney impairment; allergy history,headache; fatigue,FDA_ORANGE_BOOK,0.855
DRUG_00053,Drug,Drug_053_53,NovoER,BRONCHODILATOR,True,725.86,syrup,78,Novartis,2000-07-16,pain relief,liver disease,dry mouth; fatigue; diarrhea; insomnia; constipation,FDA_ORANGE_BOOK,0.933
DRUG_00054,Drug,Drug_054_54,UltraLA,NSAID,True,620.97,injection,247,GlaxoSmithKline,1993-07-27,cholesterol management,allergy history,dizziness; drowsiness; constipation; rash,FDA_ORANGE_BOOK,0.951
DRUG_00055,Drug,Drug_055_55,Medmax,HYPNOTIC,False,668.79,syrup,364,Roche,2014-05-07,inflammation reduction,bleeding disorders; heart failure; kidney impairment,headache; rash; dry mouth; constipation; dizziness,FDA_ORANGE_BOOK,0.933
DRUG_00056,Drug,Drug_056_56,Ultraex,HYPNOTIC,False,583.36,capsule,383,Sanofi,2016-11-30,diabetes treatment,allergy history; kidney impairment,fatigue; constipation; dizziness; nausea,FDA_ORANGE_BOOK,0.851
DRUG_00057,Drug,Drug_057_57,NeoXR,ACE_INHIBITOR,False,734.72,injection,230,Merck,2001-03-31,anxiety reduction,pregnancy; liver disease; allergy history,fatigue; diarrhea; constipation,FDA_ORANGE_BOOK,0.988
DRUG_00058,Drug,Drug_058_58,Pharmaex,OPIOID,False,467.42,capsule,355,Pfizer,2013-08-14,depression treatment,allergy history; liver disease; bleeding disorders,fatigue; nausea; insomnia; rash,FDA_ORANGE_BOOK,0.929
DRUG_00059,Drug,Drug_059_59,Pharmaplus,ANTIBIOTIC,True,642.92,tablet,467,GlaxoSmithKline,1992-11-25,cardiac protection,pregnancy,dry mouth; fatigue,FDA_ORANGE_BOOK,0.874
DRUG_00060,Drug,Drug_060_60,UltraXR,BRONCHODILATOR,True,724.93,tablet,216,Novartis,2015-06-24,depression treatment,heart failure; pregnancy; liver disease,dry mouth; dizziness; headache; constipation; fatigue,FDA_ORANGE_BOOK,0.913
DRUG_00061,Drug,Drug_061_61,Pharmaol,BETA_BLOCKER,True,581.82,cream,16,AbbVie,2023-03-03,inflammation reduction,kidney impairment,fatigue; diarrhea,FDA_ORANGE_BOOK,0.854
DRUG_00062,Drug,Drug_062_62,Genine,ANTIBIOTIC,False,581.28,injection,173,Pfizer,2020-05-11,depression treatment,kidney impairment,dizziness; dry mouth,FDA_ORANGE_BOOK,0.907
DRUG_00063,Drug,Drug_063_63,VitaLA,CORTICOSTEROID,False,442.03,syrup,346,GlaxoSmithKline,2002-07-06,cardiac protection,allergy history; liver disease,diarrhea; constipation,FDA_ORANGE_BOOK,0.979
DRUG_00064,Drug,Drug_064_64,Pharmaex,CORTICOSTEROID,True,341.33,syrup,48,AbbVie,2003-07-01,cardiac protection,bleeding disorders,drowsiness; headache; insomnia; dizziness,FDA_ORANGE_BOOK,0.967
DRUG_00065,Drug,Drug_065_65,VitaLA,ANXIOLYTIC,True,667.1,syrup,313,GlaxoSmithKline,2003-09-22,infection control,allergy history,diarrhea; nausea,FDA_ORANGE_BOOK,0.953
DRUG_00066,Drug,Drug_066_66,Neoex,HYPNOTIC,False,739.68,capsule,288,AbbVie,1993-01-08,anxiety reduction,pregnancy; liver disease,dizziness; diarrhea; dry mouth,FDA_ORANGE_BOOK,0.873
DRUG_00067,Drug,Drug_067_67,BioLA,CORTICOSTEROID,True,273.81,syrup,59,Bristol Myers Squibb,2015-12-25,anxiety reduction,pregnancy; heart failure,rash; constipation; fatigue; dry mouth,FDA_ORANGE_BOOK,0.9
DRUG_00068,Drug,Drug_068_68,Ultraforte,BETA_BLOCKER,True,552.86,cream,462,AbbVie,1995-06-29,infection control,allergy history; pregnancy,constipation; fatigue; dry mouth; nausea,FDA_ORANGE_BOOK,0.874
DRUG_00069,Drug,Drug_069_69,Vitaplus,ACE_INHIBITOR,False,152.31,injection,251,Merck,2008-03-18,diabetes treatment,pregnancy; liver disease,headache; drowsiness; dizziness; dry mouth,FDA_ORANGE_BOOK,0.853
DRUG_00070,Drug,Drug_070_70,Vitaine,HYPNOTIC,True,559.43,syrup,189,Amgen,2017-08-25,cholesterol management,pregnancy; bleeding disorders,dry mouth; constipation; nausea; headache,FDA_ORANGE_BOOK,0.869
DRUG_00071,Drug,Drug_071_71,Vitaine,NSAID,True,702.24,syrup,5,Bristol Myers Squibb,2021-04-02,depression treatment,bleeding disorders; pregnancy,fatigue; drowsiness,FDA_ORANGE_BOOK,0.867
DRUG_00072,Drug,Drug_072_72,BioER,HYPNOTIC,True,392.44,capsule,48,Amgen,1993-09-19,cardiac protection,bleeding disorders; liver disease,fatigue; dizziness; dry mouth; insomnia,FDA_ORANGE_BOOK,0.987
DRUG_00073,Drug,Drug_073_73,Vitaforte,ANTICONVULSANT,True,577.17,tablet,8,Sanofi,2008-02-29,diabetes treatment,liver disease,dry mouth; diarrhea,FDA_ORANGE_BOOK,0.955
DRUG_00074,Drug,Drug_074_74,VitaXR,DIURETIC,True,284.42,syrup,357,Johnson & Johnson,1992-05-28,depression treatment,bleeding disorders,dry mouth; nausea; constipation; rash; fatigue,FDA_ORANGE_BOOK,0.879
DRUG_00075,Drug,Drug_075_75,Pharmaol,HYPNOTIC,True,643.2,capsule,63,Amgen,2009-08-13,depression treatment,allergy history,drowsiness; headache; dizziness; dry mouth; insomnia,FDA_ORANGE_BOOK,0.987
DRUG_00076,Drug,Drug_076_76,Medine,ANTIBIOTIC,True,659.22,capsule,424,Roche,2021-10-16,cholesterol management,bleeding disorders; liver disease; pregnancy,constipation; diarrhea; insomnia,FDA_ORANGE_BOOK,0.926
DRUG_00077,Drug,Drug_077_77,Genplus,ANTICONVULSANT,True,648.91,capsule,113,AbbVie,2005-06-20,blood pressure control,heart failure; kidney impairment,dry mouth; dizziness,FDA_ORANGE_BOOK,0.964
DRUG_00078,Drug,Drug_078_78,PharmaLA,ACE_INHIBITOR,False,257.68,cream,71,Sanofi,2022-09-29,cholesterol management,bleeding disorders,rash; fatigue,FDA_ORANGE_BOOK,0.967
DRUG_00079,Drug,Drug_079_79,NovoSR,ANTICONVULSANT,True,626.57,syrup,448,Johnson & Johnson,1993-07-30,cardiac protection,liver disease; allergy history,drowsiness; dry mouth; nausea; insomnia; rash,FDA_ORANGE_BOOK,0.942
DRUG_00080,Drug,Drug_080_80,MedER,ANTICONVULSANT,False,759.4,capsule,251,Amgen,2003-04-17,anxiety reduction,bleeding disorders; pregnancy; liver disease,nausea; constipation; insomnia; rash,FDA_ORANGE_BOOK,0.986
DRUG_00081,Drug,Drug_081_81,Bioforte,STATIN,True,285.42,cream,306,Pfizer,2006-12-02,diabetes treatment,liver disease; allergy history; bleeding disorders,constipation; insomnia; nausea; fatigue,FDA_ORANGE_BOOK,0.895
DRUG_00082,Drug,Drug_082_82,Ultramax,ANTIDEPRESSANT,False,310.03,tablet,155,Pfizer,2014-12-06,diabetes treatment,liver disease; bleeding disorders; allergy history,rash; insomnia; dizziness; dry mouth; drowsiness,FDA_ORANGE_BOOK,0.883
DRUG_00083,Drug,Drug_083_83,Novool,ANXIOLYTIC,False,207.46,syrup,42,Amgen,2017-12-31,infection control,kidney impairment; pregnancy; bleeding disorders,rash; fatigue; dizziness; headache; diarrhea,FDA_ORANGE_BOOK,0.974
DRUG_00084,Drug,Drug_084_84,BioSR,HYPNOTIC,True,453.94,injection,458,Amgen,2008-02-05,blood pressure control,pregnancy,rash; diarrhea,FDA_ORANGE_BOOK,0.951
DRUG_00085,Drug,Drug_085_85,ProLA,ANTIDEPRESSANT,True,601.38,syrup,328,Johnson & Johnson,1996-12-19,depression treatment,kidney impairment; liver disease; bleeding disorders,fatigue; rash; diarrhea; dry mouth; constipation,FDA_ORANGE_BOOK,0.88
DRUG_00086,Drug,Drug_086_86,Proforte,CORTICOSTEROID,False,503.8,cream,89,Roche,2022-09-16,cardiac protection,bleeding disorders,fatigue; constipation; nausea; headache,FDA_ORANGE_BOOK,0.936
DRUG_00087,Drug,Drug_087_87,Pharmaine,ANXIOLYTIC,True,782.87,capsule,314,AbbVie,1994-04-20,depression treatment,allergy history,nausea; rash,FDA_ORANGE_BOOK,0.898
DRUG_00088,Drug,Drug_088_88,ProXR,STATIN,False,312.52,syrup,214,Sanofi,2016-03-14,inflammation reduction,heart failure; liver disease; bleeding disorders,drowsiness; constipation; insomnia; diarrhea; dry mouth,FDA_ORANGE_BOOK,0.901
DRUG_00089,Drug,Drug_089_89,Ultraol,DIURETIC,False,382.43,injection,432,GlaxoSmithKline,2006-06-27,inflammation reduction,allergy history,fatigue; headache; insomnia,FDA_ORANGE_BOOK,0.97
DRUG_00090,Drug,Drug_090_90,Prool,ANTIDEPRESSANT,False,372.51,injection,358,GlaxoSmithKline,2011-09-11,blood pressure control,pregnancy; bleeding disorders,drowsiness; dizziness,FDA_ORANGE_BOOK,0.914
DRUG_00091,Drug,Drug_091_91,Ultraine,OPIOID,False,386.66,tablet,315,Novartis,2010-04-19,inflammation reduction,heart failure; bleeding disorders,dry mouth; headache; insomnia; diarrhea,FDA_ORANGE_BOOK,0.897
DRUG_00092,Drug,Drug_092_92,UltraSR,BETA_BLOCKER,False,321.7,tablet,324,Roche,1992-11-20,cardiac protection,kidney impairment; allergy history; bleeding disorders,nausea; drowsiness; headache; insomnia,FDA_ORANGE_BOOK,0.87
DRUG_00093,Drug,Drug_093_93,Proine,ACE_INHIBITOR,False,667.62,syrup,114,AbbVie,2010-01-23,diabetes treatment,kidney impairment; pregnancy; heart failure,constipation; drowsiness; headache,FDA_ORANGE_BOOK,0.888
DRUG_00094,Drug,Drug_094_94,MedXR,CORTICOSTEROID,False,272.42,tablet,480,AbbVie,2018-03-05,blood pressure control,liver disease,fatigue; headache; dry mouth; nausea,FDA_ORANGE_BOOK,0.944
DRUG_00095,Drug,Drug_095_95,UltraSR,ACE_INHIBITOR,True,511.7,syrup,361,Pfizer,2009-03-27,anxiety reduction,pregnancy,dizziness; constipation; rash; dry mouth; nausea,FDA_ORANGE_BOOK,0.921
DRUG_00096,Drug,Drug_096_96,Vitaine,ANTICONVULSANT,True,550.76,capsule,260,Sanofi,2010-12-12,depression treatment,allergy history; kidney impairment; bleeding disorders,constipation; nausea; drowsiness; diarrhea,FDA_ORANGE_BOOK,0.895
DRUG_00097,Drug,Drug_097_97,Ultraforte,ANTIBIOTIC,False,429.96,syrup,493,Pfizer,2009-04-05,cardiac protection,bleeding disorders,dizziness; dry mouth,FDA_ORANGE_BOOK,0.868
DRUG_00098,Drug,Drug_098_98,MedER,ANTIDEPRESSANT,False,381.41,capsule,419,GlaxoSmithKline,2018-08-19,anxiety reduction,bleeding disorders,dizziness; insomnia,FDA_ORANGE_BOOK,0.954
DRUG_00099,Drug,Drug_099_99,Pharmamax,ANTICONVULSANT,True,296.71,injection,241,GlaxoSmithKline,2004-02-02,blood pressure control,allergy history; bleeding disorders; liver disease,fatigue; headache; nausea; insomnia,FDA_ORANGE_BOOK,0.966
DRUG_00100,Drug,Drug_100_100,Vitaforte,ANTIDEPRESSANT,True,588.46,tablet,168,Roche,2010-10-02,diabetes treatment,kidney impairment; liver disease,nausea; fatigue; headache,FDA_ORANGE_BOOK,0.98
DRUG_00101,Drug,Drug_101_101,Bioplus,BETA_BLOCKER,True,742.51,syrup,404,Johnson & Johnson,1992-01-12,cardiac protection,allergy history; liver disease,constipation; rash,FDA_ORANGE_BOOK,0.982
DRUG_00102,Drug,Drug_102_102,Novoforte,ANTICONVULSANT,True,490.77,tablet,80,Roche,2005-01-30,cardiac protection,pregnancy,nausea; rash; fatigue,FDA_ORANGE_BOOK,0.856
DRUG_00103,Drug,Drug_103_103,NeoSR,ANTIBIOTIC,True,163.7,capsule,303,Novartis,2014-11-14,cholesterol management,bleeding disorders; allergy history; liver disease,fatigue; headache; drowsiness; rash,FDA_ORANGE_BOOK,0.951
DRUG_00104,Drug,Drug_104_104,MaxLA,BETA_BLOCKER,False,641.73,tablet,36,Amgen,2011-08-03,pain relief,kidney impairment,fatigue; drowsiness; insomnia; dizziness,FDA_ORANGE_BOOK,0.955
DRUG_00105,Drug,Drug_105_105,BioER,DIURETIC,True,206.77,tablet,180,Bristol Myers Squibb,2016-09-27,blood pressure control,liver disease; kidney impairment; allergy history,diarrhea; rash; dizziness; dry mouth; constipation,FDA_ORANGE_BOOK,0.947
DRUG_00106,Drug,Drug_106_106,UltraLA,BRONCHODILATOR,False,565.08,tablet,439,GlaxoSmithKline,1996-05-14,infection control,allergy history; liver disease; bleeding disorders,drowsiness; rash; dizziness; nausea,FDA_ORANGE_BOOK,0.891
DRUG_00107,Drug,Drug_107_107,UltraLA,ANXIOLYTIC,True,369.74,cream,328,Merck,2018-03-12,blood pressure control,pregnancy,headache; constipation; rash; diarrhea; dizziness,FDA_ORANGE_BOOK,0.918
DRUG_00108,Drug,Drug_108_108,Prool,NSAID,False,647.11,cream,332,Roche,2000-10-21,cholesterol management,pregnancy; allergy history,constipation; dizziness; rash,FDA_ORANGE_BOOK,0.906
DRUG_00109,Drug,Drug_109_109,Promax,DIURETIC,True,490.6,capsule,411,AbbVie,2006-01-12,blood pressure control,kidney impairment; bleeding disorders; pregnancy,dizziness; dry mouth; fatigue,FDA_ORANGE_BOOK,0.952
DRUG_00110,Drug,Drug_110_110,Proforte,PROTON_PUMP_INHIBITOR,False,292.73,capsule,208,Merck,2000-11-21,inflammation reduction,bleeding disorders; liver disease,fatigue; drowsiness; insomnia; headache,FDA_ORANGE_BOOK,0.953
DRUG_00111,Drug,Drug_111_111,ProER,ACE_INHIBITOR,True,551.96,cream,67,Johnson & Johnson,2003-03-06,cardiac protection,kidney impairment,headache; insomnia; fatigue; diarrhea,FDA_ORANGE_BOOK,0.929
DRUG_00112,Drug,Drug_112_112,Ultraol,BRONCHODILATOR,True,375.43,capsule,327,Pfizer,2016-07-28,anxiety reduction,allergy history; kidney impairment; heart failure,drowsiness; rash; nausea,FDA_ORANGE_BOOK,0.969
DRUG_00113,Drug,Drug_113_113,Medine,ANTIBIOTIC,True,613.88,injection,134,GlaxoSmithKline,2017-06-14,inflammation reduction,liver disease; allergy history,constipation; fatigue; dizziness; insomnia; nausea,FDA_ORANGE_BOOK,0.978
DRUG_00114,Drug,Drug_114_114,Maxplus,ACE_INHIBITOR,True,238.3,injection,304,Merck,2017-11-17,inflammation reduction,allergy history; heart failure,drowsiness; fatigue; constipation; headache,FDA_ORANGE_BOOK,0.859
DRUG_00115,Drug,Drug_115_115,Medmax,DIURETIC,True,158.01,injection,327,Johnson & Johnson,1991-12-22,inflammation reduction,pregnancy; heart failure,headache; rash,FDA_ORANGE_BOOK,0.935
DRUG_00116,Drug,Drug_116_116,Ultraol,BRONCHODILATOR,False,752.0,tablet,408,Johnson & Johnson,2015-06-06,infection control,heart failure; bleeding disorders,insomnia; constipation; diarrhea; dry mouth,FDA_ORANGE_BOOK,0.885
DRUG_00117,Drug,Drug_117_117,Ultraplus,NSAID,False,401.46,syrup,472,GlaxoSmithKline,1990-06-25,diabetes treatment,kidney impairment; pregnancy,diarrhea; drowsiness,FDA_ORANGE_BOOK,0.979
DRUG_00118,Drug,Drug_118_118,Genine,ANTIDEPRESSANT,True,586.29,injection,429,Sanofi,2014-06-06,anxiety reduction,heart failure; kidney impairment; pregnancy,nausea; diarrhea; drowsiness; rash,FDA_ORANGE_BOOK,0.921
DRUG_00119,Drug,Drug_119_119,ProER,ANXIOLYTIC,True,679.37,syrup,323,Sanofi,2001-02-01,infection control,liver disease; allergy history,headache; nausea,FDA_ORANGE_BOOK,0.891
