Id,Label,Properties:type_string,Properties:code_string,Properties:icao_string,Properties:desc_string,Properties:region_string,Properties:runways_int,Properties:longest_int,Properties:elev_int,Properties:country_string,Properties:city_string,Properties:lat_double,Properties:lon_double
65,airport,airport,WLG,NZWN,Wellington International Airport,NZ-WGN,1.0,6352.0,41.0,NZ,Wellington,-41.3272018433,174.804992676
66,airport,airport,BNE,YBBN,Brisbane International Airport,AU-QLD,2.0,11680.0,13.0,AU,Brisbane,-27.3841991424561,153.117004394531
67,airport,airport,PVG,ZSPD,Shanghai - Pudong International Airport,CN-31,2.0,13123.0,13.0,CN,Shanghai,31.1434001922607,121.805000305176
68,airport,airport,FCO,LIRF,Leonardo da Vinci-Fiumicino International Airport,IT-62,3.0,12795.0,15.0,IT,Rome,41.8045005798,12.2508001328
69,airport,airport,BOM,VABB,"Mumbai, Chhatrapati Shivaji International Airport",IN-MM,2.0,11302.0,39.0,IN,Mumbai,19.0886993408,72.8678970337
70,airport,airport,AMS,EHAM,Amsterdam Airport Schiphol,NL-NH,6.0,12467.0,-11.0,NL,Amsterdam,52.3086013794,4.76388978958
71,airport,airport,KUL,WMKK,Kuala Lumpur International Airport,MY-14,3.0,13288.0,69.0,MY,Kuala Lumpur,2.74557995796204,101.709999084473
72,airport,airport,PRG,LKPR,"Prague, Ruzyne International Airport",CZ-PR,2.0,12189.0,1247.0,CZ,Prague,50.1007995605469,14.2600002288818
73,airport,airport,BCN,LEBL,Barcelona International Airport,ES-CT,3.0,11654.0,12.0,ES,Barcelona,41.2971000671387,2.07845997810364
74,airport,airport,MAD,LEMD,Adolfo Suarez Barajas Airport International Airport,ES-M,3.0,13711.0,1998.0,ES,Madrid,40.4936,-3.56676
75,airport,airport,VIE,LOWW,Vienna International Airport,AT-9,2.0,11811.0,600.0,AT,Vienna,48.1102981567383,16.5697002410889
76,airport,airport,ZRH,LSZH,Zurich-Kloten Airport,CH-ZH,3.0,12139.0,1416.0,CH,Zurich,47.4646987915039,8.54916954040527
77,airport,airport,GVA,LSGG,Geneva-Cointrin International Airport,CH-GE,2.0,12795.0,1411.0,CH,Geneva,46.2380981445312,6.10895013809204
78,airport,airport,YOW,CYOW,Ottawa Macdonald-Cartier International Airport,CA-ON,3.0,10000.0,374.0,CA,Ottawa,45.3224983215,-75.6691970825
79,airport,airport,BRU,EBBR,Brussels Airport,BE-BRU,3.0,11936.0,184.0,BE,Brussels,50.9014015198,4.48443984985
80,airport,airport,MUC,EDDM,Munich International Airport,DE-BY,2.0,13123.0,1487.0,DE,Munich,48.3538017272949,11.7861003875732
81,airport,airport,CHC,NZCH,Christchurch International Airport,NZ-CAN,3.0,10787.0,123.0,NZ,Christchurch,-43.4893989562988,172.531997680664
82,airport,airport,CBR,YSCB,Canberra International Airport,AU-ACT,2.0,10771.0,1886.0,AU,Canberra,-35.3069000244141,149.195007324219
83,airport,airport,RSW,KRSW,Southwest Florida International Airport,US-FL,1.0,12000.0,30.0,US,Fort Myers,26.5361995697021,-81.7552032470703
84,airport,airport,MAN,EGCC,Manchester Airport,GB-ENG,2.0,10000.0,257.0,UK,Manchester,53.3536987304688,-2.27495002746582
85,airport,airport,YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport,CA-QC,3.0,11000.0,118.0,CA,Montreal,45.4706001282,-73.7407989502
86,airport,airport,YEG,CYEG,Edmonton International Airport,CA-AB,2.0,11000.0,2373.0,CA,Edmonton,53.3097000122,-113.580001831
87,airport,airport,CGN,EDDK,Cologne Bonn Airport,DE-NW,3.0,12516.0,302.0,DE,Cologne,50.8658981323,7.1427397728
88,airport,airport,LCY,EGLC,London City Airport,GB-ENG,1.0,4948.0,19.0,UK,London,51.505278,0.055278
89,airport,airport,GOT,ESGG,Gothenburg-Landvetter Airport,SE-Q,1.0,10823.0,506.0,SE,Gothenburg,57.6627998352051,12.2798004150391
90,airport,airport,VCE,LIPZ,Venice Marco Polo Airport,IT-34,2.0,10827.0,7.0,IT,Venice,45.5052986145,12.3519001007
91,airport,airport,SNN,EINN,Shannon Airport,IE-CE,5.0,10495.0,46.0,IE,Shannon,52.7019996643066,-8.92481994628906
92,airport,airport,OSL,ENGM,Oslo Gardermoen Airport,NO-02,2.0,11811.0,681.0,NO,Oslo,60.1939010620117,11.1003999710083
93,airport,airport,ARN,ESSA,Stockholm-Arlanda Airport,SE-AB,3.0,10830.0,137.0,SE,Stockholm,59.6519012451172,17.9186000823975
94,airport,airport,STN,EGSS,London Stansted Airport,GB-ENG,1.0,10003.0,348.0,UK,London,51.8849983215,0.234999999404
95,airport,airport,EMA,EGNX,East Midlands Airport,GB-ENG,1.0,9491.0,306.0,UK,Nottingham,52.8311004639,-1.32806003094
96,airport,airport,EDI,EGPH,Edinburgh Airport,GB-SCT,3.0,8400.0,135.0,UK,Edinburgh,55.9500007629395,-3.37249994277954
97,airport,airport,GLA,EGPF,Glasgow International Airport,GB-SCT,2.0,8720.0,26.0,UK,Glasgow,55.8718986511,-4.43306016922
98,airport,airport,LPL,EGGP,Liverpool John Lennon Airport,GB-ENG,1.0,7500.0,80.0,UK,Liverpool,53.3335990905762,-2.8497200012207
99,airport,airport,YYC,CYYC,Calgary International Airport,CA-AB,3.0,12675.0,3557.0,CA,Calgary,51.113899231,-114.019996643
100,airport,airport,MNL,RPLL,"Manila, Ninoy Aquino International Airport",PH-U-A,2.0,12261.0,75.0,PH,Manila,14.508600235,121.019996643
101,airport,airport,BKK,VTBS,Suvarnabhumi Bangkok International Airport,TH-10,2.0,13123.0,5.0,TH,Bangkok,13.6810998916626,100.747001647949
102,airport,airport,DME,UUDD,"Moscow, Domodedovo International Airport",RU-MOS,3.0,12448.0,588.0,RU,Moscow,55.4087982177734,37.9062995910645
103,airport,airport,SVO,UUEE,"Moscow, Sheremetyevo International Airport",RU-MOS,2.0,12139.0,622.0,RU,Moscow,55.972599029541,37.4146003723145
104,airport,airport,ITM,RJOO,Osaka International Airport,JP-27,2.0,9840.0,50.0,JP,Osaka,34.7854995727539,135.438003540039
105,airport,airport,HND,RJTT,Tokyo Haneda International Airport,JP-13,4.0,9840.0,35.0,JP,Tokyo,35.5522994995117,139.779998779297
106,airport,airport,DOH,OTHH,"Doha, Hamad International Airport",QA-DA,2.0,15912.0,13.0,QA,Doha,25.273056,51.608056
107,airport,airport,ORY,LFPO,"Paris, Orly Airport",FR-J,3.0,11975.0,291.0,FR,Paris,48.7252998352,2.35944008827
108,airport,airport,NCE,LFMN,Nice-Cote d'Azur Airport,FR-U,2.0,9712.0,12.0,FR,Nice,43.6584014893,7.21586990356
109,airport,airport,MXP,LIMC,"Milan, Malpensa International Airport",IT-25,2.0,12861.0,768.0,IT,Milan,45.6305999756,8.72811031342
110,airport,airport,ATH,LGAV,"Athens, Eleftherios Venizelos International Airport",GR-A1,2.0,13123.0,308.0,GR,Athens,37.9364013672,23.9444999695
111,airport,airport,ZAG,LDZA,Zagreb Airport,HR-21,1.0,10669.0,353.0,HR,Zagreb,45.7429008484,16.0687999725
112,airport,airport,BUD,LHBP,Budapest Ferenc Liszt International Airport,HU-PE,2.0,12162.0,495.0,HU,Budapest,47.4369010925,19.2555999756
113,airport,airport,ALC,LEAL,Alicante International Airport,ES-V,1.0,9842.0,142.0,ES,Alicante,38.2821998596191,-0.55815601348877
114,airport,airport,BIO,LEBB,Bilbao Airport,ES-PV,2.0,8530.0,138.0,ES,Bilbao,43.3011016845703,-2.91060996055603
115,airport,airport,IBZ,LEIB,Ibiza Airport,ES-PM,1.0,9186.0,24.0,ES,Ibiza,38.8728981018,1.37311995029
116,airport,airport,MAH,LEMH,Menorca Airport,ES-PM,2.0,7710.0,302.0,ES,Menorca,39.8625984191895,4.21864986419678
117,airport,airport,CCJ,VOCL,Calicut International Airport,IN-KL,1.0,9383.0,342.0,IN,Calicut,11.1367998123,75.9552993774
118,airport,airport,HYD,VOHS,"Hyderabad, Rajiv Gandhi International Airport",IN-AP,1.0,13976.0,2024.0,IN,Hyderabad,17.2313175201,78.4298553467
119,airport,airport,MAA,VOMM,Chennai International Airport,IN-TN,2.0,12001.0,52.0,IN,Chennai,12.9900054931641,80.1692962646484
120,airport,airport,CCU,VECC,"Kolkata, Netaji Subhash Chandra Bose International Airport",IN-WB,2.0,11900.0,16.0,IN,Kolkata,22.6546993255615,88.4467010498047
121,airport,airport,BLR,VOBL,Bengaluru International Airport,IN-KA,1.0,13123.0,3000.0,IN,Bengaluru,13.1978998184,77.7062988281
122,airport,airport,ICN,RKSI,"Seoul, Incheon International Airport",KR-28,3.0,13000.0,23.0,KR,Seoul,37.4691009521484,126.450996398926
123,airport,airport,YYT,CYYT,St. John's International Airport,CA-NL,3.0,8502.0,461.0,CA,St. John's,47.618598938,-52.7518997192
124,airport,airport,TFN,GCXO,Tenerife Norte Airport,ES-CN,1.0,11155.0,2076.0,ES,Tenerife,28.4827003479,-16.3414993286
125,airport,airport,CPT,FACT,Cape Town International Airport,ZA-WC,2.0,10502.0,151.0,ZA,Cape Town,-33.9648017883,18.6016998291
126,airport,airport,JNB,FAJS,"Johannesburg, OR Tambo International Airport",ZA-GT,2.0,14495.0,5558.0,ZA,Johannesburg,-26.1392002106,28.2460002899
127,airport,airport,DUR,FALE,"Durban, King Shaka International Airport",ZA-NL,1.0,12139.0,295.0,ZA,Durban,-29.6144444444,31.1197222222
128,airport,airport,NBO,HKJK,"Nairobi, Jomo Kenyatta International Airport",KE-110,1.0,13507.0,5330.0,KE,Nairobi,-1.31923997402,36.9277992249
129,airport,airport,MBA,HKMO,Mombasa Moi International Airport,KE-300,2.0,10991.0,200.0,KE,Mombasa,-4.03483009338379,39.5942001342773
130,airport,airport,MVD,SUMU,"Montevideo, Carrasco International /General C L Berisso Airport",UY-MO,3.0,10499.0,105.0,UY,Montevideo,-34.8384017944336,-56.0307998657227
131,airport,airport,GIG,SBGL,"Rio de Janeiro ,Galeao Antonio Carlos Jobim International Airport",BR-RJ,2.0,13123.0,28.0,BR,Rio de Janeiro,-22.8099994659,-43.2505569458
132,airport,airport,GRU,SBGR,"Sao Paulo, Guarulhos - Governador Andras Franco Montoro International Airport",BR-SP,1.0,12139.0,2459.0,BR,Sao Paulo,-23.4355564117432,-46.4730567932129
133,airport,airport,EZE,SAEZ,"Buenos Aires, Ministro Pistarini International Airport",AR-B,2.0,10187.0,67.0,AR,Buenos Aires,-34.8222,-58.5358
134,airport,airport,LIM,SPIM,"Lima, Jorge Chavez International Airport",PE-LIM,1.0,11506.0,113.0,PE,Lima,-12.021900177,-77.1143035889
135,airport,airport,SCL,SCEL,"Santiago, Comodoro Arturo Merino Benitez International Airport",CL-RM,2.0,12203.0,1555.0,CL,Santiago,-33.3930015563965,-70.7857971191406
136,airport,airport,MEX,MMMX,"Mexico City, Licenciado Benito Juarez International Airport",MX-DIF,2.0,12966.0,7316.0,MX,Mexico City,19.43630027771,-99.0720977783203
137,airport,airport,KIN,MKJP,"Kingston, Norman Manley International Airport",JM-01,1.0,8900.0,10.0,JM,Kingston,17.9356994628906,-76.7874984741211
138,airport,airport,TLH,KTLH,Tallahassee Regional Airport,US-FL,2.0,8000.0,81.0,US,Tallahassee,30.3964996337891,-84.3503036499023
139,airport,airport,LCA,LCLK,Larnaca International Airport,CY-04,1.0,9776.0,8.0,CY,Larnaca,34.8750991821289,33.6249008178711
140,airport,airport,WAW,EPWA,Warsaw Chopin Airport,PL-MZ,2.0,12106.0,362.0,PL,Warsaw,52.1656990051,20.9671001434
141,airport,airport,MLA,LMML,Malta International Airport,MT-25,2.0,11627.0,300.0,MT,Luqa,35.857498,14.4775
142,airport,airport,SOF,LBSF,Sofia Airport,BG-23,1.0,9186.0,1742.0,BG,Sofia,42.6966934204102,23.4114360809326
143,airport,airport,BEG,LYBE,Belgrade Nikola Tesla Airport,RS-00,1.0,11155.0,335.0,RS,Belgrade,44.8184013367,20.3090991974
144,airport,airport,CAI,HECA,Cairo International Airport,EG-C,3.0,13124.0,382.0,EG,Cairo,30.1219005584717,31.4055995941162
145,airport,airport,ADD,HAAB,Addis Ababa Bole International Airport,ET-AA,2.0,12467.0,7630.0,ET,Addis Ababa,8.97789001465,38.7993011475
146,airport,airport,TLV,LLBG,"Tel Aviv, Ben Gurion International Airport",IL-M,3.0,13327.0,135.0,IL,Tel Aviv,32.0113983154297,34.8866996765137
147,airport,airport,PIT,KPIT,Pittsburgh International Airport,US-PA,4.0,11500.0,1203.0,US,Pittsburgh,40.49150085,-80.23290253
148,airport,airport,PWM,KPWM,Portland International Jetport Airport,US-ME,2.0,7200.0,76.0,US,Portland,43.64619827,-70.30930328
149,airport,airport,PDX,KPDX,Portland International Airport,US-OR,3.0,11000.0,31.0,US,Portland,45.58869934,-122.5979996
150,airport,airport,OKC,KOKC,"Oaklahoma City, Will Rogers World Airport",US-OK,4.0,9800.0,1295.0,US,Oaklahoma City,35.3931007385254,-97.600700378418
151,airport,airport,ONT,KONT,Ontario International Airport,US-CA,2.0,12198.0,944.0,US,Ontario,34.0559997558594,-117.600997924805
152,airport,airport,ROC,KROC,Greater Rochester International Airport,US-NY,3.0,8001.0,559.0,US,Rochester,43.1189002990723,-77.6724014282227
153,airport,airport,RST,KRST,Rochester International Airport,US-MN,2.0,9033.0,1317.0,US,Rochester,43.9082984924316,-92.5
154,airport,airport,KWI,OKBK,Kuwait International Airport,KW-FA,2.0,11483.0,206.0,KW,Kuwait,29.2266006469727,47.9688987731934
155,airport,airport,PNH,VDPP,Phnom Penh International Airport,KH-8,1.0,9843.0,40.0,KH,Phnom Penh,11.5466003417969,104.84400177002
156,airport,airport,AYQ,YAYE,Ayers Rock Connellan Airport,AU-NT,1.0,8527.0,1626.0,AU,Ayers Rock,-25.1861000061035,130.975997924805
157,airport,airport,ASP,YBAS,Alice Springs Airport,AU-NT,2.0,7999.0,1789.0,AU,Alice Springs,-23.8066997528076,133.901992797852
158,airport,airport,OOL,YBCG,Gold Coast Airport,AU-NSW,2.0,6699.0,21.0,AU,Gold Coast,-28.1644001007,153.505004883
159,airport,airport,FAI,PAFA,Fairbanks International Airport,US-AK,4.0,11800.0,439.0,US,Fairbanks,64.81510162,-147.8560028
160,airport,airport,CNS,YBCS,Cairns International Airport,AU-QLD,2.0,10489.0,10.0,AU,Cairns,-16.885799408,145.755004883
161,airport,airport,IST,LTFM,Istanbul International Airport,TR-34,4.0,13451.0,325.0,TR,Istanbul,41.275278,28.751944
162,airport,airport,BAH,OBBI,Bahrain International Airport,BH-15,2.0,12979.0,6.0,BH,Manama,26.2707996368408,50.6335983276367
163,airport,airport,YHZ,CYHZ,Halifax / Stanfield International Airport,CA-NS,2.0,10500.0,477.0,CA,Halifax,44.8807983398,-63.5085983276
164,airport,airport,AUH,OMAA,Abu Dhabi International Airport,AE-AZ,2.0,13452.0,88.0,AE,Abu Dhabi,24.4330005645752,54.6511001586914
165,airport,airport,SGN,VVTS,"Ho Chi Minh City, Tan Son Nhat International Airport",VN-23,2.0,12468.0,33.0,VN,Ho Chi Minh City,10.8187999725,106.652000427
166,airport,airport,YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport,CA-MB,3.0,11000.0,783.0,CA,Winnipeg,49.9099998474,-97.2398986816
167,airport,airport,HAM,EDDH,Hamburg Airport,DE-HH,2.0,12028.0,53.0,DE,Hamburg,53.6304016113281,9.98822975158691
168,airport,airport,STR,EDDS,Stuttgart Airport,DE-BW,1.0,10974.0,1276.0,DE,Stuttgart,48.6898994446,9.22196006775
169,airport,airport,GOA,LIMJ,Genoa Cristoforo Colombo Airport,IT-42,1.0,9564.0,13.0,IT,Genoa,44.4132995605,8.83749961853
170,airport,airport,NAP,LIRN,Naples International Airport,IT-72,1.0,8622.0,294.0,IT,Naples,40.8860015869,14.2908000946
171,airport,airport,PSA,LIRP,Pisa International Airport,IT-52,2.0,9820.0,6.0,IT,Pisa,43.6838989258,10.3927001953
172,airport,airport,TRN,LIMF,Turin Airport,IT-21,1.0,10827.0,989.0,IT,Turin,45.2008018494,7.64963006973
173,airport,airport,BLQ,LIPE,Bologna Guglielmo Marconi Airport,IT-45,1.0,9186.0,123.0,IT,Bologna,44.5354003906,11.2887001038
174,airport,airport,TSF,LIPH,"Venice, Treviso-Sant Angelo Airport",IT-34,1.0,7941.0,59.0,IT,Venice,45.648399353,12.1943998337
175,airport,airport,VRN,LIPX,Verona Villafranca Airport,IT-34,1.0,10064.0,239.0,IT,Verona,45.3956985474,10.8885002136
176,airport,airport,NTE,LFRS,Nantes Atlantique Airport,FR-R,1.0,9514.0,90.0,FR,Nantes,47.1531982422,-1.61073005199
177,airport,airport,CPH,EKCH,Copenhagen Kastrup Airport,DK-84,3.0,11811.0,17.0,DK,Copenhagen,55.6179008483887,12.6560001373291
178,airport,airport,CLT,KCLT,Charlotte Douglas International Airport,US-NC,4.0,10000.0,748.0,US,Charlotte,35.2140007019043,-80.9430999755859
179,airport,airport,LUX,ELLX,Luxembourg-Findel International Airport,LU-L,1.0,13123.0,1234.0,LU,Luxembourg,49.6265983581543,6.21152019500732
180,airport,airport,CUN,MMUN,Cancun International Airport,MX-ROO,2.0,11483.0,22.0,MX,Cancun,21.0365009308,-86.8770980835
181,airport,airport,PSP,KPSP,Palm Springs International Airport,US-CA,2.0,10000.0,477.0,US,Palm Springs,33.8297004699707,-116.50700378418
182,airport,airport,MEM,KMEM,Memphis International Airport,US-TN,4.0,11120.0,341.0,US,Memphis,35.0424003601074,-89.9766998291016
183,airport,airport,CVG,KCVG,Cincinnati Northern Kentucky International Airport,US-KY,4.0,12000.0,896.0,US,Cincinnati,39.0488014221,-84.6678009033
184,airport,airport,IND,KIND,Indianapolis International Airport,US-IN,3.0,11200.0,797.0,US,Indianapolis,39.7173004150391,-86.2944030761719
185,airport,airport,MCI,KMCI,Kansas City International Airport,US-MO,3.0,10801.0,1026.0,US,Kansas City,39.2975997924805,-94.7138977050781
186,airport,airport,DAL,KDAL,Dallas Love Field,US-TX,3.0,8800.0,487.0,US,Dallas,32.8470993041992,-96.8517990112305
187,airport,airport,STL,KSTL,Lambert St Louis International Airport,US-MO,4.0,11019.0,618.0,US,St Louis,38.7486991882324,-90.370002746582
188,airport,airport,ABQ,KABQ,Albuquerque International Sunport Airport,US-NM,4.0,13793.0,5355.0,US,Albuquerque,35.0401992797852,-106.609001159668
189,airport,airport,MKE,KMKE,General Mitchell International Airport,US-WI,5.0,9690.0,723.0,US,Milwaukee,42.9472007751465,-87.896598815918
190,airport,airport,MDW,KMDW,Chicago Midway International Airport,US-IL,5.0,6522.0,620.0,US,Chicago,41.7859992980957,-87.7524032592773
